 	je	me	suis	blessé	à	la	lèvre	</S>
n	0.938348	0.0453115	0.00700006	0.00223743	0.00118184	0.000698044	0.00512647	9.70876e-05
g	0.965317	0.0337769	0.000793193	1.87597e-05	4.51321e-05	2.19014e-05	2.54952e-05	1.28169e-06
á	0.925099	0.0556861	0.014103	0.00345975	0.00101961	0.000388017	0.000127018	0.00011704
í	0.0305044	0.120105	0.520316	0.059478	0.0299437	0.0446893	0.00278437	0.192179
m	0.0164265	0.129232	0.447904	0.316303	0.0128986	0.00789716	0.00342155	0.0659174
o	0.000565736	0.104539	0.438063	0.274153	0.0815252	0.0320041	0.000822541	0.0683271
k	7.08793e-05	0.0027789	0.116628	0.836047	0.0097695	0.00244031	0.000113013	0.0321525
ώ	4.43715e-06	9.21841e-05	0.0160493	0.977585	0.00204907	0.000297915	7.74859e-05	0.00384454
s	3.81239e-05	0.00120895	0.0359312	0.900604	0.035007	0.0126474	0.000337577	0.0142261
ώ	0.00176284	0.0083543	0.0480402	0.654664	0.11554	0.0676586	0.00435515	0.0996252
m	0.000827826	0.0283553	0.0615471	0.109242	0.368205	0.323368	0.0357057	0.0727489
é	0.000466099	0.00368113	0.00814832	0.00403067	0.322892	0.166837	0.0074249	0.486519
b	0.00298236	0.00916777	0.0111137	0.021458	0.380755	0.232512	0.139212	0.2028
ώ	0.00125548	0.00388945	0.00736698	0.00927724	0.251109	0.129018	0.554681	0.043402
l	1.44081e-05	0.000230019	0.000147976	0.000404878	0.00586492	0.020633	0.966016	0.00668857
i	0.000165516	0.000827102	0.00690717	0.0453496	0.190614	0.138656	0.0787024	0.538779
</S>	0.000686105	0.00543012	0.0142953	0.00488858	0.145125	0.239766	0.0243103	0.565498
