 	cet	enfant	a	volé	des	mangues	chez	nous	</S>
m	0.467959	0.530278	0.000674785	3.38276e-05	0.00068743	0.000121537	9.73011e-05	0.000127803	2.03603e-05
w	0.0358349	0.963303	0.000535305	5.0655e-06	3.68686e-05	0.00015016	9.75173e-05	1.81391e-06	3.57186e-05
á	0.000847539	0.999126	7.62696e-06	8.05048e-07	2.95785e-06	8.54964e-06	5.90732e-06	1.98039e-07	1.60176e-07
n	0.107313	0.891247	0.000295752	1.9228e-06	9.35271e-05	0.000415788	0.000344795	9.89e-06	0.000278867
a	0.10931	0.373892	0.123157	0.00485192	0.0222194	0.147436	0.0672103	0.001688	0.150235
w	0.805612	0.0440942	0.0873633	0.0203317	0.0129898	0.00264697	0.0034354	0.0154267	0.00810027
o	0.28608	0.0581465	0.390178	0.0864815	0.0774288	0.00822809	0.0235516	0.0206354	0.04927
á	0.00772686	0.0010038	0.711784	0.191959	0.0297662	0.00362532	0.00254796	0.00130523	0.0502811
y	0.000894551	7.57977e-05	0.0493742	0.92971	0.00820183	0.00389138	0.00214157	0.000827409	0.00488349
í	0.0113184	8.22257e-05	0.0107801	0.956177	0.0138394	0.00243522	0.000421429	0.000147834	0.00479824
b	0.00920487	5.92689e-05	0.00292408	0.978041	0.00722675	0.000911852	0.000193249	0.000135715	0.00130346
h	0.00182781	0.000541108	0.0113821	0.881786	0.101944	0.00134933	0.000405847	0.000476064	0.000288464
i	0.00641107	0.00152073	0.00856052	0.86636	0.0898231	0.00438727	0.00378937	0.00600756	0.01314
a	0.00592722	0.00179969	0.0364076	0.160403	0.678614	0.0807239	0.0159209	0.0139128	0.00629159
m	0.000532633	0.000295325	0.0144359	0.0784936	0.434243	0.363992	0.0701783	0.0309573	0.00687231
b	0.00379303	0.00191852	0.00163708	0.000168955	0.0873418	0.724472	0.172426	0.00240488	0.00583821
á	0.000103539	0.0052133	2.13841e-05	0.000118469	0.00460319	0.968681	0.0210509	5.31503e-05	0.000154691
n	0.00391686	0.0262135	0.00335085	0.00683436	0.0872633	0.429061	0.421711	0.00168255	0.0199666
g	0.0267463	0.0145113	0.0128274	0.00101488	0.152117	0.724311	0.0461047	0.00192158	0.0204457
é	0.00658449	0.0043878	0.00831007	0.00283459	0.117976	0.800467	0.0372855	0.00119523	0.0209593
m	0.00102365	8.65399e-05	0.0590973	0.0512776	0.19044	0.186967	0.140288	0.0576556	0.313164
b	0.0122029	0.00220365	0.00383352	0.00101543	0.0661879	0.167481	0.484147	0.0129626	0.249965
v	0.0273314	0.00254078	0.000871514	9.06511e-05	0.112767	0.240922	0.522026	0.0330843	0.0603661
á	0.0037573	0.00138548	0.0011531	0.000610301	0.0568018	0.17597	0.479252	0.10791	0.173161
a	0.00610787	0.000102553	0.000648173	0.00140872	0.0815314	0.0905528	0.323292	0.0407825	0.455574
b	0.000345259	3.55376e-05	0.00889803	0.00165729	0.0308294	0.0123744	0.280841	0.290813	0.374207
í	0.000389315	4.45815e-05	0.00152246	0.00234902	0.0128239	0.00100685	0.023982	0.861355	0.0965274
s	0.000276503	3.37694e-05	0.000267125	0.00122705	0.00390437	0.0011214	0.032644	0.874587	0.0859387
í	0.00336156	0.00035359	0.000344231	0.00171138	0.00517672	0.00951354	0.122793	0.467025	0.389721
</S>	0.000310034	1.16114e-05	0.00167073	0.00126598	0.0112425	0.00583575	0.0675514	0.336233	0.575878
