 	je	m'	en	vais	prendre	un	bain	de	soleil	</S>
n	0.743187	0.0860613	0.0870295	0.023742	0.0474627	0.00700965	0.00218152	0.00285959	0.000374392	9.19361e-05
g	0.788578	0.203416	0.00584185	0.00170627	9.40844e-05	0.0001649	3.96211e-06	7.552e-05	0.000104887	1.3752e-05
á	0.531992	0.407578	0.0416952	0.0154185	0.000679852	0.000550461	0.00023602	0.000133498	0.00168894	2.68021e-05
í	0.12052	0.252644	0.355991	0.111459	0.0402286	0.0221637	0.00764289	0.0103238	0.0355666	0.0434604
m	0.00414603	0.0223714	0.388559	0.550121	0.0186622	0.00337057	0.00436694	0.00131889	0.0018125	0.00527134
o	0.000120637	0.00571406	0.248467	0.609374	0.0741677	0.0331395	0.00588026	0.00484549	0.0054143	0.0128772
d	4.97101e-05	0.000566958	0.111541	0.775372	0.0807869	0.00346254	0.0159119	0.000706469	0.0028372	0.00876438
z	5.02151e-05	0.000423087	0.12445	0.727623	0.0863701	0.00981051	0.0206679	0.000769786	0.00597537	0.0238595
w	0.00259414	0.00209587	0.0210198	0.968143	0.00139518	0.000437541	5.00354e-05	5.33642e-05	0.00310752	0.00110368
á	0.00130439	0.00210394	0.130923	0.498452	0.127115	0.12879	0.0127709	0.0146238	0.0177437	0.0661747
o	0.00198514	0.0215147	0.0929001	0.102618	0.268755	0.37728	0.0399585	0.0654702	0.019648	0.00986955
b	5.35672e-05	0.000930041	0.0297585	0.0381826	0.441006	0.088783	0.3614	0.0107015	0.0198804	0.00930428
h	4.26975e-06	5.0523e-05	0.00448024	0.005233	0.27727	0.0188026	0.679295	0.00207365	0.0062722	0.00651813
ω	1.42493e-06	9.74246e-06	0.00131757	0.0101645	0.259793	0.0118765	0.700296	0.00194572	0.00487248	0.00972363
r	4.45994e-06	1.64103e-05	0.000694938	0.00198315	0.152934	0.0777936	0.689602	0.026662	0.00539024	0.0449194
ω	7.61764e-05	0.000430651	0.00315303	0.00191854	0.127069	0.181109	0.516665	0.0349782	0.0124652	0.122135
m	0.000565309	0.000826707	0.00228088	0.000832402	0.0140723	0.260482	0.0486357	0.525023	0.0509842	0.096297
w	0.000395518	0.000564359	0.000336983	0.00177093	0.00075892	0.00606453	0.00596549	0.124847	0.673627	0.185669
é	0.000102521	3.40765e-05	2.37203e-05	0.000370074	0.000221587	0.000943235	0.00230317	0.00219091	0.991509	0.00230207
s	0.000260169	0.00041457	0.00163304	0.0040625	0.0207138	0.0251836	0.124639	0.166895	0.606822	0.0493754
é	0.000131804	0.000143145	0.00040698	0.00157238	0.00104107	0.00743865	0.00575134	0.0309858	0.867374	0.0851547
</S>	6.29218e-05	0.000415074	0.00182596	0.000461399	0.00777429	0.0414657	0.0308476	0.196354	0.10064	0.620152
