 	ce	jeune	garçon	a	un	abcès	au	cou	</S>
m	0.830283	0.136102	0.021815	0.000949026	0.00137866	0.00789613	0.00117006	0.000195855	0.000210864
w	0.0236025	0.971016	0.00316558	0.000503813	0.000264815	0.000166314	0.000249864	0.000240569	0.000790184
á	0.0127028	0.968161	0.0178043	0.000292568	0.000665719	0.000207575	3.41316e-05	6.59631e-05	6.56575e-05
n	0.439461	0.487407	0.0636656	0.000946111	0.000689745	0.0021961	0.000467196	0.000289814	0.0048777
a	0.0813162	0.724068	0.126199	0.0213331	0.00498213	0.00587727	0.00175314	0.000260925	0.0342098
i	0.879305	0.0812377	0.0152351	0.00871447	0.00373313	0.0025134	0.00392208	0.00130538	0.00403415
b	0.267327	0.212494	0.136492	0.131521	0.0855278	0.0676706	0.03162	0.0440291	0.0233189
a	0.0130964	0.0623901	0.547806	0.091012	0.0819231	0.159158	0.0191081	0.00942987	0.0160759
a	0.106627	0.0417642	0.506686	0.145082	0.0690398	0.0537869	0.0148472	0.00387761	0.0582891
w	0.131828	0.0164172	0.247351	0.419019	0.0762173	0.0188334	0.0279558	0.0030431	0.0593355
ó	0.0884411	0.00537596	0.0468425	0.404424	0.207051	0.0646884	0.0834161	0.0167288	0.0830317
a	0.0839226	0.00498303	0.0538828	0.373082	0.15651	0.0430299	0.077291	0.0140313	0.193268
d	0.00710318	0.000924497	0.024402	0.416292	0.303983	0.126336	0.0742476	0.00572167	0.0409903
í	0.0258462	0.00523633	0.0171296	0.404224	0.35024	0.0309492	0.0560385	0.00871062	0.101625
l	0.0422407	0.00090401	0.0106562	0.100123	0.261967	0.160161	0.151164	0.1153	0.157485
i	0.00168006	0.00051756	0.00847261	0.169995	0.328269	0.0967629	0.123648	0.0407061	0.229949
p	0.00454125	0.000400894	0.00331915	0.0339394	0.177873	0.319664	0.102798	0.292849	0.0646149
i	0.00084969	0.000417698	0.00856507	0.0301431	0.156443	0.6409	0.038127	0.0869924	0.0375618
a	0.000680822	0.000159442	0.00442101	0.071245	0.237873	0.387184	0.139088	0.0615887	0.0977603
m	0.00125119	0.000178215	0.00239682	0.0162523	0.0443449	0.0414215	0.4089	0.328963	0.156293
ó	0.0242763	0.00427751	0.00851485	0.0428505	0.0726715	0.0473915	0.190269	0.10247	0.507279
k	0.00774996	0.000316607	0.00217571	0.0055437	0.0175676	0.0648318	0.0966823	0.748347	0.0567852
í	0.000419002	2.07199e-05	0.000180917	0.000574293	0.00339968	0.0264961	0.0129588	0.927219	0.0287313
n	0.00172069	0.0001025	0.00147672	0.00489335	0.0119018	0.0746727	0.0336934	0.676927	0.194612
g	0.00172354	3.98373e-05	0.00115411	0.0184145	0.0463332	0.227991	0.166367	0.383237	0.15474
í	0.00224245	0.000307539	0.00498069	0.0177969	0.0459536	0.0809401	0.124412	0.519468	0.203899
</S>	0.00218163	0.000151225	0.00144143	0.00797527	0.00965848	0.02682	0.147219	0.319983	0.484569
