 	il	a	adopté	le	fils	de	son	frère	</S>
w	0.984361	0.0109362	0.000907613	0.00135224	0.000412191	0.000435709	0.00148181	8.77283e-05	2.49576e-05
a	0.946524	0.0164275	0.00544683	0.00704005	0.00159244	0.00265732	0.0193467	0.000956679	8.74701e-06
á	0.242077	0.71937	0.0305415	0.00285736	0.000889878	0.00160552	0.0019231	0.000309113	0.000425958
b	0.015814	0.60445	0.361252	0.00486694	0.00107025	0.00331162	0.00316701	0.0013141	0.00475368
é	0.0185327	0.416307	0.491312	0.0195902	0.007473	0.0126547	0.0044566	0.0057397	0.0239334
n	0.00667408	0.394893	0.54344	0.0207252	0.00205273	0.00675158	0.00270424	0.00402586	0.0187337
y	0.0733078	0.231497	0.441486	0.0800617	0.013765	0.0282154	0.0300861	0.00823522	0.0933466
i	0.0495611	0.168005	0.355141	0.24457	0.0392337	0.0430298	0.04109	0.00798794	0.0513803
i	0.0218808	0.0177567	0.152583	0.629211	0.082594	0.036212	0.0270723	0.00775597	0.0249343
b	0.00187958	0.0024764	0.045709	0.803808	0.0907538	0.0202077	0.00439042	0.0175017	0.0132732
v	0.00163698	0.0064147	0.054876	0.598951	0.268473	0.0369588	0.00410628	0.0216899	0.00689296
u	8.21307e-05	0.00377171	0.12302	0.532109	0.201734	0.101792	0.00621445	0.00817165	0.0231051
a	0.00219263	0.00184729	0.0141856	0.693139	0.104351	0.122049	0.0207893	0.0165688	0.0248779
l	0.000938443	0.00514802	0.00954321	0.267039	0.201204	0.353512	0.0889799	0.00958332	0.0640517
a	0.00506043	0.0179793	0.00565618	0.150857	0.225761	0.223956	0.0897593	0.0339805	0.246991
m	0.00435699	0.00168039	0.00109435	0.205454	0.201788	0.163589	0.261475	0.0924423	0.0681202
w	0.000414379	0.00148524	0.000578671	0.00921178	0.538051	0.0606874	0.0804343	0.170405	0.138732
á	0.000177016	0.000109982	0.000170824	0.00933099	0.759698	0.0394634	0.0186131	0.152836	0.0196002
n	0.00356456	0.000536151	0.000933007	0.015399	0.287658	0.196383	0.369043	0.0152105	0.111274
a	0.00727092	0.0078521	0.00907573	0.0383655	0.291475	0.192503	0.115865	0.0838638	0.253729
y	0.00067047	0.00101575	0.00118915	0.0438743	0.0599137	0.3717	0.347396	0.0714634	0.102777
a	0.00261971	0.00226916	0.000205367	0.0506639	0.0560647	0.242158	0.274223	0.198464	0.173333
o	0.000852093	0.00058085	0.000340363	0.0182131	0.00656563	0.06422	0.558226	0.266761	0.0842404
d	3.16607e-05	0.0034023	0.00328954	0.019749	0.00313633	0.0290394	0.0569577	0.836339	0.0480548
i	5.68775e-05	0.00348598	0.00246807	0.0102392	0.00260374	0.0239928	0.0785149	0.814627	0.0640113
m	6.45297e-05	0.00120838	0.000813532	0.0134311	0.0149941	0.118858	0.222212	0.358331	0.270087
í	6.55775e-05	0.000301143	6.17302e-05	0.00357205	0.00759284	0.0524025	0.109004	0.531874	0.295126
y	0.000790319	0.000685544	0.00191982	0.0126117	0.0106037	0.0751804	0.275867	0.079617	0.542725
a	0.000483208	0.0040347	0.00103798	0.0181357	0.0121314	0.0518798	0.148276	0.415128	0.348893
w	0.000997293	0.00130957	0.000885681	0.0147004	0.00454742	0.0250465	0.287179	0.418606	0.246729
a	0.00225829	0.000469288	0.00352239	0.0371246	0.00707411	0.11327	0.480393	0.221542	0.134347
</S>	0.000184601	0.000194875	0.000677461	0.0127308	0.00500148	0.0655484	0.197642	0.161219	0.556801
