 	ta	vie	était	en	péril	lorsque	la	voiture	a	failli	te	heurter	</S>
n	0.605948	0.373341	0.0104887	0.00535455	0.000505788	0.00146986	0.00134829	0.000383226	0.000622375	0.000217592	0.000230172	7.65187e-05	1.38595e-05
ω	0.866601	0.12559	0.00084886	0.000146195	0.00322346	0.000141279	0.000204147	2.25475e-05	1.13382e-05	0.0021552	0.00102137	3.25098e-05	1.33589e-06
ó	0.06288	0.875411	0.0491978	0.00256055	0.00126722	0.000806278	0.000647235	0.00192385	0.00030994	0.00030455	0.00167052	0.00250863	0.000512404
w	0.0153005	0.58126	0.1284	0.0715769	0.0137904	0.0121829	0.0142296	0.00994663	0.0321536	0.00215234	0.0112153	0.00575934	0.102033
ú	0.0660489	0.232251	0.0934522	0.0837612	0.0147086	0.0476615	0.0510868	0.0753927	0.0557443	0.00178275	0.0125628	0.0176292	0.247918
r	0.331226	0.284893	0.105582	0.0664405	0.00576639	0.0169623	0.0243054	0.0252351	0.00954048	0.00375458	0.0193573	0.0304174	0.0765194
u	0.391198	0.213179	0.120683	0.0243355	0.00509216	0.00975586	0.0113126	0.00623276	0.0109732	0.00572571	0.0183298	0.0380894	0.145093
b	0.0576232	0.00883828	0.154865	0.668168	0.0763006	0.00952127	0.00504521	0.00251375	0.00411633	0.00461088	0.00386863	0.000621098	0.00390854
y	0.0872168	0.00360962	0.118851	0.549645	0.0474622	0.0654376	0.0484523	0.00966529	0.0330779	0.00201859	0.0132567	0.00147056	0.0198366
ó	0.00796189	0.00252452	0.0797617	0.708168	0.0526743	0.039063	0.0350938	0.00866003	0.026888	0.00727555	0.00909303	0.000930511	0.0219059
é	0.0150041	0.00423303	0.0549602	0.714821	0.0969762	0.0496153	0.0186421	0.0154103	0.00610034	0.004478	0.00301469	0.00148135	0.0152635
y	0.00450476	0.0013704	0.0396047	0.362978	0.214426	0.238463	0.0756076	0.0263222	0.00779575	0.00778318	0.00896312	0.000959697	0.0112216
é	0.0149192	0.00113573	0.0385877	0.136214	0.391377	0.171153	0.0660281	0.118026	0.0154805	0.016345	0.008566	0.004979	0.0171882
n	0.0190266	0.00025072	0.0206368	0.183522	0.215716	0.238801	0.143131	0.101125	0.0201406	0.0133194	0.0114502	0.0042199	0.0286614
g	0.0158768	0.000490756	0.00429077	0.00589926	0.654904	0.141992	0.0241733	0.0472332	0.00248177	0.0485446	0.0383787	0.000992253	0.014743
í	0.00176262	0.000857761	0.00361937	0.00376819	0.459311	0.173988	0.0359315	0.186439	0.00807609	0.0301386	0.0430109	0.00790156	0.0451957
o	0.00500972	0.00151297	0.00771362	0.0456783	0.0786646	0.355832	0.200604	0.195075	0.0488223	0.0268993	0.0192471	0.00341035	0.0115315
t	0.000440604	0.000530046	0.00149499	0.00368871	0.0060353	0.246725	0.445152	0.256048	0.0165265	0.00971048	0.00233167	0.00812551	0.00319091
ω	5.32041e-05	7.6553e-05	0.000362274	0.00218379	0.000905038	0.0505762	0.150072	0.748634	0.0139286	0.000522707	0.000198856	0.0189611	0.0135263
m	4.45527e-05	6.03118e-06	0.000175777	0.00275885	0.00140833	0.0343767	0.0432214	0.891155	0.00512201	0.000680949	0.000985152	0.0075774	0.0124875
b	7.43371e-05	2.42743e-05	0.000138137	0.00173288	0.00145628	0.124327	0.0959243	0.565829	0.136516	0.0021861	0.00335539	0.00693954	0.0614966
í	0.000371058	0.000827115	0.0018107	0.00629445	0.00136546	0.0803064	0.0793821	0.236279	0.137765	0.000825003	0.00520167	0.0444941	0.405078
l	0.00318874	0.000172314	0.000688889	0.00613295	0.00373616	0.21471	0.109241	0.112616	0.290267	0.0332517	0.012545	0.0117638	0.201686
i	0.00431875	0.000140038	0.000465896	0.00338387	0.0181931	0.208827	0.109284	0.0855497	0.105012	0.137897	0.0815328	0.00866093	0.236736
o	0.00221485	4.40332e-05	0.00109137	0.00629129	0.00487339	0.0501954	0.0822862	0.0135217	0.322752	0.277997	0.167146	0.0105573	0.0610292
d	3.79426e-05	0.000305909	0.000878156	0.00140999	0.000466366	0.0351515	0.140414	0.121996	0.0527964	0.0244211	0.0132811	0.567374	0.041468
z	7.44996e-05	0.00112007	0.00273449	0.00104232	0.00117289	0.0603866	0.117189	0.0823936	0.0402783	0.149214	0.01265	0.408495	0.12325
a	0.000421451	0.00204613	0.00869212	0.00163504	0.000688782	0.0403191	0.1183	0.124793	0.0320562	0.025976	0.00424658	0.585413	0.0554123
r	0.00263362	0.000192096	0.00150081	0.0049903	0.000799391	0.0197738	0.0712994	0.0236432	0.215659	0.109871	0.038423	0.216492	0.294722
á	0.000581147	6.47662e-05	0.000471841	0.00158633	0.000901653	0.0116384	0.0289461	0.027407	0.0661435	0.0821281	0.0228482	0.165941	0.591342
n	0.00314784	4.76625e-05	0.000551998	0.0043136	0.00139784	0.012376	0.031546	0.00533268	0.183506	0.255158	0.361912	0.0356414	0.105069
ω	0.00579407	2.78396e-05	0.000126603	0.000103822	0.00853886	0.00327511	0.00129375	0.00149325	0.0107085	0.504642	0.418733	0.00902016	0.0362434
</S>	0.000768865	8.46404e-05	0.000688014	0.000751261	0.00264514	0.00740635	0.00640759	0.00555699	0.0460518	0.123877	0.248096	0.0681317	0.489535
