 	le	soleil	brille	beaucoup	</S>
m	0.903628	0.0937166	0.00180654	0.000745084	0.000103556
w	0.017105	0.976689	0.00175693	0.000324784	0.00412452
é	0.00203926	0.997882	1.4225e-05	2.54506e-05	3.86121e-05
s	0.822765	0.170597	0.00130535	0.000888947	0.00444401
é	0.336332	0.609863	0.00531504	0.00220003	0.0462896
m	0.752163	0.036629	0.159482	0.0234206	0.0283046
ó	0.549407	0.31525	0.0328184	0.0375185	0.0650057
o	0.787608	0.0300898	0.0555516	0.0434614	0.0832887
b	0.0471287	0.0067766	0.819881	0.0530691	0.0731448
á	0.00160403	0.000638879	0.978389	0.00396105	0.0154067
l	0.0357155	0.00503361	0.422778	0.0951406	0.441332
á	0.124855	0.00243166	0.341406	0.361658	0.16965
o	0.0283362	0.0102288	0.0218248	0.649054	0.290556
y	0.00255703	0.000765438	0.00749482	0.693175	0.296008
í	0.0082025	0.00546469	0.00358205	0.479896	0.502855
í	0.00267629	0.000554067	0.00335836	0.189492	0.80392
</S>	0.00932325	0.000665038	0.0112398	0.43134	0.547432
