 	chaque	matin	le	père	de	ngala	part	au	travail	</S>
l	0.681003	0.129043	0.149344	0.019555	0.0118891	0.00117384	0.00712323	0.000515322	0.000224955	0.000129792
y	0.26679	0.682833	0.0266709	0.00525659	0.00816037	0.00422361	0.00286779	0.00153262	0.000826695	0.000838203
ó	0.0735093	0.876717	0.0108914	0.0235225	0.00452302	0.00924494	0.000399092	0.000247979	0.000270101	0.000674362
l	0.00686615	0.984377	0.00271554	0.0011974	0.000638331	0.000383297	0.000216776	0.000344038	0.00166806	0.00159383
o	0.106115	0.708216	0.126824	0.0111169	0.0124613	0.00389734	0.01445	0.0030189	0.00136127	0.0125391
í	0.23758	0.187351	0.457524	0.0309161	0.0476466	0.00665113	0.0193136	0.00602316	0.00117456	0.0058205
t	0.350926	0.0808492	0.219983	0.109708	0.0633534	0.0521614	0.0391325	0.0361081	0.00452642	0.043252
s	0.0863602	0.129989	0.0651023	0.238412	0.126894	0.161076	0.071721	0.0641718	0.0145636	0.0417103
ω	0.251096	0.132223	0.165094	0.0529561	0.184201	0.114897	0.0446052	0.0314653	0.00374938	0.0197138
t	0.0295002	0.0230395	0.283841	0.256544	0.225781	0.0681288	0.0485313	0.0131857	0.00614716	0.0453006
á	0.0224329	0.00698936	0.0731667	0.807014	0.0256438	0.0349002	0.00850624	0.00448267	0.00154392	0.0153198
á	0.00128264	0.000486444	0.0272969	0.876381	0.0280499	0.0220529	0.00893673	0.00400204	0.00253952	0.0289725
y	0.00543722	0.003132	0.044105	0.0821457	0.311332	0.121762	0.207995	0.16083	0.0224789	0.0407827
a	0.0158524	0.0137376	0.0838935	0.0881464	0.276016	0.256849	0.1046	0.0862615	0.0217059	0.0529367
n	0.0164165	0.00282445	0.106061	0.0774741	0.362367	0.288188	0.0538148	0.0337295	0.00593438	0.0531906
g	0.0036843	0.0039674	0.0109559	0.00279	0.0508905	0.895134	0.020577	0.00617824	0.00139896	0.00442366
a	0.00577533	0.00360879	0.0143555	0.0175784	0.0289978	0.89278	0.017471	0.00611363	0.00135817	0.0119611
l	0.00428745	0.00495705	0.0997427	0.0478397	0.23591	0.260476	0.183263	0.075513	0.0217135	0.0662982
a	0.00935458	0.00860807	0.0259175	0.0321482	0.142317	0.306155	0.201676	0.126579	0.0440945	0.103151
l	0.00504465	0.00145394	0.0249964	0.0228556	0.108579	0.0462113	0.116994	0.316955	0.203318	0.153592
á	0.0111087	0.00407938	0.00863666	0.00753317	0.0383948	0.021828	0.0810887	0.29136	0.269263	0.266707
a	0.00283341	0.00817976	0.0163934	0.00592209	0.0856397	0.02415	0.0669995	0.358517	0.207775	0.22359
d	0.00243695	0.00145614	0.000672273	0.000529972	0.00246511	0.00311841	0.0194153	0.282544	0.523821	0.163541
z	0.000127891	0.000440478	0.000155288	4.09531e-05	0.00115214	0.000487845	0.00891206	0.165178	0.762704	0.0608012
w	0.000529699	0.00308337	0.0036497	0.012122	0.0177199	0.00937401	0.0479282	0.344493	0.300222	0.260879
a	0.00173145	0.00078259	0.00264617	0.000137242	0.0206651	0.0103067	0.115455	0.341274	0.167589	0.339413
á	0.00157821	0.000305769	0.011756	0.000147784	0.0207857	0.00167457	0.0408248	0.160637	0.134694	0.627596
i	0.0244982	0.00508038	0.0503374	0.00291464	0.0435513	0.00917801	0.0535232	0.232896	0.129294	0.448727
s	0.0124128	0.0126622	0.00656154	0.00132881	0.00954647	0.00688553	0.0282819	0.200084	0.477458	0.244779
á	0.00701196	0.00787894	0.0111115	0.000409705	0.0185425	0.00601421	0.013609	0.175626	0.476639	0.283157
l	0.00306274	0.00213523	0.00814047	0.000466223	0.0100162	0.00126113	0.0050787	0.0505677	0.237165	0.682106
a	0.00128142	0.00182433	0.00738846	0.00792887	0.0154493	0.00832318	0.0196013	0.0917799	0.134493	0.711931
</S>	0.00666773	0.0013081	0.0122748	0.000544278	0.0160384	0.00171125	0.0203729	0.118703	0.0925154	0.729864
