 	je	suis	venu	assister	au	mariage	de	ngala	</S>
n	0.766648	0.178077	0.00815957	0.00721698	0.018725	0.0121331	0.00867304	0.000238717	0.000129301
g	0.930219	0.0528106	0.0051013	0.000757397	0.00226517	0.00221268	0.002944	0.00368087	9.06571e-06
á	0.485214	0.190771	0.30497	0.00170755	0.00220115	0.00199757	0.00159388	0.0114904	5.46332e-05
í	0.0554898	0.162712	0.155422	0.0549372	0.0975354	0.10356	0.0775318	0.00891466	0.283897
y	0.0154493	0.0827502	0.819966	0.0461126	0.00755955	0.00578232	0.00199328	0.00215605	0.0182311
ε	0.0493524	0.289217	0.604683	0.0284	0.00419268	0.00420281	0.00574893	0.00323173	0.010971
i	0.0171592	0.151848	0.304593	0.13429	0.0837263	0.0741841	0.0551257	0.0272241	0.151851
o	0.0400462	0.189167	0.28981	0.233895	0.0869952	0.0543407	0.028269	0.00825968	0.0692173
t	0.000807801	0.011695	0.19288	0.604163	0.142583	0.00811802	0.00138799	0.0119512	0.026414
á	0.000381929	0.0123468	0.0509051	0.462001	0.244604	0.0215248	0.00471873	0.0552466	0.148271
á	0.00234612	0.0211736	0.0180735	0.338688	0.100011	0.0753715	0.0252188	0.00376082	0.415356
n	0.0254256	0.102414	0.0308914	0.249514	0.337399	0.153547	0.0830767	0.00468507	0.0130475
d	0.168895	0.0770794	0.0223907	0.026295	0.223925	0.16095	0.151836	0.0416557	0.126972
é	0.0275702	0.0200732	0.0177073	0.0350783	0.0720525	0.0420276	0.0263208	0.669257	0.0899132
n	0.00284191	0.0184707	0.0074757	0.015009	0.0685614	0.0802034	0.177594	0.579542	0.0503016
g	0.00116941	0.00733035	0.00244804	0.122924	0.299495	0.15387	0.0606423	0.0413562	0.310765
é	0.0772905	0.011929	0.0224439	0.0314615	0.17978	0.266334	0.110976	0.209478	0.0903072
y	0.00230384	0.0108638	0.00199188	0.0323595	0.145008	0.379139	0.343143	0.0173799	0.0678107
é	0.0215481	0.0722237	0.00281212	0.0554356	0.111893	0.26728	0.376671	0.0618886	0.0302483
é	0.00837951	0.0365272	0.0028962	0.0319001	0.0631525	0.230546	0.474615	0.097059	0.0549249
k	0.00141975	0.0263973	0.0436352	0.0541441	0.0732634	0.101517	0.190445	0.409745	0.0994332
y	6.75104e-05	0.00264101	0.00152454	0.124503	0.218641	0.136583	0.102045	0.0680889	0.345906
a	0.000314273	0.00378725	0.000786816	0.206689	0.254677	0.153904	0.0673219	0.0525254	0.259995
b	0.000829051	0.00365167	0.000700731	0.0386796	0.0578156	0.204054	0.230624	0.053546	0.410099
á	0.0035334	0.00336846	0.000619753	0.00754727	0.0465858	0.164261	0.521607	0.0695827	0.182894
a	0.00359781	0.00433819	0.000142042	0.00242208	0.0201991	0.186373	0.594055	0.0479691	0.140903
i	0.000364926	0.0025948	0.00220534	0.00782682	0.0144598	0.0251607	0.0289268	0.186148	0.732313
b	2.31516e-05	0.00130038	0.00261226	0.0437055	0.0899248	0.0409672	0.0337706	0.0828509	0.704845
á	7.15204e-05	0.00551865	0.00155431	0.0449966	0.178241	0.0586991	0.129174	0.116452	0.465293
a	0.000208887	0.00193033	0.000367917	0.00951474	0.0262584	0.0676932	0.21956	0.0737797	0.600687
l	0.000737506	0.00493315	0.00162139	0.0137163	0.0403081	0.0808989	0.0796545	0.0753578	0.702772
á	0.00485751	0.0113807	0.00291006	0.0146546	0.0455563	0.043993	0.0596756	0.147644	0.669328
n	0.00410617	0.0119303	0.000818491	0.00561874	0.021598	0.066412	0.338273	0.176215	0.375029
g	0.132706	0.0149969	0.000773402	0.0002174	0.00375809	0.0118979	0.0978448	0.690404	0.0474015
a	0.00411662	0.0017458	0.00153151	0.000139192	0.00115327	0.0052235	0.0388691	0.878558	0.0686625
l	0.00011476	0.000275818	5.25439e-05	0.00158145	0.012904	0.0531324	0.12261	0.0986322	0.710697
a	0.000359514	0.00159104	0.000619064	0.00828512	0.0216983	0.021801	0.0278235	0.123474	0.794349
</S>	0.00102074	0.00296068	0.00022839	0.00307546	0.0147063	0.0378157	0.0816516	0.167162	0.691379
