 	je	m'	inquiétais	pour	toi	</S>
n	0.906362	0.0836626	0.000827136	0.00857696	0.00022773	0.00034383
g	0.903577	0.0936334	8.47228e-05	0.000465785	0.00222176	1.73513e-05
á	0.361831	0.447	0.00413782	0.00470834	0.181997	0.000326478
í	0.0667559	0.315047	0.0631285	0.110137	0.0498994	0.395032
d	0.0486219	0.105154	0.720586	0.0232521	0.0102655	0.0921208
z	0.046977	0.0771217	0.486128	0.0469075	0.00447499	0.338391
e	0.151739	0.132994	0.700672	0.00610395	0.00431027	0.00418124
l	0.220098	0.302315	0.194234	0.119812	0.0301518	0.133389
í	0.067651	0.425641	0.0578107	0.124252	0.0543076	0.270338
i	0.0509792	0.406504	0.164546	0.104696	0.0931785	0.180096
y	0.00169536	0.0231871	0.854725	0.043148	0.008451	0.0687939
á	0.000174278	0.00235692	0.819893	0.0277019	0.00410024	0.145774
m	0.00557839	0.039941	0.407747	0.0589057	0.0168899	0.470938
á	0.00901236	0.0735533	0.0866004	0.475723	0.230169	0.124942
á	0.0140223	0.175862	0.0224644	0.349848	0.337102	0.1007
n	0.0305921	0.0365408	0.0166658	0.274224	0.465605	0.176372
ω	0.0110288	0.0203395	0.00216221	0.116675	0.794287	0.055507
</S>	0.00175833	0.0125087	0.00311101	0.203122	0.0760835	0.703416
