 	le	chasseur	a	pisté	des	sangliers	dans	la	forêt	</S>
o	0.996145	0.00337424	0.000225233	6.05292e-06	6.57414e-05	1.45192e-05	3.7482e-05	6.72892e-05	2.79416e-05	3.67495e-05
b	0.259489	0.636452	0.0332534	0.0550717	0.00558196	0.00288115	0.00128706	0.00234633	0.00286574	0.000771639
e	0.494012	0.49876	0.00204673	0.000512987	0.00100213	0.00025257	0.000349937	0.00097474	0.00100887	0.00107994
n	0.375383	0.56306	0.00745029	0.00227634	0.00372296	0.000647882	0.00304665	0.00165243	0.000334804	0.0424256
g	0.818811	0.124909	0.0235767	0.00196865	0.00690208	0.00388494	0.00364068	0.00156937	0.00108997	0.0136472
i	0.596406	0.332703	0.039004	0.00501606	0.00617806	0.00533852	0.00452939	0.00286894	0.001166	0.0067905
á	0.0157142	0.00238449	0.852899	0.0868247	0.0230661	0.00139976	0.00652928	0.0018592	0.00013194	0.00919109
d	0.0005438	0.00109253	0.408721	0.517723	0.0525793	0.0049047	0.00658499	0.00367074	0.000856002	0.00332429
z	0.000439641	0.000287008	0.0624591	0.86826	0.0376924	0.00558691	0.00986317	0.00291256	0.000213743	0.0122852
u	0.012461	0.000123292	0.0397807	0.831811	0.0637085	0.0352672	0.0100853	0.00231539	0.000124869	0.00432301
u	0.00217902	1.68501e-05	0.04664	0.445321	0.261401	0.0728097	0.081852	0.0253726	0.00363085	0.0607775
a	0.000130718	3.6739e-05	0.0174844	0.0997743	0.595491	0.18713	0.0681359	0.0192181	0.00352648	0.00907218
n	0.000678174	0.000225725	0.0147966	0.0871816	0.518297	0.189936	0.138477	0.0388128	0.00555961	0.00603554
g	0.000361793	0.000271263	0.00593232	0.164472	0.372507	0.339229	0.0761751	0.0220158	0.000749054	0.0182873
o	0.000147314	8.60848e-05	0.00153044	0.0509131	0.0718264	0.859852	0.0115	0.00230994	0.000726927	0.00110788
y	4.49608e-06	2.45405e-05	6.66871e-05	0.0298432	0.0127985	0.924039	0.0168599	0.00452803	0.00624122	0.00559396
á	0.0015683	4.60099e-05	0.00197963	0.00718971	0.114086	0.553638	0.155854	0.0183967	0.00259636	0.144645
s	0.000134164	7.32588e-05	0.0050872	0.0120744	0.118932	0.183277	0.485593	0.137571	0.0280856	0.0291717
á	0.000828599	3.07012e-05	0.00149554	0.00277144	0.0467368	0.256195	0.310098	0.218127	0.0460135	0.117703
k	0.00336107	2.30941e-05	0.000988508	0.000650858	0.0086748	0.0983198	0.131153	0.204792	0.525116	0.0269212
ώ	4.34326e-05	5.80091e-06	7.14962e-05	2.4918e-05	0.0016821	0.072144	0.0379781	0.0345205	0.847093	0.00643621
</S>	0.000112747	2.13402e-06	2.34751e-05	3.96035e-05	0.000910497	0.0112521	0.0119292	0.0225024	0.938025	0.0152034
