 	j'	ai	besoin	d'	un	masseur	</S>
n	0.949281	0.0421463	0.000824694	0.00338752	0.00328577	0.0010389	3.55955e-05
g	0.957465	0.0410124	5.48508e-05	0.000808449	0.000514416	0.000138189	6.82242e-06
á	0.88977	0.106479	0.000478335	0.00102661	0.000814971	0.00141337	1.78715e-05
i	0.145517	0.465481	0.0597848	0.0900465	0.0648359	0.131257	0.0430789
d	0.0715793	0.41131	0.155987	0.0367507	0.0169777	0.00820092	0.299194
í	0.323241	0.572678	0.0361329	0.0124834	0.00704084	0.00354815	0.0448756
l	0.219989	0.384915	0.218156	0.0403243	0.0266064	0.0056876	0.104322
i	0.0931987	0.204496	0.373119	0.111144	0.0346586	0.00991747	0.173466
k	0.00962187	0.0275999	0.809876	0.0762889	0.0149501	0.0159932	0.0456694
á	0.000331547	0.00203557	0.949215	0.0290429	0.00356228	0.0114114	0.00440097
m	0.00533947	0.0078454	0.865718	0.0535815	0.0148064	0.0118076	0.0409017
b	0.00872729	0.0330685	0.485887	0.337723	0.057081	0.00557931	0.0719347
í	0.00855447	0.0432754	0.231171	0.333735	0.0842103	0.0327741	0.26628
l	0.0064972	0.0283239	0.0726663	0.590369	0.231556	0.0119209	0.0586665
ó	0.0121098	0.0141135	0.0491885	0.336232	0.136377	0.046151	0.405828
k	0.00682204	0.00455877	0.0241773	0.371602	0.190214	0.239319	0.163306
ώ	0.000175568	0.00122822	0.134459	0.375114	0.170711	0.265863	0.052449
i	0.000239402	0.000338234	0.104757	0.15786	0.151542	0.518185	0.0670785
n	0.000189571	0.00156925	0.00698984	0.195615	0.519871	0.145888	0.129878
g	0.00249138	0.00736794	0.0174114	0.12336	0.285168	0.326878	0.237324
á	0.00840737	0.00578587	0.00160553	0.0848606	0.207474	0.612775	0.0790921
b	0.000407289	0.00275014	0.00683316	0.081696	0.349962	0.328088	0.230263
o	0.00362954	0.00303594	0.0101896	0.0904471	0.363165	0.372533	0.157
n	0.00155375	0.00649715	0.0158425	0.0907647	0.145966	0.595043	0.144333
g	0.000325904	0.00176081	0.0186712	0.05743	0.11344	0.631763	0.176609
a	0.00387993	0.0020482	0.00141758	0.0219471	0.0574629	0.6717	0.241544
</S>	0.000353012	0.00363696	0.0040048	0.0279729	0.0621112	0.0999869	0.801934
