 	je	m'	appelle	thomas	</S>
d	0.363641	0.0679878	0.332303	0.235376	0.000692893
í	0.048958	0.539415	0.227872	0.00572982	0.178025
n	0.605611	0.125373	0.201869	0.00831194	0.0588346
a	0.492954	0.211707	0.016051	0.000337748	0.27895
l	0.0596862	0.283115	0.28196	0.000735728	0.374503
á	0.0480139	0.203064	0.0871347	0.0118824	0.649905
n	0.232074	0.363601	0.310533	0.0116419	0.0821504
g	0.192378	0.797374	0.00544254	3.8786e-05	0.00476711
á	0.165738	0.803833	0.020609	0.000379487	0.0094396
t	0.0116181	0.129967	0.588603	0.192864	0.0769474
o	0.0196432	0.00863758	0.0662903	0.893187	0.0122419
m	0.00263071	0.00197107	0.0552227	0.932743	0.00743219
á	0.000828063	0.00280149	0.0713441	0.753659	0.171367
</S>	0.0162442	0.0986366	0.0774031	0.125341	0.682375
