 	j'	ai	entendu	le	bruit	d'	un	éléphant	</S>
n	0.797195	0.163063	0.0112937	0.0156798	0.00535771	0.00412642	0.0027349	0.000368956	0.000181077
g	0.967783	0.0311069	0.00037699	0.000484707	4.01034e-05	3.44239e-05	9.7759e-05	7.4388e-05	1.53465e-06
á	0.675266	0.303559	0.00757616	0.00428045	0.000498069	0.00017246	0.000858027	0.00775141	3.88431e-05
í	0.0616415	0.578989	0.0221623	0.0838015	0.0163173	0.0181556	0.03113	0.033754	0.154049
b	0.0142893	0.306611	0.65956	0.0102508	0.00204553	0.00118308	0.000835382	0.000571887	0.0046532
ó	7.34539e-05	0.00436096	0.990072	0.0028528	0.00181348	0.0002865	0.000144596	7.14443e-05	0.000324255
n	0.00129036	0.211974	0.57866	0.162306	0.0263569	0.00681487	0.00279014	0.00474173	0.00506622
d	0.0207096	0.0782026	0.355871	0.342957	0.117618	0.025166	0.00894142	0.00420306	0.0463312
i	0.00389834	0.0596765	0.0934674	0.363877	0.311499	0.0271029	0.0128735	0.0212104	0.106395
l	0.00274423	0.0275652	0.00818453	0.572269	0.148113	0.147357	0.0572496	0.00883668	0.0276809
o	0.00415565	0.00875769	0.0183434	0.422566	0.253861	0.0732761	0.048832	0.0395431	0.130666
b	0.00125859	0.0295459	0.00165091	0.278432	0.547086	0.0241541	0.00758126	0.0918044	0.0184869
h	1.92349e-05	0.000396915	0.000207858	0.0958759	0.858765	0.0271813	0.00208346	0.0115477	0.00392276
ó	4.50343e-06	8.42016e-05	0.000728821	0.0381789	0.859529	0.0506535	0.00877755	0.00829533	0.0337485
l	3.932e-06	9.61829e-05	9.49503e-05	0.0377796	0.454843	0.383803	0.0497915	0.0211179	0.0524698
á	5.17042e-05	0.000146972	0.000497466	0.0442724	0.260162	0.139003	0.0576273	0.11975	0.378489
n	0.000137028	0.000440993	7.95165e-05	0.013867	0.0170765	0.352511	0.338264	0.244427	0.0331972
d	0.00868524	0.00198105	0.000798226	0.010224	0.00629694	0.0751102	0.340578	0.505418	0.0509085
z	0.0083376	0.00180373	0.000207351	0.00257677	0.00598669	0.038354	0.222305	0.639537	0.0808913
ω	3.51057e-05	3.13254e-05	1.03181e-05	0.00139592	0.0112379	0.0160354	0.057767	0.873042	0.0404453
i	1.19486e-05	8.5475e-05	0.000443461	0.00943632	0.0606015	0.0847569	0.0990619	0.49613	0.249472
</S>	5.25903e-06	1.96643e-05	2.06408e-06	0.00348436	0.00460395	0.101102	0.202291	0.0858857	0.602607
