 	les	bananes	sont	pleines	</S>
a	0.590464	0.394319	0.0114115	0.00340248	0.00040298
t	0.0257828	0.924224	0.0184751	0.03009	0.0014281
ω	0.019365	0.940393	0.00813604	0.0127873	0.019319
r	0.0626645	0.742511	0.127491	0.0214165	0.045917
ω	0.059771	0.84582	0.0475927	0.011204	0.0356121
á	0.214556	0.0671606	0.614081	0.046042	0.0581602
s	0.061464	0.02505	0.821244	0.0278321	0.06441
á	0.151416	0.0126204	0.531981	0.0141072	0.289876
a	0.207263	0.00467142	0.515671	0.0307677	0.241627
a	0.0605215	0.00980886	0.317281	0.126185	0.486204
b	0.0108544	0.00556574	0.386723	0.428305	0.168552
o	0.00829687	0.00597059	0.111966	0.822955	0.0508111
s	0.0029264	0.0066692	0.163121	0.479169	0.348115
i	0.0243949	0.014495	0.489279	0.229536	0.242296
</S>	0.00612125	0.00112535	0.305134	0.0245966	0.663023
