 	c'	est	pas	moi	qui	ai	touché	ton	sac	</S>
o	0.198615	0.177031	0.163354	0.0824269	0.198074	0.0424567	0.0220219	0.1016	0.010248	0.00417296
k	0.00768845	0.0263353	0.00545523	0.00738609	0.0285658	0.0442046	0.679744	0.0876507	0.0614726	0.0514976
á	0.00849744	0.0281551	0.0271718	0.0173955	0.0627866	0.0338611	0.416673	0.0323065	0.227378	0.145775
r	0.00318882	0.0727011	0.00928664	0.00950216	0.0704062	0.0795624	0.495846	0.0233959	0.0480899	0.188021
i	0.224314	0.0881781	0.0291417	0.0628873	0.135434	0.0923766	0.0621069	0.124151	0.0872954	0.094115
p	0.110513	0.0889284	0.102856	0.0754263	0.124079	0.0776519	0.0429999	0.233171	0.0919732	0.0524019
ε	0.0367431	0.0229236	0.0825913	0.0552729	0.0761929	0.0326523	0.0354155	0.0420787	0.48357	0.13256
n	0.0158242	0.0389251	0.050463	0.0627434	0.0749095	0.0668856	0.0954826	0.0899471	0.319417	0.185402
g	0.00980329	0.0102609	0.0532726	0.0728832	0.096871	0.0553086	0.0566956	0.132981	0.420351	0.0915736
ε	0.00364833	0.00217457	0.0456514	0.168993	0.0705321	0.0441007	0.0161817	0.23246	0.381678	0.0345802
y	0.0301975	0.016638	0.154541	0.09864	0.130555	0.0920461	0.0695354	0.179373	0.117579	0.110895
á	0.0488991	0.0153596	0.210368	0.147572	0.0495696	0.0417795	0.0574526	0.187624	0.130285	0.11109
n	0.00874415	0.00347011	0.0898336	0.492599	0.0573983	0.0432289	0.0193395	0.243908	0.0284304	0.0130478
ω	0.000497051	0.000272934	0.0121362	0.309854	0.0631802	0.0598994	0.00744686	0.453545	0.0541203	0.0390472
é	0.00204946	0.00321361	0.0304653	0.0485788	0.0445595	0.0546085	0.0361112	0.0904786	0.0823247	0.60761
d	0.0419708	0.0309441	0.0843005	0.034999	0.0360703	0.0309199	0.114214	0.130753	0.123321	0.372509
í	0.0146057	0.0198706	0.0260652	0.0153947	0.0117914	0.0204915	0.0870212	0.038363	0.00495081	0.761446
o	0.0169343	0.0129427	0.332725	0.290307	0.0518632	0.0358372	0.0287595	0.0553706	0.00220728	0.173054
d	0.00559415	0.016615	0.00886816	0.00515193	0.00848457	0.0162975	0.0906133	0.167794	0.0448616	0.63572
z	0.00422194	0.0206465	0.0151322	0.00798543	0.0370984	0.0179342	0.0813417	0.0732056	0.0323139	0.71012
a	0.00536319	0.00796501	0.00694849	0.0110112	0.0247531	0.012982	0.0497611	0.060883	0.246149	0.574184
n	0.00472199	0.00278541	0.0176884	0.0128478	0.0122819	0.0137827	0.0376667	0.0616885	0.0238233	0.812713
g	0.00473589	0.0117151	0.0280014	0.0311618	0.030234	0.0704002	0.0682509	0.254159	0.0313152	0.470026
á	0.000753196	0.00166369	0.00926142	0.0100904	0.0154394	0.0265985	0.01682	0.075432	0.0336265	0.810315
k	0.00627084	0.0054306	0.0230858	0.0122828	0.0221315	0.0485081	0.0298336	0.328297	0.0946036	0.429556
a	0.00405354	0.0285642	0.100474	0.0807417	0.053113	0.0289627	0.0187213	0.0974172	0.0288305	0.559122
á	0.00116422	0.00453067	0.0184906	0.0160487	0.00484031	0.0131001	0.0131606	0.0298439	0.041847	0.856974
</S>	0.0102161	0.0232992	0.0362055	0.0185207	0.0370881	0.084298	0.0994877	0.0565605	0.0110409	0.623283
