 	les	petits	enfants	font	la	course	dans	la	cour	</S>
b	0.504914	0.405258	0.0619193	0.0217156	0.00340538	0.000883736	0.00115561	0.000648925	6.1598e-05	3.76757e-05
á	0.1811	0.439485	0.343378	0.0319784	0.00161362	0.000671417	0.000467451	0.00115563	3.97425e-05	0.000110544
n	0.065204	0.385462	0.515523	0.0282387	0.00240634	0.00163112	0.00090003	0.000172681	0.000183676	0.000278876
a	0.113703	0.797548	0.0674335	0.00982082	0.00293655	0.00266686	0.000534406	0.000290926	0.000114326	0.0049525
b	0.329852	0.211157	0.232533	0.0967166	0.0403462	0.0241411	0.0289622	0.0171065	0.00268018	0.0165056
á	0.132516	0.290068	0.308623	0.129857	0.0488048	0.0293408	0.0154845	0.0162223	0.000851486	0.0282326
n	0.0354484	0.112296	0.675771	0.117753	0.0202185	0.0052831	0.00887415	0.00714261	0.00356739	0.0136463
d	0.0286345	0.711927	0.177421	0.016518	0.00888802	0.0448012	0.00338459	0.00208852	0.00106391	0.00527354
z	0.0590432	0.371587	0.481324	0.018308	0.0092312	0.0334634	0.00310964	0.00236727	0.0136188	0.00794708
é	0.221944	0.562743	0.0888732	0.00936318	0.0181225	0.0413745	0.00502963	0.00496381	0.0364802	0.0111056
s	0.404117	0.491131	0.0389262	0.0227115	0.0162541	0.00786925	0.00287096	0.00478011	0.00616961	0.00516998
i	0.371642	0.366394	0.0717375	0.07269	0.04287	0.0194638	0.00876242	0.00550795	0.0181324	0.0227993
b	0.0681776	0.0344008	0.19931	0.407714	0.180423	0.0599954	0.0233108	0.0111958	0.00225477	0.0132169
ó	0.0581182	0.126396	0.334849	0.326974	0.103709	0.0212241	0.00891078	0.00880453	0.000341372	0.0106736
b	0.0356426	0.0223427	0.0859612	0.410485	0.305532	0.0443009	0.0577594	0.0288969	0.00121729	0.00786231
á	0.120667	0.260955	0.214674	0.295761	0.0759724	0.023784	0.0041013	0.00267539	0.000146562	0.00126332
a	0.0327662	0.0855783	0.12446	0.456567	0.227137	0.0424889	0.0152022	0.00806784	0.000897893	0.00683533
t	0.00752304	0.00296358	0.0212093	0.167177	0.570242	0.147341	0.0510276	0.00748909	0.00341517	0.021613
ώ	0.00279166	0.00139382	0.0155026	0.22525	0.56046	0.0774644	0.0753007	0.00855319	0.00412211	0.0291616
ώ	0.00265784	0.0026562	0.0248902	0.158899	0.444906	0.111212	0.176505	0.0332516	0.0118571	0.0331643
m	0.0021741	0.00332526	0.0046589	0.0828022	0.378946	0.21849	0.221294	0.076803	0.0023406	0.00916592
b	0.00385847	0.00893522	0.00502922	0.0273357	0.291693	0.415872	0.0824896	0.105783	0.00903873	0.0499649
á	0.00588103	0.0284175	0.03081	0.0980352	0.258993	0.45522	0.048119	0.0390893	0.00636322	0.0290717
á	0.00472211	0.00527312	0.0232946	0.144845	0.236167	0.438846	0.0713483	0.0289505	0.00528857	0.041265
n	0.00271327	0.00106991	0.00213248	0.00995533	0.069987	0.236666	0.421469	0.224452	0.0140903	0.0174643
g	0.00791098	0.0194229	0.00617073	0.00513753	0.0440436	0.577365	0.0929206	0.0571875	0.11767	0.0721713
e	0.00651225	0.0766663	0.0219752	0.0155486	0.0609134	0.462916	0.126175	0.0819045	0.134498	0.0128903
ó	0.000554001	0.00031867	0.000172167	0.00205678	0.0688899	0.158886	0.32017	0.314091	0.0745042	0.0603572
d	0.00102112	8.63615e-05	4.27745e-05	0.000563949	0.0161668	0.053734	0.173851	0.255304	0.257659	0.241571
z	0.00223331	0.000236286	6.24557e-05	0.00058503	0.00656179	0.0534328	0.129443	0.168212	0.443	0.196233
a	0.00186261	0.000718452	0.00026565	0.00048244	0.0191629	0.0571174	0.0487442	0.0921507	0.742269	0.0372265
n	0.00208506	0.000486411	0.000167597	0.00155041	0.0244342	0.0608368	0.12529	0.151583	0.314018	0.319549
g	0.00231488	0.00211798	0.000748246	0.00257763	0.01433	0.0825713	0.110715	0.16098	0.418878	0.204766
é	0.000294992	0.000629874	0.000355774	0.000483815	0.00325586	0.0156617	0.0143439	0.0390386	0.819021	0.106915
</S>	0.000338368	0.000122271	7.0117e-05	0.000848505	0.00932332	0.0215416	0.0752725	0.166152	0.196333	0.529998
