 	il	chasse	les	poules	qui	entrent	dans	la	maison	</S>
w	0.965471	0.0113378	0.00759366	0.00345601	0.0040986	0.00143491	0.00111387	0.00533256	0.00015222	9.4788e-06
a	0.9467	0.00292454	0.0123894	0.000632347	0.0149783	0.000956617	0.00281272	0.0179206	0.000418925	0.000266455
l	0.182851	0.559721	0.176377	0.0255073	0.0201704	0.00905184	0.0117905	0.00596182	0.000524744	0.00804428
á	0.212661	0.0711069	0.18105	0.0168042	0.123889	0.0072572	0.0366272	0.0153733	0.00855737	0.326674
a	0.281852	0.0879852	0.258409	0.0303794	0.0431729	0.0145179	0.0256391	0.0519907	0.0648147	0.141239
t	0.0113134	0.790874	0.101068	0.0809114	0.00292253	0.00620194	0.00216852	0.000411412	0.00038673	0.00374185
ú	0.00249034	0.637837	0.0710041	0.273134	0.00517259	0.00186557	0.00119952	0.000286781	0.000121284	0.00688863
r	0.0028483	0.302915	0.375282	0.281242	0.00995964	0.000850366	0.00540065	0.00318673	0.00129586	0.0170191
á	0.0389626	0.108215	0.654879	0.109142	0.0469309	0.000602069	0.025313	0.0069205	0.000525838	0.00850845
a	0.0144759	0.00813144	0.30199	0.579156	0.0650942	0.0174139	0.00557266	0.00472822	0.00212555	0.00131267
t	0.00339743	0.0147013	0.0626195	0.499448	0.208847	0.150593	0.0190809	0.0206837	0.0156417	0.00498754
s	0.000883463	0.00797563	0.0471929	0.737113	0.119463	0.0665795	0.00697228	0.00358052	0.00237038	0.00786994
ó	0.000414747	0.00345554	0.0248309	0.731626	0.112098	0.0956063	0.011088	0.00460031	0.00256336	0.0137166
s	0.00305635	0.00491265	0.0572494	0.255948	0.480185	0.115093	0.0327148	0.0120742	0.00405779	0.0347088
o	0.00200412	0.00841299	0.0590818	0.45944	0.216829	0.0169559	0.0297734	0.0277322	0.06661	0.11316
b	0.00732611	0.00517159	0.0826421	0.0543273	0.572848	0.0655818	0.130029	0.0280762	0.0117525	0.0422451
á	0.00798313	0.0020259	0.0335647	0.0385649	0.196127	0.563975	0.0641572	0.0209628	0.0075063	0.065133
á	0.010098	0.000389082	0.0552875	0.0135605	0.31824	0.267757	0.0716137	0.0756685	0.0468292	0.140557
k	0.00187411	0.0018191	0.0087711	0.00401186	0.0710517	0.416292	0.248371	0.171691	0.0534331	0.0226851
ó	0.000464303	0.00163637	0.00730269	0.0113377	0.0203607	0.845917	0.0611628	0.02062	0.0059927	0.0252058
á	0.000165804	0.00101733	0.00758926	0.00859173	0.0448857	0.51204	0.192177	0.0803297	0.0186858	0.134518
s	0.000981313	0.000938144	0.00515734	0.00107164	0.0163462	0.0604063	0.286834	0.311669	0.222419	0.0941771
á	0.000640324	0.00103098	0.0122159	0.00107866	0.0279114	0.00408194	0.21112	0.304824	0.103007	0.33409
n	0.000195532	9.94249e-05	0.00158026	0.00196393	0.0135954	0.00261244	0.0629829	0.288078	0.598904	0.0299881
d	3.05873e-05	2.95701e-05	0.00029442	6.66775e-05	0.00535851	0.000594146	0.0205807	0.125073	0.802114	0.045858
é	6.1142e-05	1.68025e-05	0.000111247	6.60333e-05	0.000728371	0.000239859	0.00457851	0.0297691	0.948167	0.0162615
e	7.8057e-06	5.59584e-05	0.000382031	0.00203049	0.0140062	0.00144996	0.0384058	0.0998746	0.48017	0.363617
</S>	0.000580315	0.000617236	0.00498361	0.00129375	0.0363555	0.00419027	0.287025	0.164855	0.078835	0.421264
