 	la	maman	a	mis	du	gombo	dans	la	marmite	</S>
n	0.779068	0.142839	0.0218526	0.0192876	0.0300721	0.00127042	0.00369285	0.00129235	9.84412e-05	0.000527008
g	0.241007	0.754806	0.000949736	0.00020958	0.00103682	0.000770723	9.88961e-05	0.000354886	0.000761218	4.75258e-06
ó	0.0105307	0.988683	0.000318114	8.58458e-05	0.000146618	9.94664e-05	5.10877e-06	3.24954e-05	9.84671e-05	4.86894e-07
o	0.0158008	0.97383	0.00116142	0.000730761	0.00251745	0.00532307	3.98078e-05	0.000112818	0.00043111	5.27823e-05
á	0.115401	0.0438521	0.572948	0.111554	0.0621653	0.0106031	0.037323	0.010696	0.00089489	0.034563
k	0.0324665	0.0145754	0.447692	0.344144	0.102128	0.0177387	0.0176575	0.00540347	0.00123466	0.01696
a	0.00408774	0.00102883	0.134048	0.682065	0.122185	0.0394484	0.00984974	0.00168619	0.000385216	0.00521508
n	0.0125046	0.000976893	0.107962	0.732329	0.108361	0.0226465	0.0100559	0.00152632	0.000900256	0.00273765
i	0.185675	0.00209617	0.0934297	0.446884	0.191248	0.0354019	0.0202765	0.00910314	0.0049372	0.0109471
d	0.0261601	0.00429879	0.0994937	0.121895	0.230578	0.294438	0.156885	0.0399787	0.00987794	0.0163946
ω	0.00712188	5.35557e-05	0.00797767	0.0439926	0.16	0.603758	0.0670599	0.0337198	0.0617512	0.014565
n	0.000575191	1.59515e-05	0.0163278	0.0801645	0.271357	0.493559	0.0812364	0.0296164	0.0101981	0.01695
g	0.00406419	4.43368e-05	0.015037	0.0527104	0.383323	0.361052	0.0652192	0.045106	0.0223477	0.0510966
ώ	0.0176549	9.10514e-05	0.0257852	0.0401055	0.317289	0.387858	0.0861012	0.0301867	0.0202922	0.0746354
d	0.00333362	1.48187e-05	0.0272256	0.0633805	0.130315	0.100981	0.485813	0.109143	0.0126115	0.0671824
ω	0.00226459	2.14058e-05	0.00416778	0.013351	0.02701	0.13416	0.245648	0.150019	0.12061	0.302748
n	0.000216119	3.50719e-06	0.0037206	0.0101408	0.028086	0.113657	0.57128	0.187914	0.0297382	0.055244
g	0.000702272	1.54878e-05	0.00680367	0.0142357	0.0286339	0.0907758	0.25845	0.363808	0.0796842	0.156891
ω	0.00155403	0.000117224	0.00156023	0.00221411	0.0153218	0.230518	0.117237	0.286385	0.262776	0.0823169
s	0.000234857	3.136e-06	0.00400932	0.00492893	0.00813311	0.0138271	0.484838	0.257014	0.0358361	0.191176
á	0.00700859	3.101e-05	0.00259853	0.00304633	0.0182032	0.049318	0.154293	0.32434	0.240427	0.200734
n	0.0115064	0.000216183	0.0014161	0.00121075	0.00350779	0.00744951	0.042812	0.16517	0.737373	0.0293377
d	0.00383138	0.00010911	0.000510275	0.000692158	0.00137164	0.00410977	0.0365863	0.325506	0.568811	0.0584717
z	0.00275345	0.000218918	0.000256175	0.000326287	0.00240422	0.011841	0.00874428	0.150325	0.785477	0.0376538
ú	1.58265e-05	1.22803e-05	2.28874e-05	2.56776e-05	0.000226307	0.0126483	0.00328637	0.039479	0.938377	0.00590618
n	0.00196294	0.000305392	0.000241658	0.00050227	0.0022749	0.0496789	0.00381104	0.0300379	0.892578	0.0186068
g	0.00173596	0.000199243	0.00433272	0.00628434	0.00986144	0.0150919	0.100277	0.149564	0.161588	0.551066
u	0.000658955	1.78632e-05	0.000510817	0.00122812	0.00405529	0.0124857	0.0609053	0.133457	0.687947	0.0987345
</S>	0.000374422	2.15638e-06	0.00136556	0.00305335	0.0013649	0.000350379	0.0468348	0.0549569	0.00675922	0.884938
