 	il	a	accroché	son	chapeau	au	bout	du	piquet	</S>
w	0.91329	0.0726218	0.00673955	0.00486176	0.000193467	0.000882698	0.000633674	0.000669302	8.71066e-05	2.09341e-05
a	0.916714	0.0630333	0.00364241	0.0145837	1.74214e-05	0.000554446	0.00069987	0.00060751	0.00014364	3.45127e-06
á	0.204103	0.69518	0.0519633	0.033059	0.00106891	0.00479572	0.00281675	0.00317222	0.000541283	0.00330034
m	0.0339991	0.515296	0.301599	0.0397425	0.0159623	0.0353081	0.0164548	0.0182566	0.00824989	0.0151316
i	0.00664511	0.153284	0.428185	0.310956	0.0091423	0.0425072	0.0138176	0.00714525	0.00137792	0.0269393
p	0.00650073	0.186725	0.5613	0.119033	0.078193	0.0191822	0.00722704	0.00336136	0.00168561	0.016792
a	0.00323431	0.0500926	0.590087	0.0671795	0.246213	0.0250268	0.00549881	0.00226793	0.00102425	0.00937523
n	0.00250268	0.0452845	0.811252	0.0525979	0.0810884	0.00412447	0.00118365	0.000430712	0.000209552	0.00132606
y	0.0326696	0.0849721	0.730113	0.121351	0.013049	0.0079898	0.00416704	0.000847006	0.000999992	0.00384101
á	0.0306105	0.0151185	0.425381	0.294875	0.0730976	0.0329604	0.0125482	0.0058655	0.00416191	0.105381
ε	0.011543	0.012251	0.14556	0.674411	0.0330222	0.0694774	0.0284604	0.0133517	0.00870869	0.00321416
k	0.00391965	0.00224625	0.0124955	0.0878484	0.810485	0.026108	0.0129339	0.0106746	0.0203235	0.0129654
ω	0.000552877	0.00144888	0.0113938	0.023878	0.909546	0.0221092	0.00439088	0.00582857	0.0136693	0.00718258
t	0.000249909	0.00302781	0.0344782	0.0550069	0.774447	0.0552972	0.00777208	0.00963772	0.0178025	0.0422812
i	0.00209722	0.00290441	0.0667217	0.0274034	0.805288	0.0447081	0.0150623	0.00545429	0.00574339	0.0246175
y	0.0109284	0.0158424	0.0863351	0.142225	0.127408	0.481577	0.0491347	0.0202522	0.0128047	0.0534924
á	0.0336793	0.00884334	0.00661582	0.228662	0.338694	0.137958	0.0894197	0.105723	0.0123179	0.0380867
w	0.0395859	0.010359	0.00389117	0.162548	0.0182986	0.125771	0.316825	0.217037	0.0811203	0.0245646
a	0.0194875	0.00740813	0.0622071	0.0912894	0.0253326	0.116981	0.166649	0.320059	0.141674	0.048912
m	0.00339072	0.000771894	0.00289068	0.0136609	0.00846898	0.167946	0.173602	0.372248	0.178022	0.0789987
ó	0.0013226	0.00257818	0.00754385	0.0382627	0.000711444	0.0385727	0.072617	0.130752	0.0216779	0.685962
i	0.00676699	0.00555285	0.0033378	0.0706828	0.0138599	0.0575624	0.114874	0.293032	0.392226	0.0421062
k	0.00020623	0.0015742	0.00429015	0.00506625	0.0166405	0.00957768	0.0222721	0.0595726	0.808668	0.0721319
í	7.99747e-05	0.000443428	0.00330563	0.00250636	0.0590147	0.0143793	0.0327031	0.0582817	0.812549	0.0167365
</S>	0.00104076	0.000348161	0.00624997	0.00231749	0.00699536	0.0101573	0.0206367	0.0111822	0.844034	0.0970379
