 	je	sens	des	étouffements	</S>
n	0.933567	0.0375543	0.0101298	0.0182537	0.00049514
g	0.997681	0.00177615	0.000259483	0.00017616	0.000107064
á	0.995667	0.00386341	0.000321788	6.79854e-05	7.99561e-05
l	0.47709	0.184392	0.169372	0.0228455	0.1463
í	0.824361	0.0862388	0.0285607	0.00325091	0.0575884
i	0.454572	0.0314588	0.110172	0.0233762	0.380421
b	0.00958171	0.914124	0.0632798	0.00307826	0.00993668
ó	9.63084e-05	0.962472	0.0347424	0.00214131	0.000547838
n	0.0003877	0.864093	0.106698	0.00464026	0.0241809
d	0.00243325	0.29522	0.364463	0.0241015	0.313783
á	0.00298988	0.20173	0.231557	0.0157587	0.547964
e	0.0235295	0.0415855	0.64333	0.235651	0.055904
k	0.00170478	0.00787509	0.374676	0.51996	0.0957834
í	1.57133e-05	0.00116361	0.0536756	0.896434	0.0487106
b	0.00040877	0.0137788	0.105023	0.840462	0.0403278
h	0.00172423	0.00929429	0.218427	0.641462	0.129093
a	0.000115933	0.0367402	0.240442	0.513206	0.209495
s	6.7284e-05	0.00157414	0.0381146	0.280032	0.680212
á	0.00283967	0.00925696	0.0601887	0.114392	0.813323
t	0.0167501	0.00487306	0.0694427	0.155833	0.753101
ó	0.00497652	0.0127588	0.0685629	0.436955	0.476747
o	0.00100137	0.000948072	0.0169313	0.172538	0.808582
</S>	8.49304e-05	0.0018699	0.0267658	0.0220948	0.949185
