 	aujourd'	hui	ma	femme	et	moi	allons	comparaître	devant	les	juges	</S>
b	0.548639	0.320833	0.0370677	0.0184188	0.0360599	0.0139499	0.015413	0.00162383	0.000754706	0.00479631	0.00223172	0.00021172
í	0.435589	0.20367	0.0768502	0.181213	0.0346797	0.0227318	0.00551051	0.019672	0.00240237	0.0156007	0.00151338	0.000567751
s	0.0324244	0.834422	0.0304987	0.0248076	0.028444	0.0172596	0.00326182	0.0222043	0.00135994	0.00155245	0.0010096	0.0027556
í	0.434924	0.0572567	0.299174	0.0421526	0.0384013	0.0776694	0.0145879	0.020398	0.00512016	0.00318571	0.000551904	0.00657791
l	0.144559	0.128222	0.137009	0.124165	0.107417	0.0594649	0.0462784	0.0255861	0.0528122	0.0281114	0.0325114	0.113863
a	0.0373479	0.00485442	0.126962	0.0267785	0.0990057	0.207811	0.0652663	0.0489938	0.039541	0.0399523	0.00873086	0.294756
m	0.100801	0.0159599	0.337989	0.229756	0.0437696	0.0619019	0.0765893	0.0366739	0.0262226	0.00817756	0.00450769	0.0576523
w	0.0358914	0.00642831	0.0223696	0.853301	0.0386599	0.00574394	0.00276411	0.0256112	0.00239235	0.00083517	8.67808e-05	0.00591641
á	0.0165252	0.0680949	0.00425411	0.628963	0.11148	0.00544366	0.00950847	0.0866259	0.0405297	0.00177619	0.00544425	0.0213543
s	0.114206	0.112243	0.343282	0.162539	0.0776262	0.0110127	0.00917467	0.00678446	0.0157895	0.0135346	0.00185791	0.13195
í	0.300083	0.017516	0.295854	0.0584036	0.0712568	0.0654243	0.0405998	0.00510754	0.0145481	0.0184515	0.00653702	0.106218
l	0.0769586	0.0201268	0.190499	0.03797	0.3669	0.170231	0.0784581	0.0335075	0.00588123	0.0120354	0.000876084	0.00655643
έ	0.00860985	0.00318342	0.145285	0.0117364	0.180245	0.150918	0.0571931	0.0325341	0.0347706	0.0266563	0.0101885	0.33868
ε	0.0185903	0.00344849	0.129128	0.0144685	0.344242	0.141045	0.189874	0.0356487	0.0281243	0.0268646	0.00590839	0.0626574
s	0.0158482	0.0076074	0.0225206	0.0737416	0.284825	0.083565	0.10391	0.2686	0.0930788	0.00250317	0.0237025	0.0200981
á	0.00406665	0.000804317	0.0187435	0.0652369	0.034459	0.040116	0.0106642	0.708225	0.109199	0.000378325	0.00128285	0.00682417
m	0.00657695	0.00200137	0.301259	0.0323959	0.154963	0.119851	0.0682023	0.0898179	0.0263813	0.0100401	0.0111114	0.1774
b	0.0151174	0.00300885	0.0455341	0.0106864	0.282623	0.204601	0.196684	0.156621	0.0420649	0.00691299	0.00202427	0.0341233
á	0.0448888	0.0269909	0.0538742	0.0240868	0.285015	0.0428629	0.154841	0.018281	0.025936	0.0152314	0.0137083	0.294284
ó	0.0107599	0.00342788	0.0488901	0.000624326	0.151516	0.382345	0.308532	0.0312493	0.0177621	0.0275737	0.00213913	0.0151803
m	0.00172843	0.000406174	0.00246998	0.00184393	0.0150935	0.0852254	0.0742563	0.56717	0.236349	0.00443506	0.00853282	0.00248922
í	0.000885844	0.000360272	0.000752608	0.00263113	0.0113448	0.0162296	0.0133826	0.672525	0.271772	0.00420675	0.00132015	0.00458852
s	0.00235373	0.000507361	0.00216149	0.00173189	0.0161767	0.0221616	0.0913252	0.247624	0.564358	0.0120435	0.00988363	0.0296726
i	0.000550102	6.5234e-05	0.00150678	0.000659807	0.00276993	0.0293838	0.0183493	0.435472	0.47923	0.00792267	0.00391217	0.0201783
m	0.00109778	0.000205522	0.00791564	0.000415438	0.0244982	0.0656288	0.177705	0.186482	0.430334	0.0512653	0.0104976	0.0439548
á	0.00496749	0.00131291	0.00519349	0.00061931	0.014106	0.0188934	0.0778121	0.0335892	0.514871	0.0874858	0.00416953	0.23698
k	0.00625373	0.000679166	0.014283	0.000828861	0.0160156	0.0572036	0.131466	0.0397545	0.343761	0.240977	0.0555714	0.0932055
á	0.000535092	0.00971317	0.000376656	2.84549e-05	0.00533167	0.00223079	0.0259261	0.00242738	0.268702	0.0102276	0.65351	0.0209909
n	0.00198678	0.0288736	0.01535	5.92667e-05	0.0108001	0.0209959	0.0259689	0.00954135	0.311533	0.0544205	0.419806	0.100665
i	0.000951062	0.00297876	0.00308881	4.07091e-05	0.0187906	0.0322285	0.088839	0.00280882	0.143441	0.0933681	0.3674	0.246064
p	0.00139816	0.000628897	0.00218049	0.000319089	0.0187547	0.0480321	0.101363	0.00328353	0.184716	0.386234	0.0898932	0.163196
á	0.0102132	0.0367604	0.00515467	8.51274e-05	0.00554926	0.00394861	0.0223794	0.000139949	0.0129166	0.0529832	0.687792	0.162078
b	0.0233114	0.351065	0.0189303	0.00015108	0.00884194	0.00846158	0.0127883	0.00331455	0.0331549	0.0389084	0.303319	0.197753
h	0.00193498	0.022021	0.00190041	1.36407e-05	0.000581414	0.000739138	0.00366175	0.000165239	0.0124794	0.050589	0.62815	0.277764
a	0.00300705	0.0819689	0.00264248	0.000388332	0.0209456	0.00494299	0.0601537	0.000967487	0.0660577	0.0515303	0.485521	0.221874
</S>	0.00213168	0.000527551	0.000814381	0.000145764	0.00414155	0.00458775	0.0199266	0.00109692	0.0456693	0.25984	0.298954	0.362164
