 	j'	ai	subi	une	entorse	au	bras	</S>
n	0.938135	0.0243543	0.0114208	0.025524	0.000332306	0.000200271	9.12975e-06	2.39913e-05
g	0.934514	0.0622552	0.00137	0.00181883	1.70519e-06	1.00028e-05	2.65843e-07	3.00842e-05
á	0.784264	0.138942	0.0701315	0.00643441	2.85796e-05	5.76769e-05	8.3013e-05	5.86484e-05
e	0.0776829	0.369999	0.210585	0.300303	0.0258229	0.00702748	0.00329095	0.00528951
b	0.0154909	0.217349	0.172153	0.235482	0.175202	0.040686	0.0453844	0.0982536
ώ	0.00084529	0.0243403	0.0142206	0.0266463	0.4552	0.0143185	0.45567	0.00875929
ω	0.0187267	0.170754	0.0999349	0.310555	0.130778	0.185784	0.0267994	0.0566671
é	0.000939916	0.0269958	0.00951345	0.0509366	0.172503	0.616658	0.0597827	0.0626704
m	0.000218435	0.0135169	0.00446586	0.0165059	0.0199435	0.291905	0.275725	0.37772
i	9.09661e-05	0.0157274	0.00112001	0.00544133	0.0154026	0.21513	0.141854	0.605234
s	7.38703e-06	0.00137689	0.0013595	0.00143166	0.00359861	0.119399	0.0858456	0.786981
ω	4.76427e-05	0.00768723	0.0047855	0.00171539	0.00226462	0.0887767	0.143034	0.751689
ω	6.67529e-06	0.00122674	0.00114554	0.00237502	0.0005248	0.015977	0.122552	0.856193
</S>	0.00052331	0.00798442	0.00243784	0.0157298	0.00204016	0.0847023	0.0642192	0.822363
