 	je	n'	en	ai	vu	aucun	</S>
n	0.784216	0.0694296	0.0298975	0.0155464	0.039139	0.0290114	0.0327605
g	0.989346	0.00280283	0.00100585	0.00440906	0.00133132	0.000313167	0.000791888
á	0.95161	0.0173638	0.00346719	0.0234966	0.00191012	0.00056911	0.0015832
í	0.0622212	0.207167	0.249061	0.156429	0.112695	0.0323835	0.180043
d	0.0324221	0.743492	0.104223	0.0279213	0.0195907	0.0182722	0.054078
z	0.0304513	0.8055	0.075269	0.0155346	0.00303595	0.00107474	0.069134
e	0.127642	0.7451	0.0944526	0.0210694	0.00660677	0.00069724	0.00443213
ω	0.0826415	0.0517283	0.230379	0.211889	0.245172	0.04181	0.13638
t	0.0052951	0.122407	0.423209	0.156425	0.0474079	0.147185	0.0980711
á	0.000179911	0.231869	0.525815	0.0287631	0.0124603	0.094339	0.106574
á	0.00246247	0.189476	0.331859	0.0804614	0.0881006	0.0965388	0.211102
s	0.0133001	0.0422161	0.112284	0.360799	0.370364	0.0681244	0.0329116
i	0.00300915	0.089689	0.295559	0.234826	0.100373	0.121138	0.155406
ω	0.0229253	0.0404622	0.198853	0.326462	0.154425	0.184688	0.0721835
p	0.000282789	0.0175273	0.0566546	0.0499194	0.021847	0.723582	0.130187
ω	9.76424e-06	0.00826743	0.0409368	0.0163263	0.0540274	0.540278	0.340154
ώ	0.000299717	0.0164167	0.151382	0.113302	0.113067	0.23055	0.374983
k	0.000716838	0.00873616	0.0209246	0.19304	0.345816	0.0575694	0.373197
a	0.000295977	0.00206656	0.0127048	0.0304463	0.161133	0.358108	0.435246
á	0.000751858	0.000714794	0.0054629	0.0239198	0.0720329	0.150857	0.746261
</S>	0.00447347	0.0231427	0.0256374	0.100586	0.227505	0.0585598	0.560095
