 	prête-moi	de	l'	argent	</S>
d	0.772726	0.135816	0.0849019	0.000865523	0.00569064
é	0.804272	0.0797732	0.066329	0.00370564	0.0459197
b	0.852976	0.0905273	0.011511	0.000569538	0.0444164
h	0.679569	0.21476	0.0943233	0.00192924	0.00941918
í	0.523062	0.330543	0.100226	0.00436185	0.0418072
s	0.300517	0.483094	0.0989919	0.00440729	0.11299
á	0.343391	0.587957	0.054019	0.00116536	0.0134673
n	0.034544	0.315338	0.581043	0.0567723	0.0123036
g	0.0684591	0.303138	0.226691	0.383901	0.0178107
á	0.00759807	0.111086	0.20424	0.659582	0.0174932
m	0.00239885	0.0759143	0.815483	0.0791138	0.0270905
b	0.00145778	0.0358529	0.244515	0.421333	0.296842
ώ	0.00422001	0.0200064	0.168392	0.763093	0.0442887
n	0.00971389	0.0216789	0.125558	0.74679	0.0962591
g	0.0834603	0.123266	0.256661	0.103319	0.433294
ω	0.0214031	0.048092	0.11391	0.699773	0.116823
</S>	0.00945164	0.0845915	0.134241	0.0257808	0.745935
