 	les	enseignants	n'	ont	pas	fait	cours	aujoud'	hui	parce	que	les	murs	de	l'	école	sont	devenus	penchés	</S>
a	0.954594	0.0290243	0.00484219	0.000528731	0.00057006	0.00085158	0.00173345	0.00162353	0.00392883	0.000577237	0.00035631	0.000372036	0.000197348	0.000103766	0.000195442	0.000303315	6.73104e-05	4.43859e-05	8.25039e-05	4.19811e-06
y	0.12762	0.776823	0.0273513	0.00746161	0.00771073	0.0159437	0.0151914	0.011734	0.000575727	0.00125126	0.00120765	0.000803789	0.000813478	0.000666628	0.000443579	0.000117022	0.000326933	0.000349091	0.00330778	0.000300382
é	0.0104468	0.939434	0.00684679	0.00437577	0.0011721	0.00209085	0.00236882	0.00881903	0.00605523	0.00297989	0.00328803	0.00227493	0.00318373	0.00171838	0.0011471	0.00097441	0.00123683	0.000851268	0.000227892	0.000508194
s	0.0207298	0.734886	0.0123933	0.00724049	0.00575016	0.0310488	0.0654229	0.0276747	0.00123656	0.0041859	0.0165268	0.007607	0.0228923	0.00866532	0.00322593	0.00236528	0.00316904	0.00253089	0.00137496	0.0210743
i	0.0780759	0.769949	0.0805063	0.00817958	0.00422886	0.00275031	0.00493278	0.00303719	0.000514411	0.00394512	0.00718591	0.00265434	0.00475958	0.00526007	0.00325823	0.00404102	0.00585475	0.000402431	0.000513651	0.00995086
i	0.0628469	0.178828	0.461595	0.129971	0.0430195	0.0328636	0.0159471	0.0123796	0.00680523	0.00367523	0.00273031	0.00184079	0.00167254	0.00323018	0.0018577	0.00198491	0.00382314	0.00545657	0.00283687	0.0266357
á	0.0491184	0.00938775	0.297116	0.196784	0.162791	0.0859376	0.0645038	0.00959559	0.00588855	0.0083474	0.011556	0.00824741	0.0121422	0.0134134	0.00594584	0.00472712	0.00707645	0.0124268	0.00521437	0.0297799
d	0.00728112	0.0188886	0.0552442	0.230512	0.103502	0.319393	0.193432	0.0175031	0.00174529	0.00254348	0.00344986	0.00248483	0.00377191	0.00363481	0.00195859	0.00180539	0.00173358	0.00813561	0.00722923	0.0157506
z	0.00903386	0.0434156	0.0773889	0.286074	0.0618602	0.154928	0.184155	0.0140988	0.000827264	0.00537756	0.015034	0.00892396	0.0172138	0.0143784	0.00625	0.00377784	0.00465173	0.00347386	0.0018272	0.0873109
e	0.0735446	0.0215778	0.33651	0.17978	0.205547	0.0392816	0.060491	0.0430105	0.00188583	0.00418382	0.00617257	0.00322165	0.00341711	0.00533724	0.00297982	0.00192201	0.00399534	0.00104674	0.000648273	0.00544644
i	0.00701893	0.0069158	0.0781905	0.299064	0.146363	0.111678	0.0841078	0.0579896	0.0276698	0.0175308	0.0132999	0.0126468	0.00924178	0.0142907	0.0115216	0.010083	0.0110036	0.0216574	0.00844461	0.0512825
s	0.00829526	0.000829574	0.0327717	0.0795606	0.124672	0.177588	0.339724	0.0702055	0.0252714	0.0174527	0.0119853	0.00911589	0.0113957	0.0111763	0.005943	0.00633083	0.00790545	0.0122923	0.0110882	0.0363976
í	0.00265818	0.00599157	0.0120362	0.0368531	0.052875	0.163175	0.59285	0.0517283	0.00317523	0.00468427	0.0112998	0.00620497	0.00852272	0.0106594	0.00540721	0.00275561	0.00441492	0.00163988	0.00100527	0.0220637
m	0.00282127	0.00117263	0.0267057	0.0683156	0.0469901	0.0805043	0.227777	0.160882	0.0295329	0.0852683	0.0503701	0.045259	0.0410151	0.0276658	0.0194743	0.0104913	0.0165638	0.00811078	0.00481658	0.0462632
á	0.0107167	0.000275621	0.030697	0.0569008	0.0888862	0.175887	0.360955	0.0539963	0.0228789	0.0452501	0.0502596	0.0243148	0.0195736	0.0198979	0.00996565	0.00250284	0.00394752	0.00214322	0.00111634	0.0198348
p	0.00727782	0.000879623	0.040259	0.0652089	0.0819904	0.0623887	0.204616	0.245484	0.113134	0.0686599	0.0228077	0.0181037	0.0136026	0.0113615	0.00874487	0.00644661	0.01022	0.00521456	0.00270377	0.0108955
á	0.00114226	0.00011191	0.00335885	0.0106303	0.0127491	0.0135878	0.0276894	0.355863	0.490602	0.0403915	0.00877631	0.00498905	0.00359449	0.00347526	0.00525747	0.00658816	0.00302103	0.00284335	0.00143611	0.00389294
b	0.00026636	8.53396e-05	0.00242718	0.0106724	0.0119875	0.0310686	0.0942025	0.361374	0.323892	0.0602068	0.0160165	0.0096693	0.00853044	0.0075286	0.00609735	0.00604534	0.00534374	0.00938023	0.00391394	0.0312927
h	0.000484713	9.2284e-06	0.000538691	0.00778534	0.010869	0.0421923	0.0624157	0.191214	0.279242	0.145838	0.0585759	0.0461931	0.0324206	0.018628	0.0223406	0.0244723	0.0055794	0.0153425	0.012605	0.0232536
a	0.000582728	0.000289645	0.00158764	0.00555923	0.00801283	0.036782	0.0817588	0.17889	0.224686	0.150051	0.0444781	0.039229	0.0237847	0.0129261	0.0140852	0.0242809	0.0048056	0.0071264	0.0210162	0.120067
