 	cette	manière	de	griller	les	banane	demande	beaucoup	d'	huile	</S>
e	0.423972	0.300139	0.0681055	0.0866349	0.0327089	0.0475821	0.0280055	0.00715619	0.00351935	0.00194481	0.000231659
k	0.000536974	0.000811644	0.00405092	0.976352	0.0066936	0.00643015	0.000335347	0.00143773	0.00174617	0.000967068	0.000638336
á	0.00356081	0.00201308	0.00549785	0.846214	0.0311554	0.0927855	0.00230151	0.00533075	0.009253	0.000771011	0.00111674
n	0.00536196	0.0505357	0.0040569	0.846794	0.012166	0.053243	0.00243457	0.00447951	0.00641698	0.00126358	0.0132473
g	0.208932	0.0521865	0.0411308	0.276206	0.168757	0.0807214	0.0393786	0.0184773	0.00945848	0.0121864	0.0925658
í	0.452904	0.146467	0.0721148	0.130053	0.0665892	0.015383	0.0390393	0.0210493	0.0163693	0.00400299	0.0360284
l	0.0189805	0.0426354	0.0820259	0.0486178	0.126434	0.0642515	0.0904326	0.0672374	0.116396	0.0190284	0.32396
í	0.055501	0.110114	0.15472	0.11773	0.119427	0.0121522	0.0423399	0.048591	0.0526339	0.0180618	0.26873
y	0.078443	0.123824	0.11588	0.0727905	0.143326	0.175143	0.150313	0.0386816	0.0507262	0.0100279	0.0408451
á	0.0454663	0.0207458	0.149831	0.0952801	0.251802	0.049193	0.153877	0.0431878	0.0486188	0.00577821	0.136221
a	0.0912457	0.00463478	0.234039	0.131076	0.167768	0.0529776	0.194792	0.0482488	0.034062	0.00631309	0.0348424
t	0.00482446	0.0210697	0.135664	0.160841	0.119772	0.110346	0.0495102	0.101935	0.143215	0.0302611	0.122561
ω	0.00386891	0.0107902	0.0145509	0.399096	0.0350394	0.257312	0.0327083	0.0716292	0.0601556	0.0270875	0.0877616
r	0.00351682	0.0235802	0.0355826	0.0611469	0.0922389	0.503003	0.0579728	0.0707873	0.100291	0.0154891	0.0363907
ω	0.0050375	0.0177244	0.147017	0.106804	0.230715	0.0774175	0.0910569	0.150919	0.0839592	0.0174122	0.0719375
y	0.00408444	0.00567575	0.0900601	0.00227903	0.107395	0.00268415	0.347308	0.24715	0.148698	0.0316846	0.0129801
é	0.102714	0.0324241	0.117841	0.0223645	0.165377	0.0104532	0.290624	0.129646	0.0929822	0.014092	0.021481
y	0.00820961	0.00920539	0.0702868	0.00369178	0.036653	0.00451727	0.20641	0.317265	0.226257	0.0811182	0.0363856
é	0.0421027	0.00507595	0.0522212	0.0564656	0.0917811	0.00424282	0.184254	0.283553	0.195434	0.0381848	0.0466849
e	0.00852729	0.00172732	0.0555375	0.0043175	0.0564926	0.00146458	0.182093	0.308734	0.249931	0.0561941	0.0749812
s	0.000774443	0.00456128	0.0114795	0.0128639	0.00432653	0.000720888	0.00414446	0.155829	0.266631	0.206657	0.332012
í	0.00137021	0.000500184	0.00848192	0.00680497	0.00474638	0.000325499	0.00513116	0.226542	0.336013	0.0785546	0.33153
á	0.00145924	0.000273188	0.0117412	0.00108687	0.00676669	0.000100297	0.0161104	0.0849815	0.138567	0.0926936	0.64622
a	0.00329563	0.00491279	0.0443879	0.00341484	0.017043	0.000788286	0.0376408	0.13816	0.368505	0.150693	0.231159
w	0.00392261	0.0136438	0.040307	0.0130994	0.00726395	0.00237277	0.00319528	0.0736667	0.265634	0.335882	0.241012
ú	0.00398731	0.0104273	0.00605895	0.0136694	0.00620443	0.0501219	0.00642454	0.0784461	0.175805	0.43466	0.214196
r	0.00114492	0.000153223	0.000920452	0.000680901	0.00449631	0.000473155	0.00369275	0.0256371	0.155587	0.085502	0.721713
a	0.0174618	0.00204489	0.0097968	0.0061152	0.0206131	0.00371755	0.0752586	0.140902	0.24971	0.245601	0.228779
</S>	0.00164747	0.00366319	0.00781129	0.00111241	0.00276784	0.000337902	0.0137511	0.0565393	0.171351	0.0636873	0.677332
