 	ce	vêtement	te	va	très	bien	</S>
o	0.728423	0.252307	0.0154549	0.00193196	0.000887811	0.00085833	0.000137752
k	0.00597359	0.991203	0.000657944	0.00139361	0.000268966	0.000274894	0.000228535
á	0.000995082	0.994863	9.786e-05	0.00286998	0.000373205	0.000497618	0.000303343
n	0.00111507	0.984046	0.000753075	0.00606606	0.00213027	0.00267608	0.00321367
d	0.0904934	0.895289	0.00745135	0.00352586	0.000398056	0.000633719	0.00220839
á	0.074739	0.897661	0.0109053	0.00282894	0.000275207	0.000852156	0.0127384
m	0.625424	0.0336612	0.249106	0.0321894	0.0314885	0.00371539	0.0244155
ú	0.641282	0.000881266	0.274749	0.0500396	0.0163074	0.0036617	0.0130789
m	0.0473942	0.0164439	0.576302	0.270078	0.0393515	0.00527958	0.0451506
ó	0.130985	0.000813074	0.176752	0.230664	0.192191	0.027884	0.240711
o	0.087899	0.00364297	0.32985	0.371391	0.146913	0.0396845	0.0206196
k	0.00254881	0.0115656	0.0095649	0.79225	0.150153	0.0216968	0.0122211
o	0.000268875	0.0201823	0.00488957	0.805048	0.128574	0.0195013	0.0215363
á	0.000567041	0.0126095	0.00804446	0.734436	0.191707	0.0235921	0.0290432
l	0.0188752	0.00128106	0.0528732	0.0410238	0.448423	0.334205	0.103319
a	0.00389535	0.00134925	0.0161804	0.060872	0.314813	0.264522	0.338367
n	0.0153712	0.000800672	0.0918154	0.0248822	0.228843	0.501884	0.136403
ω	0.0110419	0.000200444	0.0845158	0.00822441	0.152613	0.592781	0.150623
ω	0.00143506	0.000110916	0.0347407	0.0346083	0.349635	0.339639	0.239831
b	0.00491636	0.00104112	0.00299659	0.0152649	0.276895	0.583806	0.11508
v	0.00450642	0.000533918	0.0244014	0.05326	0.090445	0.78233	0.044523
έ	0.00183396	0.000286827	0.00875117	0.0186689	0.0247612	0.906063	0.0396346
w	0.00118049	3.53315e-05	0.00260192	0.00602593	0.0734719	0.150949	0.765735
a	0.0191789	0.0060546	0.032275	0.111258	0.32903	0.323254	0.17895
m	0.00323097	0.000260897	0.0122484	0.0106416	0.129919	0.363067	0.480632
έ	0.00828062	0.000390587	0.0263349	0.0696904	0.34571	0.268273	0.281321
n	0.00177976	0.000319088	0.0338208	0.0203971	0.149379	0.494211	0.300093
d	0.0098379	0.000585946	0.0343154	0.00189771	0.0229766	0.413933	0.516453
e	0.00463888	0.00293291	0.00609438	0.00501588	0.0498077	0.219091	0.712419
</S>	0.000162552	0.000317157	0.00259626	0.00628734	0.0870019	0.214561	0.689073
