 	la	manière	dont	cet	enfant	est	fatigué	montre	qu'	il	a	vraiment	faim	</S>
e	0.156612	0.687152	0.119739	0.00995827	0.00573772	0.00222825	0.00517836	0.000924322	0.00179248	0.000758657	0.000994438	0.000793706	0.000706873	0.00742389
k	0.00152672	0.0321714	0.020366	0.054298	0.00571011	0.134423	0.705169	0.00342201	0.0020588	0.000956139	0.00554046	0.0178521	0.0159743	0.000532365
ώ	0.00263748	0.00165218	0.00183256	0.00371442	0.000632859	0.0159184	0.902634	0.0083775	0.0159775	0.00416107	0.00310437	0.00609459	0.0304144	0.00284916
b	0.000693034	0.00640027	0.00369248	0.0221077	0.00024578	0.0367927	0.894157	0.0109679	0.00826439	0.00356143	0.00372942	0.00370028	0.00455972	0.00112814
h	0.0143447	0.0527551	0.0185272	0.0840093	0.00618855	0.199942	0.212928	0.084648	0.0790463	0.0298863	0.0533112	0.0441875	0.00187825	0.118348
í	0.0242225	0.0436177	0.0320493	0.0413276	0.00206338	0.100864	0.294376	0.121894	0.099149	0.0392524	0.0351771	0.0173607	0.00364682	0.144999
l	0.0066236	0.00507537	0.0822309	0.0562824	0.0410417	0.166446	0.0444712	0.0851927	0.0361257	0.0281695	0.0670861	0.0491726	0.00792884	0.324154
í	0.008471	0.00918369	0.0761849	0.0185258	0.021104	0.182849	0.0513964	0.0535677	0.0258635	0.0253343	0.109185	0.122406	0.0117943	0.284134
y	0.156465	0.0459366	0.0567605	0.0414364	0.033779	0.144461	0.108268	0.102706	0.0888682	0.06471	0.0437945	0.0299625	0.00632999	0.0765228
é	0.0511245	0.0571208	0.325837	0.0492925	0.0161583	0.0498495	0.0361408	0.0388007	0.0244597	0.0194165	0.0495875	0.0508139	0.0107075	0.220691
é	0.0451089	0.1019	0.292272	0.0963201	0.0245138	0.129375	0.0365628	0.0482317	0.0266658	0.0347345	0.0353051	0.0329823	0.00708512	0.0889426
m	0.0037492	0.0171456	0.153341	0.0415371	0.0189424	0.212142	0.347331	0.0169767	0.0125059	0.00915087	0.0425221	0.0468415	0.00581766	0.0719974
i	0.00218037	0.0127958	0.045808	0.089927	0.0598658	0.676259	0.0482454	0.0222065	0.00357636	0.0035042	0.0188353	0.00974829	0.000380122	0.00666778
k	0.000888748	0.00126615	0.0287435	0.0106494	0.0212632	0.358103	0.501658	0.0105789	0.00529721	0.00317573	0.0122091	0.00898559	0.000387949	0.0367933
ώ	0.000138099	0.000274878	0.00365058	0.00262091	0.00059767	0.0564921	0.90504	0.00815947	0.00734445	0.00279857	0.00327433	0.00196501	0.00112436	0.00651975
b	7.3896e-05	0.000747575	0.0162346	0.00843451	0.00579708	0.10407	0.739392	0.0306586	0.0301962	0.0144851	0.0128916	0.00750038	0.00367323	0.0258453
h	0.00556662	0.00877042	0.0718029	0.0412814	0.0175445	0.0688169	0.428358	0.114534	0.133069	0.0435438	0.0137589	0.00764028	0.00220598	0.0431083
ώ	0.00103773	0.00492584	0.0635727	0.0867302	0.0172501	0.0488581	0.278105	0.155904	0.160866	0.0604529	0.0180332	0.00959063	0.00305781	0.0916157
m	0.00335255	0.00640033	0.0837103	0.154656	0.079042	0.0739635	0.0455053	0.342853	0.143532	0.0502368	0.00630466	0.00170272	0.000579458	0.0081618
w	0.00304908	0.00328445	0.017821	0.10334	0.582835	0.0498124	0.00640679	0.106289	0.0508474	0.0395292	0.0207999	0.00458458	0.00273012	0.00867032
á	0.000354579	0.000532641	0.00155468	0.0235934	0.782241	0.0189719	0.0433654	0.0490528	0.0409705	0.0121712	0.0026594	0.00176549	0.0128308	0.00993623
n	0.00103427	0.00595267	0.0148661	0.218698	0.711313	0.0123532	0.00313273	0.0160226	0.00855105	0.0040992	0.000918166	0.000395852	0.000294134	0.0023683
a	0.00232815	0.00369377	0.00935961	0.0711652	0.847813	0.0170815	0.00073797	0.0179436	0.00612302	0.0118771	0.00335543	0.00227539	0.000550128	0.00569633
w	0.00286354	0.00386608	0.0904665	0.0942836	0.018461	0.13473	0.066411	0.304006	0.155782	0.0925779	0.0267311	0.00690482	0.000792146	0.00212382
ó	0.005006	0.00424754	0.0427351	0.0372203	0.00554836	0.126598	0.0687644	0.14505	0.235494	0.178052	0.0856868	0.0296157	0.00828121	0.0276992
a	0.00302653	0.00181117	0.0249907	0.00341253	0.00116054	0.0325389	0.0135796	0.126254	0.25949	0.26512	0.164826	0.0482242	0.00633814	0.0492281
d	0.00215982	0.00279267	0.0403187	0.0016948	0.000551222	0.0547406	0.019678	0.0622869	0.0681956	0.0968599	0.390009	0.159414	0.00969667	0.0916022
í	0.00382834	0.0105921	0.0443034	0.00388173	0.000791786	0.0234869	0.016127	0.0834735	0.0509013	0.0293807	0.194502	0.287694	0.0386079	0.212429
l	0.00432554	0.0140912	0.0416492	0.0109972	0.00481142	0.0263424	0.00992202	0.0723981	0.0830415	0.0619763	0.208116	0.238518	0.0475989	0.176212
a	0.00334642	0.00129153	0.0119312	0.0024863	0.00187318	0.00967703	0.00525367	0.0314572	0.0415471	0.0655728	0.194565	0.217588	0.0801349	0.333276
n	0.0011113	0.00123095	0.00569113	0.00175431	0.000454194	0.00319672	0.0127639	0.0236227	0.0338025	0.0386133	0.0809885	0.152354	0.485787	0.15863
d	0.00460863	0.0400167	0.0717622	0.0418259	0.0080354	0.0079844	0.00419511	0.0796041	0.0239641	0.0429183	0.117766	0.183197	0.31129	0.062832
z	0.00129067	0.00621862	0.016838	0.00505733	0.00262779	0.00538459	0.00311765	0.034963	0.0188483	0.0553387	0.10127	0.164526	0.459898	0.124622
a	8.27544e-05	0.000146081	0.000477454	0.000305081	0.000165603	0.00060553	0.00120575	0.00618847	0.00397726	0.00532204	0.00883299	0.0283841	0.925078	0.019229
a	5.06814e-05	0.000113575	0.000690612	0.000830857	0.000250388	0.00261988	0.0151894	0.0165515	0.0153888	0.0123729	0.0241186	0.0849215	0.508132	0.318769
</S>	0.000255947	0.000159414	0.00203331	0.000928561	5.53683e-05	0.00350818	0.00122506	0.0192343	0.0104964	0.013467	0.118287	0.317111	0.0548858	0.458352
