 	il	avait	fermé	sa	maison	avant	de	voyager	</S>
w	0.9386	0.0482467	0.00585856	0.00335513	0.00127125	0.00167507	0.000684349	0.000280736	2.79891e-05
a	0.872862	0.0890446	0.0153708	0.0179506	0.0002015	0.00104953	0.00208349	0.00142237	1.45551e-05
á	0.366641	0.566514	0.0422095	0.0195303	0.0015922	0.000639386	0.00151959	0.000108849	0.00124503
b	0.110317	0.605595	0.149658	0.0454862	0.0176949	0.0376861	0.0130736	0.000976232	0.0195121
h	0.0235921	0.259279	0.644384	0.0394074	0.00105506	0.00672774	0.00368905	0.00213082	0.019734
á	0.00965415	0.22708	0.692948	0.0356723	0.00305629	0.0296574	0.000482419	0.000275321	0.00117398
r	0.00943539	0.149074	0.660462	0.108226	0.0167027	0.0117292	0.00573216	0.0134282	0.0252108
á	0.108477	0.285531	0.25006	0.23607	0.0921803	0.000739624	0.00623019	0.000267505	0.0204444
á	0.0192921	0.0838336	0.279907	0.424409	0.166342	0.00369205	0.00333869	0.0113603	0.0078253
n	0.00411289	0.0381516	0.221935	0.223179	0.462103	0.0383112	0.00354801	0.00466083	0.00399895
d	0.00250369	0.00940166	0.0413082	0.0529097	0.88741	0.000493821	0.00222126	0.00130722	0.00244465
é	0.000347835	0.00540762	0.0334072	0.0277947	0.926763	0.00238222	0.00115463	0.000206655	0.00253629
e	0.00674828	0.0427805	0.110568	0.176774	0.521722	0.0301251	0.0283981	0.00292161	0.079963
o	0.00798742	0.0201441	0.0708315	0.210231	0.332009	0.125232	0.155716	0.0166054	0.061244
b	0.000135159	0.00146483	0.00412658	0.00971105	0.0183121	0.928375	0.0335129	0.00224251	0.00211948
o	6.8429e-05	0.00165898	0.00975528	0.00460211	0.000574029	0.976681	0.00354209	0.00174019	0.00137819
s	2.19155e-05	0.000192814	0.00579297	0.00344665	0.000327194	0.983252	0.00277543	0.00173842	0.00245229
ó	0.000935983	0.00115017	0.0142077	0.0394473	0.0128976	0.852711	0.0540866	0.00723032	0.0173335
b	0.00163514	0.00379378	0.0290212	0.0639716	0.0225766	0.247925	0.447517	0.0483359	0.135224
í	0.0175678	0.0103951	0.034661	0.0893014	0.0154665	0.185229	0.255895	0.0555482	0.335936
b	0.00565154	0.00357006	0.0150287	0.0525075	0.0146372	0.0147642	0.108543	0.544031	0.241267
h	0.00504046	0.00559529	0.0175129	0.0162727	0.000860434	0.0741457	0.050468	0.809488	0.020617
é	4.90957e-05	6.00738e-05	0.00333549	0.00191418	0.000250397	0.024869	0.00519474	0.94649	0.0178373
m	4.03192e-05	0.000130433	0.00427635	0.0134734	0.00193977	0.137837	0.200587	0.445756	0.195959
b	0.001609	0.00043074	0.000755838	0.00143089	2.26703e-05	0.00351071	0.12845	0.678346	0.185444
a	0.00509113	0.00158055	0.0134778	0.0074962	0.00134755	0.00829993	0.0332315	0.738353	0.191122
</S>	0.00130898	0.00162152	0.00890125	0.0158717	0.0034082	0.00797123	0.364046	0.114932	0.481939
