 	il	attache	le	cabri	a	l'	arbre	</S>
w	0.834438	0.070974	0.0539704	0.0293766	0.00578958	0.00488785	0.000517513	4.59663e-05
a	0.683382	0.0367111	0.0796277	0.175457	0.00911623	0.0124651	0.00311376	0.00012665
á	0.396266	0.38245	0.149897	0.0194406	0.0186512	0.022207	0.00228842	0.00879949
m	0.110644	0.603732	0.185451	0.0141519	0.0204462	0.0301977	0.00256859	0.032809
i	0.0244617	0.42601	0.397414	0.0588244	0.0328844	0.0141358	0.00193888	0.0443311
k	0.0137515	0.632427	0.326833	0.00490249	0.00586885	0.00244489	0.000726911	0.0130458
a	0.0138034	0.530968	0.412373	0.0013706	0.0130219	0.00391697	0.00268913	0.0218576
n	0.00610696	0.405852	0.559596	0.00400635	0.00954734	0.00243835	0.00177769	0.0106755
g	0.0806774	0.608276	0.276544	0.00243114	0.00939049	0.00269462	0.00114671	0.0188393
á	0.28639	0.282654	0.31654	0.0213173	0.0196889	0.00606784	0.00221285	0.0651291
m	0.0536519	0.0734512	0.598402	0.182569	0.0535494	0.0226535	0.0113378	0.00438527
b	0.00117287	0.00336914	0.0299109	0.94879	0.00651838	0.00254667	0.00107137	0.00662042
ó	0.000259333	0.00212428	0.0243887	0.960685	0.00693307	0.0015301	0.00265466	0.00142447
s	0.000375078	0.00324334	0.00407287	0.9873	0.00253219	0.000310291	0.000808238	0.00135793
i	0.0362551	0.179225	0.205098	0.433498	0.0708521	0.0246528	0.0120114	0.0384079
m	0.0619611	0.212854	0.142885	0.0841674	0.359748	0.0893825	0.0108296	0.0381728
ó	0.0158916	0.0257438	0.126097	0.123578	0.175067	0.207424	0.0448899	0.281309
i	0.0270367	0.0236981	0.117391	0.11654	0.313777	0.213268	0.149675	0.0386135
b	0.00339526	0.0639119	0.119862	0.0405547	0.297636	0.137379	0.299897	0.0373648
v	0.00532049	0.0283773	0.124476	0.101027	0.0635196	0.0750125	0.570525	0.0317419
ú	0.000451163	0.00591089	0.0149405	0.0384898	0.055548	0.0569527	0.776763	0.0509445
a	0.00129184	0.00438433	0.0358294	0.0257339	0.139722	0.235793	0.484481	0.0727649
</S>	0.000292254	0.0038343	0.00941585	0.00120009	0.117778	0.413736	0.138217	0.315527
