 	il	faut	aimer	les	autres	</S>
n	0.935618	0.0536366	0.00471859	0.00147873	0.0044936	5.48837e-05
ω	0.329453	0.376458	0.274086	0.0157064	0.00373721	0.0005593
k	0.293822	0.567636	0.0963761	0.0262202	0.0123648	0.00358057
á	0.119121	0.0734472	0.0202384	0.339503	0.198726	0.248965
a	0.114545	0.164993	0.303172	0.131668	0.0471691	0.238453
l	0.0390046	0.106447	0.51965	0.223361	0.0252083	0.0863294
ó	0.00412397	0.02082	0.214664	0.237722	0.0226512	0.50002
o	0.0383857	0.0672895	0.323919	0.373607	0.0781229	0.118676
d	0.000253822	0.00125235	0.0113923	0.744282	0.0547119	0.188108
i	0.00115672	0.0022918	0.00775195	0.442759	0.135115	0.410925
n	0.00062866	0.00187173	0.00489886	0.381279	0.121595	0.489727
g	0.00114728	0.0015635	0.00143825	0.325947	0.417391	0.252513
á	0.0180942	0.0109241	0.0238082	0.166561	0.239614	0.540998
a	0.0021391	0.000934572	0.00417401	0.370684	0.472373	0.149696
b	9.99248e-05	0.000143656	0.000394315	0.15892	0.764573	0.0758688
i	0.000477768	0.000466134	7.36056e-05	0.17095	0.767759	0.0602731
a	7.65197e-05	0.000199601	9.17639e-05	0.0999907	0.292432	0.60721
</S>	0.00160632	0.000375845	0.000394121	0.236886	0.184621	0.576117
