 	qui	est	ce	qui	frotte	ma	marmite	contre	le	sol	</S>
o	0.304727	0.239755	0.0921034	0.175063	0.116175	0.041352	0.0157403	0.00962966	0.00334313	0.000912145	0.00119984
k	0.0016304	0.0125537	0.0136932	0.00411895	0.921535	0.00186397	0.0314522	0.00728204	0.00300946	0.00182225	0.00103856
ú	0.00144882	0.00337618	0.0166474	0.0052706	0.914817	0.0022168	0.0300855	0.00968461	0.00811717	0.00649533	0.0018409
r	0.000132581	0.00116095	0.0410255	0.0122569	0.871544	0.00243198	0.0328957	0.0163963	0.0110242	0.00623341	0.00489894
u	0.000774345	0.00112969	0.0172689	0.0327422	0.900053	0.00859345	0.0337788	0.00226303	0.00194261	0.00125727	0.0001967
r	0.0190696	0.00572163	0.0704191	0.178457	0.612472	0.0516692	0.0449149	0.00532168	0.00249926	0.0019254	0.00753095
u	0.0289868	0.00516248	0.0566587	0.206643	0.286439	0.306628	0.0759722	0.00417487	0.00908416	0.0140785	0.00617202
n	0.0117805	0.0109584	0.0752708	0.239301	0.186575	0.353205	0.0776268	0.0127927	0.013109	0.00547515	0.0139064
d	0.00530614	0.000708175	0.00410438	0.0457807	0.0211641	0.815708	0.0766371	0.00180233	0.00331144	0.0192869	0.00619119
z	0.000491964	5.58199e-05	0.000354444	0.00595602	0.00551895	0.76371	0.168544	0.00483431	0.00290389	0.0447528	0.0028781
ú	0.000642177	0.000146856	0.00265434	0.031436	0.0800977	0.285477	0.504709	0.0142126	0.00614027	0.0712218	0.00326272
n	0.00479993	0.00213519	0.0246136	0.100107	0.0909474	0.186865	0.418457	0.0411366	0.0246912	0.0798892	0.0263586
g	0.00263637	0.00183101	0.0300645	0.0755821	0.336128	0.0579594	0.358974	0.0945617	0.0105771	0.0143212	0.0173645
u	0.00882076	0.00601227	0.0462809	0.103374	0.150965	0.231501	0.324719	0.0418243	0.0114765	0.0668921	0.00813415
y	0.00366603	0.005902	0.0593592	0.0933707	0.0545561	0.069264	0.0906596	0.263109	0.180736	0.048001	0.131376
á	0.0169322	0.00976984	0.0428299	0.147287	0.0626934	0.188652	0.089461	0.170554	0.13076	0.0879473	0.0531142
n	0.00374633	0.00410391	0.0195362	0.0694501	0.0275549	0.207047	0.0476422	0.133261	0.221245	0.212254	0.0541593
g	0.000861016	0.000146404	0.00072204	0.00382795	0.001832	0.194156	0.0191393	0.0226863	0.0516469	0.677836	0.0271467
á	0.000760395	0.000568314	0.00154333	0.0106456	0.00661104	0.151509	0.0261458	0.0558336	0.0967476	0.556708	0.0929276
m	0.000616184	0.000646139	0.00611205	0.0111946	0.00721895	0.0189865	0.00848864	0.183321	0.369373	0.111367	0.282677
ó	0.0174478	0.00646993	0.0112454	0.0141944	0.0146086	0.0182196	0.0156512	0.278599	0.22561	0.0213769	0.376577
t	0.00461475	0.00207297	0.00763464	0.0119602	0.00722892	0.0235433	0.029691	0.148119	0.211957	0.0847131	0.468465
s	0.000801108	0.00196013	0.0135051	0.00694227	0.0384028	0.00892853	0.0709535	0.28023	0.31813	0.123231	0.136916
ε	0.000461406	0.000312215	0.00845632	0.00465475	0.0699315	0.00550483	0.0228278	0.0936437	0.337972	0.363461	0.0927745
n	0.00032039	0.000333174	0.0106199	0.0188869	0.117236	0.0188754	0.0274859	0.0657622	0.219686	0.203434	0.31736
g	0.000349865	0.000387148	0.00383235	0.00991878	0.056831	0.0400704	0.0300798	0.0597867	0.181747	0.375362	0.241635
ε	0.000448802	0.000155811	0.00154393	0.0132431	0.0151588	0.0696122	0.0185532	0.0137922	0.0611125	0.790837	0.0155427
w	0.00125352	0.000850478	0.0108286	0.0221127	0.0219703	0.049963	0.0150902	0.08846	0.298033	0.154729	0.336709
ó	0.00367933	0.00263533	0.00974969	0.013338	0.0202684	0.0292491	0.0192402	0.139707	0.370365	0.150125	0.241643
n	0.00136297	0.000422056	0.00205597	0.00164874	0.00417255	0.00418011	0.00502021	0.0381357	0.103831	0.0531078	0.786063
d	0.00873467	0.00145798	0.00789706	0.0114977	0.0108602	0.0270188	0.00974893	0.0259839	0.139911	0.407566	0.349323
a	0.000525377	0.000217982	0.000507875	0.00171708	0.00389243	0.0238685	0.0192162	0.0152622	0.0515863	0.378921	0.504285
</S>	0.000139747	0.000227095	0.00172284	0.0011863	0.00621782	0.00564619	0.0133055	0.0650473	0.179028	0.141659	0.585821
