 	il	est	attentif	à	son	travail	</S>
w	0.756535	0.114611	0.0658438	0.037201	0.0214491	0.00421519	0.000144317
a	0.682801	0.0659093	0.0584451	0.0746005	0.104604	0.0135764	6.36077e-05
a	0.289847	0.500205	0.0807224	0.0260931	0.0412792	0.00970171	0.0521508
d	0.102742	0.56429	0.147586	0.0409312	0.0395401	0.0226957	0.0822151
í	0.0682546	0.686364	0.0645359	0.0322844	0.00639008	0.0166408	0.12553
l	0.0177379	0.106433	0.0930509	0.0785553	0.0351206	0.0754673	0.593635
a	0.0379909	0.127836	0.256234	0.142684	0.079991	0.019761	0.335503
k	0.0866987	0.223853	0.318576	0.114498	0.0282772	0.0828025	0.145294
ε	0.00381363	0.0625063	0.813361	0.0963499	0.00260125	0.00761239	0.0137561
n	0.00352998	0.0243546	0.849441	0.0968472	0.0047325	0.00254729	0.0185473
y	0.0291341	0.103178	0.786582	0.060315	0.00848383	0.000476235	0.0118302
έ	0.0137776	0.0364685	0.742491	0.154994	0.0185936	0.00138231	0.0322928
s	0.0176191	0.0286476	0.129331	0.395549	0.382823	0.0190661	0.0269649
á	0.0122145	0.0368631	0.0419371	0.211889	0.457042	0.096509	0.143546
i	0.0091529	0.00324024	0.00877153	0.0622575	0.393584	0.509679	0.0133145
s	0.00109862	0.00655545	0.0138896	0.0474205	0.0203567	0.884694	0.025985
á	0.00170433	0.00600828	0.00146866	0.0130769	0.0543841	0.846775	0.0765825
l	0.00150391	0.00119801	0.00168099	0.011703	0.0936299	0.75348	0.136804
a	0.000593664	0.00438288	0.0211652	0.0608575	0.11471	0.484731	0.313559
l	0.00105402	0.00310079	0.01328	0.0400881	0.195784	0.230693	0.516
á	0.00581928	0.0260908	0.0341668	0.0731952	0.145844	0.383237	0.331647
w	0.0149263	0.00955112	0.0268761	0.0666705	0.701004	0.0905157	0.0904567
a	0.0109832	0.016938	0.0661249	0.15578	0.352896	0.258991	0.138287
</S>	0.000575772	0.00179493	0.0200679	0.0403268	0.156939	0.167708	0.612587
