 	les	cabris	fuient	la	pluie	</S>
a	0.972554	0.0222695	0.00243456	0.00255979	0.000148397	3.3841e-05
m	0.0570873	0.923066	0.0187832	0.000460829	0.000445861	0.000157091
b	0.0207201	0.917153	0.0574893	0.000324514	0.001638	0.00267564
ó	0.00163436	0.99532	0.00187717	5.55856e-05	0.00102823	8.42585e-05
s	0.0116801	0.986379	0.000665897	3.41328e-05	0.00121333	2.79946e-05
i	0.182846	0.788736	0.00928078	0.00276923	0.00325845	0.0131094
b	0.414354	0.304879	0.120542	0.137557	0.00349408	0.0191748
á	0.664243	0.0076327	0.0145022	0.141345	0.00522652	0.167051
a	0.462055	0.0166534	0.304133	0.133137	0.0109783	0.073043
d	0.0417655	0.0304583	0.50345	0.257009	0.0736408	0.0936764
u	0.00257111	0.00463738	0.914115	0.0334617	0.0106943	0.0345203
m	0.0686236	0.00598238	0.386645	0.423709	0.0287782	0.0862616
á	0.031784	0.00924257	0.456119	0.406637	0.0384673	0.0577502
m	0.026475	0.00874452	0.0216757	0.514367	0.319278	0.10946
b	0.00862757	0.0301563	0.0495252	0.074485	0.771731	0.0654748
v	0.00224286	0.0185893	0.00583416	0.0178133	0.912972	0.0425486
ú	0.0018789	0.0342952	0.0152945	0.0206661	0.834248	0.0936174
á	0.0560306	0.0177482	0.0111998	0.0665027	0.378089	0.47043
</S>	0.009517	0.0030808	0.00353563	0.294566	0.199292	0.490008
