 	je	suis	content	de	te	revoir	</S>
n	0.60065	0.199936	0.135202	0.032657	0.0211607	0.00397942	0.00641487
g	0.976649	0.0127712	0.000201993	0.000968398	0.00670592	0.00236782	0.000335737
á	0.971325	0.015831	0.0003598	0.000744555	0.00706407	0.00452097	0.000154991
í	0.146874	0.353705	0.0489274	0.0855885	0.2056	0.107547	0.0517581
d	0.0653305	0.357791	0.397432	0.0240037	0.0211528	0.0134769	0.120813
í	0.0107327	0.238652	0.632684	0.0149473	0.0053726	0.00420335	0.0934077
l	0.0379038	0.232286	0.315966	0.192026	0.0754812	0.0277764	0.11856
e	0.0258581	0.186755	0.258171	0.211816	0.101405	0.0402018	0.175794
s	0.00747003	0.0738945	0.127861	0.293078	0.0981747	0.0798388	0.319682
ε	0.00601698	0.0948862	0.271549	0.295827	0.166112	0.0355866	0.130022
é	0.000619753	0.046167	0.0708151	0.386761	0.145434	0.0479883	0.302215
b	0.00224178	0.038671	0.0406711	0.39206	0.341968	0.111415	0.0729727
v	0.0081913	0.0318979	0.0755296	0.295889	0.11729	0.281699	0.189503
ú	0.00198431	0.0137804	0.152577	0.40354	0.221663	0.135781	0.070674
r	0.000964221	0.0398844	0.0565429	0.426115	0.184088	0.0572792	0.235126
u	0.00321359	0.0432399	0.0251614	0.237792	0.251577	0.0643675	0.374649
o	0.00278203	0.0378312	0.0232566	0.12702	0.1844	0.182407	0.442304
t	0.000368662	0.0831286	0.142573	0.147836	0.137013	0.0259062	0.463175
á	6.2138e-05	0.0128582	0.0579143	0.219616	0.0765161	0.0117247	0.621309
á	0.000244331	0.00776384	0.0495564	0.0984419	0.0190107	0.0267563	0.798227
n	0.00562005	0.0110009	0.00960026	0.0183434	0.077745	0.614691	0.262999
g	0.0135672	0.00896925	0.00120995	0.00528597	0.107884	0.722975	0.140108
á	0.0192977	0.0106629	0.000419734	0.00289373	0.0965868	0.786689	0.08345
n	0.00138612	0.00804923	0.00452172	0.067217	0.191041	0.378338	0.349447
ω	0.00943797	0.00902079	0.00149913	0.00895813	0.0783925	0.719103	0.173588
</S>	0.0107151	0.0117186	0.00159323	0.0077754	0.0659296	0.632282	0.269986
