 	la	pierre	que	j'	ai	lancée	au	chien	l'	a	atteint	</S>
i	0.554991	0.348524	0.0522396	0.0176708	0.0149095	0.000445732	0.00793721	0.00204533	0.00080413	0.000377069	2.61853e-05	2.91529e-05
b	0.135851	0.845293	0.00355807	0.0019494	0.00323612	0.00795132	0.000360042	0.000306256	0.000228636	0.000394938	0.000546619	0.00032491
v	0.0180926	0.96709	0.00556451	0.0013926	0.00244891	0.00349316	0.000184631	0.00116479	0.000155773	9.26296e-05	0.000110467	0.000209423
e	0.070448	0.772413	0.0426798	0.0412855	0.0256805	0.00561357	0.011825	0.0256073	0.00289413	0.000530574	0.000171087	0.000851017
l	0.103341	0.540057	0.209118	0.0677418	0.0245302	0.00853402	0.00441852	0.0139586	0.0057558	0.00115312	0.000329809	0.0210627
í	0.191828	0.0729977	0.214461	0.0682025	0.0653684	0.0726664	0.053206	0.00520578	0.0439443	0.0152754	0.00565987	0.191185
í	0.212182	0.0314153	0.229966	0.0696535	0.197555	0.119675	0.0255334	0.014067	0.0179722	0.0130161	0.00450711	0.0644578
p	0.0271632	0.0418535	0.0753953	0.0887224	0.120854	0.525115	0.00685532	0.0576399	0.00821472	0.0120236	0.00598798	0.0301748
í	0.00306743	0.0029564	0.0169404	0.013255	0.0132849	0.93314	0.00196775	0.00275764	0.00222609	0.00223048	0.00375018	0.00442375
m	0.00188832	0.00444166	0.0131286	0.0258265	0.0474908	0.882735	0.00462835	0.00538143	0.00291891	0.00283381	0.00252386	0.0062028
b	0.0589843	0.0271881	0.0695662	0.112152	0.0779451	0.584503	0.0315046	0.0186185	0.00397897	0.00111235	0.000637419	0.0138101
í	0.0608068	0.0175484	0.140618	0.181629	0.041118	0.32254	0.119379	0.038734	0.0156608	0.00168695	0.00070599	0.0595729
n	0.0118369	0.00570635	0.103934	0.141982	0.309707	0.0717142	0.27244	0.0456865	0.0188039	0.00433401	0.000459236	0.0133963
g	0.00995642	0.00449538	0.0172351	0.421867	0.125718	0.0278171	0.236867	0.127434	0.00616765	0.00163939	0.00336341	0.0174401
á	0.00269389	0.00258631	0.015884	0.663446	0.0951695	0.012713	0.144426	0.0436989	0.00444674	0.00151872	0.00775754	0.00565924
m	0.00949486	0.0021895	0.0373315	0.0235546	0.172356	0.0758333	0.530545	0.031105	0.0620332	0.0369393	0.00604841	0.0125694
b	0.0392852	0.0410196	0.0122343	0.00940001	0.0372312	0.190779	0.0750682	0.538884	0.0244756	0.00721347	0.00075516	0.0236543
v	0.00247288	0.030044	0.00358916	0.00706731	0.0104836	0.0292163	0.00988568	0.895297	0.00865406	0.000730498	0.000423616	0.00213644
á	0.000756075	0.0121555	0.000828809	0.00305514	0.00421408	0.0114248	0.00297037	0.960553	0.00114042	0.000144516	0.000186233	0.00257094
n	0.00429802	0.0225834	0.00537185	0.0285806	0.02113	0.00564848	0.0178688	0.888942	0.00221136	0.000501649	0.000278951	0.00258458
d	0.00698343	0.0109182	0.0073431	0.0897939	0.0438573	0.0296102	0.136121	0.575955	0.0122891	0.00166117	0.00151844	0.0839484
é	0.00191987	0.00470285	0.00304378	0.0599797	0.0188289	0.155622	0.12841	0.480961	0.0152124	0.00290079	0.00860712	0.119812
í	0.00153987	0.00135581	0.00873826	0.0147263	0.0724012	0.138242	0.082163	0.0367301	0.269247	0.155262	0.0354629	0.18413
p	0.00218107	0.00159568	0.00971742	0.00173504	0.00865968	0.0241742	0.0181879	0.00948649	0.205134	0.470242	0.107991	0.140895
ώ	0.000329265	0.000121907	0.00173387	0.00100452	0.00360391	0.0858591	0.00685361	0.0112562	0.0860303	0.319188	0.370916	0.113104
r	0.000216832	0.000270119	0.00492	0.00641325	0.0399085	0.130316	0.0661051	0.0124255	0.173897	0.234372	0.150668	0.180487
i	0.000361727	0.000479553	0.00530301	0.00458901	0.0261073	0.0794567	0.0627175	0.0257248	0.247118	0.214014	0.243677	0.0904517
i	0.00110936	0.00038357	0.011651	0.0124672	0.0351253	0.00288899	0.230869	0.00981725	0.232148	0.187775	0.0554616	0.220304
w	0.00642824	0.00380618	0.0117914	0.00720574	0.00956418	0.00808334	0.0309187	0.0422675	0.0966993	0.159117	0.307396	0.316723
a	0.00437682	0.00231908	0.0157615	0.0260552	0.0285427	0.00347937	0.062737	0.0438652	0.161857	0.290534	0.259442	0.10103
</S>	0.00277313	0.00079097	0.0127968	0.00912972	0.0128834	0.00290399	0.0878069	0.0109025	0.170946	0.201778	0.19118	0.296109
