 	ekoko	a	tué	une	antilope	noire	avec	le	fusil	</S>
e	0.155782	0.70285	0.000707364	0.0704428	0.0204406	0.0128847	0.0076035	0.0288748	0.000257212	0.000156728
k	0.953897	0.0335201	0.00562398	0.00122762	0.000835613	7.95521e-05	0.000170407	0.000519472	0.00134644	0.00277987
o	0.985186	0.00935933	0.0022927	0.000555549	0.000660841	0.000692423	0.000357898	0.000156147	0.000473531	0.00026577
k	0.991295	0.00255343	0.00524598	9.77584e-05	6.28715e-05	0.000134026	6.87156e-05	7.45106e-05	0.000175766	0.000292171
o	0.693637	0.213949	0.0348967	0.00491706	0.00280373	0.00846492	0.0046593	0.00226268	0.0147673	0.019643
á	0.00720543	0.786084	0.0737925	0.0826326	0.00682712	0.0112246	0.00780836	0.00517097	0.00111806	0.0181366
b	0.000899493	0.440049	0.148629	0.232825	0.0668376	0.00744633	0.00879579	0.0182525	0.00307267	0.0731925
o	0.00663507	0.510145	0.0839224	0.225255	0.0841173	0.013532	0.0173937	0.0346097	0.00413207	0.020258
m	0.00300066	0.0987947	0.37866	0.257103	0.185776	0.0295617	0.0151689	0.00641253	0.00285046	0.0226717
i	0.000830718	0.01602	0.0971017	0.247111	0.319021	0.135902	0.0751909	0.0525136	0.0119044	0.044405
l	0.000504929	0.0264814	0.0250485	0.24441	0.295379	0.286343	0.0590453	0.0310907	0.0072275	0.0244695
e	0.000220074	0.00811328	0.00658529	0.133342	0.323224	0.0921089	0.112087	0.0757266	0.0127953	0.235798
n	0.000879511	0.000645247	0.0186762	0.155741	0.480982	0.229826	0.0510739	0.0174108	0.0117864	0.0329792
g	2.87764e-05	0.000586766	0.000835642	0.0778453	0.714893	0.120239	0.0396729	0.0266396	0.00130303	0.0179561
ó	0.000151103	0.00217942	0.00292562	0.0434853	0.541338	0.32967	0.0512077	0.0123986	0.00580644	0.0108382
m	0.000244453	0.000338947	0.00188119	0.0293499	0.248013	0.4793	0.138975	0.0359308	0.0371376	0.0288289
b	7.34155e-05	0.000143206	0.000168852	0.0141629	0.0714933	0.472915	0.166912	0.0725407	0.0187431	0.182848
a	0.000116901	0.000133409	0.000125928	0.0152705	0.191795	0.600036	0.14858	0.0174134	0.0044248	0.0221042
m	2.51081e-05	0.000468181	9.18935e-05	0.0283723	0.059249	0.225985	0.385765	0.231054	0.0320443	0.0369453
ó	8.2481e-06	0.000237304	0.000149291	0.00690672	0.0159522	0.18339	0.242636	0.269814	0.0165581	0.264348
t	0.00111263	0.000368741	0.000575152	0.00658937	0.0225854	0.0766034	0.123317	0.133477	0.57959	0.0557813
á	0.000846271	0.000270056	0.000306441	0.00339979	0.0163197	0.042391	0.038931	0.0157717	0.841448	0.0403161
</S>	7.99233e-05	0.000290003	0.000640352	0.000880081	0.00119338	0.002075	0.0113535	0.0180514	0.928473	0.0369636
