 	mon	épouse	a	acheté	un	morceau	de	viande	de	boeuf	</S>
n	0.705067	0.264183	0.0142439	0.000691477	0.00372673	0.0073601	0.00188098	0.00122422	0.00145253	4.95489e-05	0.000120482
g	0.947667	0.0398964	0.00818968	0.0010197	0.000252116	0.000221342	0.000187572	0.00204829	0.000131341	0.000373442	1.27436e-05
á	0.760482	0.208941	0.00600154	0.00481631	0.00185106	0.00092235	0.000458712	0.00206912	7.97669e-05	0.0143534	2.47347e-05
m	0.191081	0.628158	0.105329	0.00969982	0.00558986	0.00321718	0.0062271	0.00626098	0.00520586	0.00216347	0.037067
w	0.00823853	0.961225	0.0174993	0.00256631	0.000627769	0.000153681	0.000413065	0.00104041	0.00111694	0.00513316	0.0019853
á	0.00473746	0.992254	0.00113826	0.000116134	0.000146756	7.8349e-05	6.53576e-05	7.94029e-05	3.71637e-05	0.00129769	4.93118e-05
s	0.529385	0.393498	0.0608428	0.000311343	0.000711615	0.000305248	0.000520697	0.00231268	0.00246728	0.00879158	0.000853526
í	0.210652	0.605695	0.024597	0.0316499	0.00596336	0.00451971	0.00370485	0.0152933	0.00351774	0.0538514	0.0405556
á	0.0249206	0.0240295	0.715188	0.0641174	0.0246438	0.012796	0.0130239	0.00455091	0.0259644	0.00269474	0.0880711
s	0.00481726	0.00244324	0.121819	0.80709	0.0364421	0.00977085	0.00373105	0.00101217	0.00236786	0.000251086	0.0102558
ó	0.0319092	0.00288473	0.0148329	0.939652	0.00610873	0.00200435	0.000696256	0.000613965	0.000168458	4.37904e-05	0.0010862
m	0.0507109	0.00607328	0.0246114	0.846352	0.0412988	0.0129923	0.00767824	0.00218324	0.00268198	0.000568472	0.00484967
b	0.0281058	0.0263926	0.0758845	0.634134	0.130006	0.0641427	0.0245068	0.00593498	0.00461495	0.000755989	0.00552141
i	0.0259722	0.00168199	0.117571	0.0876166	0.277848	0.261863	0.0765571	0.0439353	0.0181982	0.00414333	0.0846134
e	0.00873026	0.00494815	0.212086	0.0225949	0.342412	0.256738	0.0713496	0.0417089	0.0220228	0.00750497	0.00990468
t	0.00329403	0.00201588	0.00577664	0.0453886	0.532513	0.336357	0.0541959	0.00888873	0.00255032	0.00432388	0.00469604
ώ	0.00042799	0.000315601	0.00616821	0.0429422	0.446838	0.405153	0.0844647	0.00446088	0.00264016	0.00186411	0.00472484
y	0.000238648	0.00030515	0.0104883	0.0176248	0.358904	0.422406	0.123151	0.0241127	0.0122078	0.00830202	0.022259
á	0.0339541	0.00112695	0.0572969	0.0263784	0.323502	0.299908	0.15162	0.0259412	0.0237283	0.00131796	0.0552259
n	0.00342506	0.000675174	0.00391012	0.00215378	0.0489024	0.265072	0.481471	0.0962458	0.0703362	0.0196594	0.00814897
g	0.0478237	0.00109163	0.000723168	0.00368381	0.0214328	0.146712	0.140906	0.394226	0.0105601	0.204275	0.0285665
w	0.0384646	0.00216222	0.00231944	0.00686039	0.0170315	0.0521725	0.10738	0.436247	0.00744836	0.32409	0.00582373
έ	0.000769156	0.000207457	0.000291038	0.00204028	0.0165817	0.0977264	0.247561	0.213747	0.0359242	0.358594	0.026558
m	4.33991e-05	1.45805e-05	0.000544733	0.00812597	0.033123	0.328328	0.294277	0.136671	0.083823	0.0167178	0.0983311
b	0.000470927	2.51747e-05	0.000260608	4.26742e-05	0.0155333	0.0868928	0.231535	0.0581515	0.229921	0.102948	0.274219
ε	0.00223629	8.89938e-06	0.000325239	0.000732907	0.0135615	0.214696	0.183154	0.330564	0.110843	0.0787092	0.0651695
</S>	0.00140799	6.12205e-05	0.000785491	0.000176529	0.00934572	0.0474424	0.177551	0.0765658	0.422655	0.0221848	0.241824
