 	j'	aime	mieux	les	bananes	douces	que	les	bananes	à	cuire	</S>
n	0.724383	0.014202	0.0193716	0.0172482	0.0258612	0.0480325	0.0410361	0.0386965	0.00930272	0.0554774	0.00308514	0.00330342
g	0.976883	0.00200678	0.00315338	0.00445124	0.000467313	0.00146188	0.00241528	0.00598306	4.7834e-05	0.002517	0.000330007	0.000283534
á	0.968977	0.00633031	0.00548631	0.00343291	0.00110344	0.000609189	0.0024643	0.00915447	0.000330664	0.00112441	0.000469998	0.000517087
l	0.27768	0.284259	0.0740082	0.055037	0.0193278	0.00973763	0.0190676	0.0284298	0.00931939	0.0402875	0.115607	0.0672395
í	0.489323	0.0449776	0.0611462	0.0483598	0.0983287	0.0414092	0.0176808	0.0385969	0.00399721	0.0255804	0.00467486	0.125925
i	0.11713	0.195234	0.0785127	0.0686313	0.0357498	0.0181566	0.0739139	0.0376731	0.0138203	0.0760197	0.0297915	0.255367
d	0.00381488	0.936996	0.0145055	0.00342759	0.00668188	0.00303882	0.00136915	0.00161566	0.0117344	0.0010127	0.00415004	0.0116529
i	0.000953666	0.989943	0.000848257	0.00020305	0.000375651	0.000664831	0.000506208	0.000749803	0.00143315	0.000234935	0.00127014	0.00281707
n	0.118466	0.556295	0.0476219	0.0167086	0.0188725	0.014132	0.0400684	0.0437961	0.0171135	0.0229208	0.0060302	0.0979756
g	0.0219476	0.0604892	0.0511391	0.135022	0.0105723	0.0293466	0.270204	0.211425	0.0102858	0.136199	0.0126123	0.0507561
á	0.0735586	0.0108087	0.0825378	0.315114	0.0509005	0.0839067	0.143437	0.0963182	0.00773226	0.0351722	0.00971939	0.0907947
a	0.00585686	0.0210986	0.100366	0.174399	0.0582769	0.0900753	0.255633	0.128305	0.0478136	0.089471	0.0152666	0.0134384
t	0.00178746	0.0251237	0.0451072	0.0469075	0.0344981	0.0557292	0.112884	0.260777	0.212019	0.0648162	0.116896	0.0234539
ω	0.000352719	0.0469829	0.0396237	0.0179288	0.0602807	0.0597599	0.0269879	0.0287701	0.277863	0.0171454	0.369482	0.054823
r	0.000226754	0.0185844	0.0522398	0.0297091	0.113585	0.112841	0.073566	0.0769577	0.229626	0.0705155	0.154565	0.0675836
ω	0.0010317	0.0367799	0.0599095	0.0433486	0.0275724	0.0346091	0.117746	0.087282	0.279304	0.0586549	0.18572	0.068041
i	0.000350896	0.00144615	0.0143894	0.067938	0.0136148	0.0787276	0.229741	0.127397	0.0226331	0.340502	0.026479	0.0767809
p	0.00494436	0.0082684	0.0267749	0.0455405	0.0366215	0.046395	0.0938752	0.0812138	0.124577	0.108726	0.309514	0.113549
é	0.00025075	0.00668087	0.0150073	0.0158644	0.0190889	0.0204949	0.0297017	0.0325141	0.218276	0.036703	0.56174	0.0436782
n	0.000419876	0.00706346	0.012188	0.0178253	0.0104342	0.0111497	0.053741	0.0390111	0.120991	0.0510679	0.56002	0.116089
d	0.000137557	0.00294592	0.019228	0.0257792	0.012817	0.0219566	0.138368	0.108887	0.119682	0.120259	0.348454	0.0814856
í	0.000219307	0.000403312	0.00537857	0.0294764	0.00636932	0.0164676	0.135392	0.108357	0.0279513	0.0880197	0.339858	0.242108
a	0.000136712	0.000999052	0.0111095	0.0270166	0.0147782	0.0374846	0.135098	0.090046	0.0822666	0.241878	0.152366	0.20682
k	0.00933407	0.0258423	0.0220171	0.0419828	0.0272031	0.0400391	0.0653718	0.0827711	0.0148162	0.365291	0.0576876	0.247644
ω	0.000235889	0.00735091	0.056082	0.0347747	0.0661226	0.0425644	0.0462738	0.0495087	0.200659	0.14752	0.207439	0.141468
</S>	0.000260543	0.000841185	0.00981549	0.00752628	0.0406491	0.0535284	0.0225077	0.0165761	0.39672	0.0542625	0.286317	0.110996
