 	mon	père	m'	a	encouragé	à	réussir	dans	mes	études	</S>
t	0.156638	0.830833	0.00491409	0.00367826	0.00158722	0.00124103	0.000397069	0.000522232	0.000143021	3.47003e-05	1.15666e-05
á	0.015847	0.980123	0.00224544	0.000871193	0.000275279	0.000147603	4.52869e-05	0.000234047	0.000184474	1.82029e-05	8.90576e-06
á	0.0395386	0.722161	0.0904932	0.0769758	0.037456	0.00727806	0.00329277	0.00221699	0.000951704	0.00224653	0.0173888
á	0.177078	0.301933	0.373308	0.0585893	0.00992049	0.0103244	0.00139511	0.018445	0.00401333	0.000617093	0.0443756
p	0.0118782	0.00588793	0.164234	0.413763	0.34688	0.0333978	0.0154765	0.00349117	0.000948937	0.000260259	0.00378229
έ	0.00343034	0.00154296	0.0247515	0.292973	0.619502	0.0193428	0.0271784	0.0031543	0.000763181	0.000937257	0.00642441
n	0.0868201	0.331251	0.148779	0.0981344	0.201652	0.0340748	0.0242973	0.0434823	0.00684285	0.00182824	0.0228382
g	0.51348	0.0453735	0.0778171	0.152913	0.096833	0.0226028	0.00410391	0.0276339	0.0290613	0.00719316	0.0229878
á	0.576742	0.0506828	0.0580347	0.0773348	0.100971	0.0350572	0.00162457	0.0307047	0.0503023	0.00392638	0.0146196
a	0.0785461	0.018963	0.499364	0.0801773	0.0719441	0.129442	0.0299417	0.0236248	0.0211882	0.00428655	0.0425222
p	0.00348134	0.00189768	0.133271	0.0962571	0.359046	0.30876	0.0818107	0.00870939	0.00254758	0.00138112	0.00283923
a	0.00208388	0.00018258	0.0172863	0.127578	0.626689	0.143342	0.0572057	0.00543402	0.00319414	0.00613854	0.010866
é	0.00250114	0.000477309	0.0320373	0.118586	0.620474	0.132288	0.0622398	0.00452416	0.0017835	0.00145007	0.0236396
m	0.0104376	0.00182128	0.0524417	0.0710918	0.169265	0.498409	0.0292144	0.133833	0.017152	0.00291946	0.0134147
í	0.0160459	0.000688305	0.0584383	0.0808752	0.0386286	0.363449	0.209431	0.141242	0.00911235	0.00399837	0.0780902
b	0.0283073	0.00459078	0.247111	0.0418656	0.031382	0.163452	0.125711	0.122343	0.0927963	0.0872573	0.0551833
h	0.00596575	0.000262713	0.00746673	0.011571	0.0197527	0.153653	0.706092	0.0341423	0.0068201	0.0437464	0.0105269
e	5.17879e-05	7.44667e-06	8.61468e-05	0.0015892	0.0061603	0.027696	0.951852	0.00373401	0.00210278	0.00143583	0.00528487
r	6.92547e-05	2.81524e-05	9.75813e-05	0.00317967	0.034557	0.0592198	0.802681	0.0340706	0.0105783	0.0241754	0.0313429
a	0.000648064	6.3804e-05	0.000228224	0.00363769	0.0260085	0.0402991	0.264955	0.150345	0.0429077	0.0549755	0.415931
l	0.00166793	2.51364e-05	0.00207983	0.00686238	0.0098005	0.0414395	0.00775998	0.358687	0.0920881	0.0843777	0.395212
á	0.0153031	0.000132945	0.00301796	0.00589562	0.0275864	0.0380381	0.0110416	0.142162	0.213556	0.258657	0.284609
l	0.021494	0.00103002	0.0563553	0.013857	0.00955791	0.0318645	0.00408835	0.147327	0.304385	0.349103	0.0609372
e	0.0301924	0.000808518	0.0490656	0.00711275	0.00543627	0.0263455	0.00296871	0.124033	0.468252	0.185131	0.100655
k	0.000573515	3.25096e-05	0.000870507	0.00172988	0.00157957	0.00478501	0.000793944	0.0555466	0.145543	0.584977	0.203569
ώ	3.44997e-05	9.71027e-06	4.48456e-05	0.00196758	0.0105164	0.00559817	0.0495714	0.00985547	0.0092276	0.811347	0.101827
ώ	0.000136367	5.34003e-06	3.46942e-05	0.000203647	0.0028594	0.00127084	0.00675249	0.00449308	0.00797724	0.930112	0.046155
l	0.00405439	6.35541e-05	0.000151903	0.000772139	0.00229304	0.00692267	0.00286951	0.163571	0.151698	0.418255	0.249348
i	0.00136477	2.3094e-05	0.000315667	0.00393984	0.0258014	0.0404443	0.0293817	0.235248	0.102388	0.216415	0.344678
</S>	0.0204998	0.000138164	0.00915692	0.00992548	0.0145321	0.0298236	0.00474638	0.121347	0.0283892	0.136875	0.624567
