 	la	nuit	est	tombée	</S>
b	0.605994	0.3375	0.0505943	0.00339619	0.00251578
v	0.165632	0.729195	0.076923	0.0232008	0.00504925
ú	0.0638048	0.897524	0.00465294	0.028584	0.005434
s	0.129938	0.803129	0.0345048	0.0250128	0.00741559
á	0.491854	0.495549	0.00341271	0.000347987	0.00883584
ó	0.195145	0.032415	0.714721	0.0145324	0.043187
m	0.0478875	0.0254219	0.586112	0.238323	0.102256
i	0.0244417	0.00259899	0.314433	0.360516	0.29801
b	0.00600977	0.0158569	0.105606	0.648151	0.224377
h	0.00165626	0.00492262	0.0137503	0.930009	0.0496619
í	0.000992714	0.00497843	0.00836087	0.888689	0.0969788
n	0.0017486	0.00268191	0.0454868	0.483291	0.466792
d	0.03344	0.00937173	0.0502794	0.575127	0.331782
a	0.0112125	0.00496386	0.0198794	0.177259	0.786686
</S>	0.0361786	0.0072734	0.200143	0.195706	0.560699
