 	va	avertir	le	notable	que	le	recensement	commence	demain	</S>
d	0.861839	0.0353567	0.0513442	0.0330865	0.00725646	0.00438457	0.00400042	0.00253399	0.000147101	5.08796e-05
z	0.834944	0.0039119	0.00401579	0.0120579	0.00520401	0.0130715	0.00350651	0.0117873	0.0559606	0.05554
w	0.935652	0.0388972	0.00208723	0.0170305	0.00179617	0.00131746	0.000244323	0.000179254	0.00179125	0.00100495
a	0.619567	0.0474235	0.0176259	0.226752	0.0104925	0.00519937	0.000999906	0.0049854	0.00300945	0.0639442
á	0.146376	0.16286	0.0118296	0.015427	0.0338801	0.0272025	0.0263094	0.0275116	0.00608065	0.542523
o	0.129167	0.620717	0.104924	0.0197483	0.031378	0.0171336	0.0137433	0.0236873	0.0053629	0.034139
y	0.0491794	0.872195	0.0287377	0.0147596	0.00577587	0.00651839	0.00694511	0.00471657	0.00621002	0.00496247
e	0.0134275	0.95792	0.00947836	0.00152002	0.00400879	0.00393034	0.000632911	0.000566271	0.00396711	0.00454838
b	0.0112829	0.774785	0.0568034	0.0249372	0.0146067	0.0158457	0.00683375	0.00298773	0.011139	0.0807787
h	0.0112401	0.867692	0.0793969	0.00850033	0.0145407	0.00389345	0.00980685	0.00166504	0.000490757	0.00277361
é	0.00621911	0.499044	0.0916668	0.0278617	0.0333025	0.0321045	0.102256	0.0127315	0.0477549	0.147059
r	0.00616347	0.533944	0.348722	0.0316224	0.0365785	0.00470492	0.0155635	0.00403979	0.000883817	0.0177777
á	0.0107966	0.359266	0.207813	0.0600934	0.0933177	0.0325437	0.0506418	0.0197463	0.00556492	0.160217
m	0.0019472	0.0135993	0.577906	0.205995	0.121228	0.0226472	0.0215546	0.0263953	0.00229127	0.00643662
w	0.000425799	0.00331269	0.0426315	0.812363	0.0730101	0.00934084	0.0050427	0.00446941	0.00370554	0.0456983
ε	0.000177804	0.00271748	0.00847192	0.952798	0.0219059	0.00292303	0.00213608	0.000823009	0.00116959	0.00687691
n	0.000319588	0.0146891	0.0199974	0.759457	0.129391	0.0224408	0.017762	0.0100248	0.00427703	0.0216417
έ	0.00657672	0.021136	0.0861254	0.703673	0.0980717	0.0346963	0.00522172	0.00297716	0.00867324	0.0328485
w	0.00233811	0.0189695	0.126994	0.116079	0.613074	0.0662626	0.0142922	0.0120936	0.00172213	0.0281751
á	0.00286487	0.0206349	0.257194	0.0809326	0.334618	0.0762981	0.0625378	0.0752581	0.0161489	0.0735126
r	0.0045472	0.0061548	0.0776347	0.068495	0.415182	0.163501	0.079962	0.0633263	0.00718885	0.114008
e	0.00245816	0.00479857	0.0231556	0.0719096	0.232159	0.333923	0.0493541	0.0424382	0.0226872	0.217117
o	0.000353033	0.00209153	0.0743566	0.0251543	0.527061	0.291528	0.0253746	0.0306448	0.00827746	0.0151591
b	0.004548	0.0126972	0.0208912	0.00869269	0.188385	0.60109	0.135438	0.0178543	0.00602015	0.00438372
a	0.00104604	0.0149222	0.0121465	0.00761599	0.054155	0.201032	0.682925	0.0142926	0.00513202	0.00673295
é	0.00163876	0.0307761	0.00993072	0.0241002	0.125082	0.272934	0.395866	0.0155144	0.0265976	0.0975608
m	0.000247341	0.0023414	0.0202322	0.00138616	0.113087	0.387665	0.306038	0.128333	0.00405972	0.0366101
ó	0.00102687	0.00326529	0.0225179	0.0372523	0.106865	0.205085	0.14144	0.245819	0.0486045	0.188124
o	0.000433851	0.00154403	0.0174583	0.002805	0.0394947	0.285938	0.380931	0.192802	0.0478194	0.030773
b	0.000330721	0.00690671	0.00576831	0.00161276	0.0179855	0.353917	0.41631	0.0963693	0.0869523	0.013847
á	0.00051347	0.01339	0.0043649	0.0124697	0.0214805	0.140691	0.69319	0.0489088	0.0516083	0.0133832
n	0.000622223	0.0128953	0.0101641	0.00277309	0.0775422	0.13182	0.469319	0.12339	0.0214962	0.149979
d	0.000165803	0.00302238	0.00279822	0.00197923	0.0451018	0.20583	0.4007	0.115052	0.00784893	0.217501
á	0.00218544	0.0142002	0.00926163	0.00768502	0.0766476	0.312654	0.112141	0.136019	0.0617468	0.267459
i	5.47649e-05	0.000311328	0.00667174	0.00113435	0.023162	0.0858452	0.134178	0.58809	0.0311857	0.129367
m	0.000326627	0.00111578	0.0028957	0.00212077	0.0106004	0.066376	0.174425	0.378199	0.178761	0.185179
b	0.000353799	0.00111171	0.00388335	0.024752	0.0100087	0.0527543	0.0367958	0.374711	0.292057	0.203573
y	3.4905e-05	0.000350691	0.000355213	0.0174792	0.00368739	0.0565611	0.083279	0.0145669	0.743737	0.0799487
é	3.82785e-05	0.000551036	0.000165144	0.0125629	0.00497255	0.0581226	0.0732844	0.0254298	0.169512	0.655361
n	8.29495e-05	0.000814579	0.00117634	0.0107888	0.0161912	0.0790195	0.0494872	0.0432502	0.219531	0.579658
g	0.000565329	0.00363998	0.00331835	0.012128	0.0216981	0.0885989	0.120939	0.108087	0.319982	0.321043
í	0.000824309	0.00169282	0.00138153	0.00999302	0.0124116	0.0382835	0.132412	0.0190309	0.5072	0.27677
</S>	0.000280217	0.000958798	0.00287015	0.00221532	0.00919335	0.0187818	0.0326362	0.215206	0.0879034	0.629955
