 	cet	homme	s'	est	initié	à	la	divination	</S>
m	0.746399	0.238231	0.0102007	0.00219414	0.00196741	0.000637798	0.000209903	9.20117e-05	6.83151e-05
o	0.419702	0.527757	0.0486883	0.00173858	0.000654725	0.000683223	0.000383908	1.74464e-05	0.000375044
r	0.242573	0.737431	0.010355	0.00595716	0.00263126	0.000522889	0.000136362	5.02413e-05	0.000343878
o	0.918107	0.0363759	0.0072601	0.00195242	0.0251836	0.00176759	0.000696233	0.000150981	0.00850626
w	0.684218	0.0639455	0.212859	0.0282855	0.00122857	0.00167751	0.00055681	4.42484e-05	0.00718525
ó	0.10296	0.00543951	0.516572	0.259833	0.0026494	0.0520613	0.0302462	0.000854013	0.0293847
á	0.0113684	0.00528519	0.599167	0.298692	0.0156263	0.0146428	0.00754679	0.00122329	0.0464478
m	0.0017046	0.00405149	0.0486739	0.561751	0.232304	0.0858134	0.0392625	0.0109697	0.0154693
i	0.00624667	0.0282032	0.186757	0.529169	0.0542963	0.154459	0.0311269	0.000379571	0.00936298
k	0.000909443	0.000679554	0.00234371	0.123953	0.789732	0.0544692	0.0150142	0.00488461	0.00801435
y	0.000525291	0.00187146	0.00209862	0.0678754	0.806399	0.0856224	0.0133483	0.00448123	0.0177787
é	0.000729692	0.00112055	0.0015999	0.0264367	0.905644	0.0396225	0.010914	0.0100406	0.00389204
n	0.00139083	0.00116077	0.0211712	0.152515	0.137499	0.425292	0.122122	0.0861983	0.0526509
á	0.00521928	0.00259072	0.0270339	0.0532377	0.307606	0.499728	0.0494174	0.0145129	0.0406539
e	0.0049818	0.00360394	0.0524017	0.0411683	0.00919149	0.543701	0.277836	0.0316239	0.0354919
k	0.000504324	0.00415552	0.00044467	0.00126908	0.0577711	0.105213	0.240206	0.570956	0.0194801
y	0.000384246	0.00173923	0.000302754	0.00162044	0.00820987	0.0877656	0.136016	0.748709	0.0152525
e	7.11239e-05	0.000216438	0.000110572	0.000760225	0.0349855	0.0385958	0.0741974	0.823943	0.0271203
n	0.000303742	0.000105554	0.000499159	0.00276806	0.00416171	0.0814932	0.223629	0.529149	0.157891
g	0.00152191	0.00102949	0.00231144	0.00252073	0.0124056	0.050289	0.207863	0.437548	0.284511
a	0.00372999	0.00345596	0.00234932	0.00105212	0.103564	0.054212	0.0867279	0.328436	0.416473
</S>	0.0125516	0.00190852	0.00451942	0.00240327	0.00191902	0.0483236	0.152803	0.116395	0.659176
