 	le	prix	du	manioc	a	augmenté	</S>
o	0.654749	0.293878	0.0457286	0.00341853	0.00204866	4.59892e-05	0.00013127
m	0.300276	0.575065	0.0723106	0.0475265	0.00159218	0.000954767	0.00227477
b	0.10512	0.754859	0.0590637	0.00694571	0.0014845	0.00395887	0.0685683
v	0.0175274	0.964882	0.00554888	0.00252883	0.00041005	0.00403094	0.00507219
ú	0.0448706	0.915955	0.0201807	0.00413243	0.000251568	0.00339308	0.0112161
n	0.150951	0.562305	0.243872	0.0267718	0.000606251	0.00444923	0.0110449
u	0.253798	0.627902	0.0864094	0.0114152	0.000686534	0.000406904	0.019382
m	0.134532	0.0428268	0.735278	0.0499925	0.0277895	0.00107923	0.00850237
á	0.546112	0.0536952	0.207761	0.0349918	0.12725	0.00442006	0.0257705
ε	0.455259	0.174212	0.173037	0.0702621	0.0715842	0.0339558	0.021689
k	0.0486371	0.0288452	0.0446812	0.762543	0.0567705	0.0506061	0.007917
ώ	0.00344965	0.00340737	0.0165237	0.959432	0.00285538	0.00862227	0.00570912
ώ	0.00559285	0.0116142	0.0974588	0.812535	0.0183066	0.0228477	0.0316444
ó	0.0227737	0.00635505	0.0393416	0.0218458	0.850827	0.0317421	0.0271145
m	0.0282636	0.0186759	0.0180232	0.0218225	0.505953	0.289624	0.117638
i	0.0446863	0.0408133	0.0215025	0.00234675	0.236267	0.151567	0.502817
l	0.00367656	0.00389302	0.0037802	0.0371602	0.0429054	0.78679	0.121794
é	0.00132014	0.00232538	0.0016078	0.00816721	0.0117076	0.911046	0.063826
a	0.00347412	0.00195281	0.00938617	0.0333361	0.0915937	0.520992	0.339265
</S>	0.0249857	0.0108626	0.029659	0.00917323	0.29922	0.272664	0.353435
