 	la	nuit	nos	pères	nous	récitent	des	contes	</S>
l	0.642643	0.297445	0.0488702	0.00311719	0.00468929	0.00265377	0.000405822	0.000149614	2.61971e-05
a	0.309833	0.655174	0.00938676	0.0174936	0.00132728	0.00142422	0.00288644	0.00128758	0.00118727
k	0.25287	0.62172	0.0265168	0.0909824	0.00145266	0.00101853	0.00153758	0.000801773	0.00310017
ó	0.021014	0.80594	0.0227531	0.115159	0.00827882	0.00923628	0.00273888	0.0079241	0.0069554
l	0.064156	0.70738	0.0376013	0.118139	0.00586423	0.00913811	0.00633541	0.00374925	0.0476363
i	0.313606	0.519693	0.0543873	0.0813614	0.00660977	0.00639955	0.00361612	0.00137875	0.0129478
a	0.0931011	0.0620249	0.502139	0.247014	0.0401162	0.0238008	0.0136246	0.00395187	0.0142279
t	0.0386342	0.0501447	0.136624	0.615875	0.0722321	0.0303131	0.0212251	0.0132268	0.0217251
á	0.00856031	0.0357727	0.0259826	0.817845	0.0322675	0.0223537	0.0168142	0.0106707	0.0297333
á	0.0105395	0.0161469	0.127379	0.638859	0.0670752	0.0169606	0.00944845	0.00677286	0.106819
b	0.0157779	0.00450806	0.24899	0.161853	0.398198	0.125962	0.0333302	0.00530969	0.00607171
á	0.00545873	0.00886657	0.303351	0.0406122	0.24641	0.371241	0.0163353	0.00465103	0.00307489
a	0.013202	0.00172906	0.374857	0.0400401	0.311201	0.242786	0.0110222	0.00177125	0.00339075
k	0.00482704	0.0156092	0.0308676	0.156484	0.21514	0.265953	0.223997	0.0468711	0.0402506
y	0.00645587	0.0630014	0.0232603	0.0417295	0.113924	0.501926	0.0724718	0.107438	0.0697937
a	0.024413	0.0585873	0.0672036	0.0864411	0.25485	0.265498	0.0628202	0.0873674	0.0928198
b	0.00180161	0.00249532	0.0274442	0.0201123	0.218499	0.161434	0.115984	0.111417	0.340812
í	0.00614921	0.0105501	0.0632456	0.0125275	0.384044	0.233083	0.100772	0.0636455	0.125983
s	0.00192964	0.0020093	0.105731	0.0184083	0.454961	0.237362	0.0413103	0.0578712	0.0804178
í	0.0366768	0.0107563	0.049825	0.00687667	0.197102	0.0984752	0.198623	0.243892	0.157774
i	0.00570543	0.00238491	0.034063	0.00596616	0.0755617	0.0386091	0.173996	0.488424	0.175289
t	0.00738898	0.0128333	0.00704249	0.00623394	0.00974479	0.0125889	0.109728	0.73682	0.0976202
s	0.00310475	0.00731988	0.00387426	0.00370225	0.0151894	0.018616	0.0667512	0.728541	0.152901
é	0.00156718	0.00213627	0.00217846	0.00221489	0.0233902	0.0100308	0.0353474	0.71937	0.203765
e	0.00209784	0.000336219	0.00251805	0.000481485	0.0230643	0.0053678	0.0197024	0.183647	0.762785
</S>	0.00728416	0.00268206	0.00591901	0.000940942	0.0123872	0.00353309	0.0859836	0.243397	0.637873
