 	ton	habit-là	est	bien	usé	</S>
o	0.706643	0.265109	0.0104064	0.0144531	0.00283122	0.000557532
k	0.0731695	0.920815	0.00283338	0.000630477	0.00191582	0.000635776
á	0.0290933	0.96734	0.00152056	0.000447083	0.00089168	0.000707457
n	0.0172305	0.934497	0.00906785	0.00697038	0.00808216	0.0241517
d	0.410375	0.581304	0.00238358	0.00130441	0.000365997	0.00426679
á	0.465072	0.498289	0.00730015	0.00207585	0.000642448	0.0266201
m	0.625128	0.155971	0.13579	0.0482659	0.0078435	0.0270022
á	0.370165	0.215615	0.34185	0.0339528	0.00828789	0.03013
n	0.858292	0.070407	0.0467714	0.0168972	0.00118419	0.00644868
ω	0.889584	0.0221501	0.0528903	0.0175131	0.00101323	0.0168493
m	0.147542	0.0739979	0.580444	0.142944	0.0105724	0.0444995
ú	0.0444066	0.0295653	0.705431	0.0866466	0.0118439	0.122107
á	0.0201618	0.00989228	0.757135	0.146161	0.0127324	0.0539169
m	0.00577737	0.0275155	0.304254	0.301305	0.271783	0.089364
i	0.00492062	0.0030863	0.444295	0.169939	0.181752	0.196007
s	0.00232026	0.0154282	0.158494	0.102977	0.663879	0.0569018
á	0.00118469	0.00663218	0.135981	0.148899	0.600838	0.106465
á	0.00387755	0.00208013	0.0503695	0.128413	0.189778	0.625481
o	0.00458879	0.00523428	0.047845	0.419601	0.323743	0.198987
y	0.000912914	0.00402792	0.0102425	0.0155508	0.947885	0.021381
o	0.00663202	0.00555721	0.0819396	0.170403	0.468379	0.267088
a	0.00307129	0.00237446	0.0487373	0.0762612	0.0840919	0.785464
</S>	0.00181131	0.000244083	0.017666	0.2504	0.0956152	0.634264
