 	il	presse	l'	abcès	</S>
w	0.911397	0.0391061	0.0209264	0.0281855	0.000384701
a	0.920069	0.0249131	0.0476592	0.00688852	0.000470288
l	0.362662	0.341741	0.279585	0.00148069	0.0145313
á	0.163478	0.131252	0.328948	0.00731916	0.369004
a	0.250543	0.134524	0.328036	0.0483085	0.238588
b	0.0318099	0.866832	0.0622074	0.0204483	0.0187022
h	0.0802313	0.781107	0.114316	0.00713533	0.0172108
í	0.0220209	0.830452	0.0456462	0.0553116	0.0465692
n	0.064872	0.315137	0.180757	0.0495038	0.38973
á	0.154292	0.328842	0.412887	0.0124665	0.0915122
i	0.11899	0.114928	0.5905	0.136412	0.0391696
p	0.0145926	0.0690961	0.131248	0.725866	0.0591975
i	0.000844353	0.00203811	0.0091899	0.94362	0.0443082
a	0.00451141	0.0192997	0.116158	0.562894	0.297137
</S>	0.00676961	0.0161169	0.14992	0.103643	0.72355
