 	notre	père	a	acheté	une	bicyclette	</S>
t	0.109473	0.848883	0.0395616	4.98499e-05	0.00142936	0.000555516	4.76732e-05
á	0.00593175	0.97855	0.0138615	3.002e-05	0.00131036	0.000170166	0.000146524
á	0.0435749	0.869743	0.0745406	0.00296423	0.0037421	0.00221141	0.00322408
y	0.317937	0.324228	0.291418	0.0335191	0.00454959	0.000433318	0.0279153
a	0.6072	0.0373993	0.180109	0.143489	0.00301637	0.000827322	0.0279591
b	0.9296	0.0314626	0.0312809	0.00149533	0.000632763	0.000136632	0.0053918
í	0.941847	0.0274859	0.0186687	0.00179437	0.00212629	0.00685406	0.00122385
s	0.713077	0.255365	0.0247082	0.000580628	0.0012979	0.00367277	0.00129889
í	0.438937	0.10339	0.225055	0.00854103	0.0129471	0.019242	0.191888
á	0.0447991	0.0774182	0.733021	0.0485986	0.0609911	0.00782226	0.0273499
m	0.000352171	0.00148687	0.0962283	0.867748	0.0283084	0.00144818	0.0044278
i	0.00580907	0.00221277	0.442261	0.277197	0.238864	0.0093721	0.0242848
s	0.000180415	0.000198284	0.0986315	0.855744	0.0375422	0.00182052	0.00588358
ó	3.3433e-05	1.60845e-05	0.0167735	0.976845	0.0048402	0.000727713	0.000764016
m	0.00279734	0.00179924	0.0319367	0.0949075	0.645858	0.0669701	0.155731
b	0.0426023	0.0151283	0.095823	0.0297104	0.606606	0.0300824	0.180047
á	0.00612352	0.000726099	0.0101394	0.0002173	0.261247	0.298991	0.422556
l	0.00252049	0.000803506	0.072425	0.00224155	0.51826	0.339388	0.0643615
e	0.00835272	0.000733176	0.00728136	0.000310505	0.15839	0.550956	0.273976
n	0.000195013	0.000132384	0.00394168	0.000288132	0.194675	0.687927	0.112841
d	0.00426677	7.4931e-05	0.00138983	0.00034116	0.0834732	0.710242	0.200212
y	0.000454551	0.000196856	0.00238561	0.00184215	0.0963647	0.469361	0.429395
e	0.000148395	0.000104452	0.00065057	0.000186184	0.115482	0.29816	0.585268
m	0.00250178	0.000334141	0.00223651	0.000294847	0.0983894	0.165396	0.730848
i	0.00331685	0.000155323	0.00100729	2.3746e-05	0.156909	0.0857679	0.75282
</S>	0.000325575	8.48575e-06	0.00125091	5.30909e-05	0.043774	0.155571	0.799017
