 	le	verre	s'	est	brisé	en	menus	morceaux	</S>
e	0.882541	0.0847323	0.00783723	0.00258165	0.0150077	0.00702578	4.82553e-05	0.000154062	7.15812e-05
w	0.0553075	0.911478	0.015528	0.00868057	0.00815164	0.000603766	0.000141476	7.56609e-05	3.30206e-05
á	0.081651	0.238683	0.0580658	0.156163	0.453988	0.0081591	0.00101764	0.00193273	0.000338992
l	0.06482	0.464121	0.0355486	0.0339904	0.0196303	0.00337198	0.0689195	0.00626121	0.303337
á	0.271719	0.434664	0.0861787	0.061109	0.0821454	0.0131812	0.0136057	0.00587246	0.0315251
é	0.29422	0.0394116	0.512432	0.0968901	0.0211264	0.0173013	0.00826384	0.000781942	0.00957257
t	0.00701414	0.0178025	0.377031	0.500469	0.0728448	0.00861474	0.00847003	0.00326683	0.00448686
s	0.00224719	0.0155116	0.105227	0.676722	0.122158	0.0075813	0.0530742	0.0114331	0.00604522
ε	0.00309134	0.00505213	0.0756928	0.629149	0.254134	0.00663824	0.0154837	0.00826841	0.00249016
s	0.0120393	0.033437	0.169601	0.103929	0.117204	0.376989	0.115319	0.0299521	0.0415309
í	0.0158775	0.00154733	0.0395476	0.177124	0.279086	0.199055	0.111856	0.0528841	0.123022
í	0.00610364	0.00353152	0.0133759	0.011111	0.0362524	0.197172	0.455938	0.250203	0.0263127
</S>	0.00935061	0.0148893	0.0391803	0.0332763	0.0346876	0.0309584	0.20468	0.615125	0.017852
