 	il	a	accepté	le	vêtement	que	je	lui	ai	donné	</S>
w	0.932748	0.0336243	0.00310723	0.0236252	0.00190535	0.00159788	0.00124898	0.000338079	0.00143648	0.00019908	0.000168971
a	0.831018	0.0233111	0.00135402	0.114878	0.00719165	0.000873542	0.000624146	0.00125536	0.00513184	0.0142008	0.000161122
á	0.0712788	0.696208	0.116087	0.0859385	0.00421515	0.00395084	0.00217694	0.00431937	0.00931866	0.00317595	0.00333091
b	0.002896	0.082005	0.823147	0.0285972	0.0162765	0.00609972	0.00546897	0.00526509	0.0199519	0.00251562	0.00777675
é	0.00203166	0.00884723	0.814453	0.0571764	0.0823926	0.00705023	0.00216861	0.00876889	0.00320412	0.00143354	0.0124735
n	0.00190888	0.0312574	0.626202	0.122068	0.166377	0.002135	0.00214502	0.00232127	0.00474238	0.00768895	0.0331547
y	0.00398033	0.0310293	0.673512	0.167648	0.0576415	0.0135784	0.00437549	0.00765376	0.0112752	0.00621952	0.023087
i	0.00527919	0.0416901	0.271187	0.489112	0.143738	0.0139668	0.00183156	0.00680348	0.00634079	0.00330225	0.0167482
ω	0.0443488	0.126906	0.0575017	0.156406	0.0677768	0.310246	0.171197	0.0242483	0.00617162	0.00538635	0.0298115
k	0.000399187	0.00160778	0.00756674	0.0417363	0.781475	0.11097	0.0186288	0.00455603	0.00182477	0.0281704	0.00306407
á	6.98432e-05	4.63825e-05	0.0037324	0.0163668	0.939026	0.0180054	0.000262045	0.00233076	0.000547994	0.00976201	0.00985061
n	0.000242013	0.00100416	0.0566421	0.0674343	0.824786	0.0157167	0.000769802	0.0044647	0.00175808	0.00938907	0.0177928
d	0.00305221	0.00443344	0.0353009	0.115855	0.582002	0.0664036	0.0195248	0.0399452	0.00721922	0.0158919	0.110372
á	0.0213905	0.00922009	0.0233592	0.0575345	0.426635	0.152682	0.0163864	0.0205394	0.00462299	0.0303015	0.237329
m	0.0120805	0.00394059	0.00228483	0.0204257	0.0134732	0.398819	0.209622	0.157327	0.0723293	0.0515708	0.0581271
ώ	0.0253456	0.0097173	0.00684572	0.0135014	0.00422013	0.0935542	0.197691	0.321249	0.0419676	0.050563	0.235345
ώ	0.00975549	0.00970443	0.00269426	0.0200796	0.020943	0.0337755	0.144029	0.184014	0.0523469	0.43704	0.0856172
p	0.000352051	0.0023199	0.00338762	0.0123208	0.113847	0.0264679	0.0341375	0.11681	0.0983632	0.520469	0.0715247
έ	6.68103e-05	0.000573477	0.00547503	0.0140717	0.0627104	0.00702648	0.00223983	0.0394064	0.0206899	0.746784	0.100956
n	0.000749791	0.00125104	0.00806604	0.0140454	0.0124457	0.0869526	0.0292904	0.0976969	0.0681511	0.365604	0.315747
g	0.00179784	0.000548297	0.00315304	0.00450868	0.00273343	0.0392231	0.135459	0.217529	0.273524	0.222184	0.0993404
á	0.0237296	0.000477151	0.00053421	0.00447627	0.00574222	0.0903131	0.290173	0.13573	0.0625343	0.282622	0.103668
w	0.000512932	0.000309393	0.000609384	0.012368	0.0183359	0.0233793	0.021815	0.0648813	0.05229	0.616674	0.188825
a	0.00105398	0.000260636	0.0038258	0.00895365	0.0114415	0.0307958	0.0553214	0.279559	0.238438	0.283461	0.0868899
</S>	0.000741357	0.000471501	0.00221898	0.00313282	0.00494254	0.0684827	0.0469192	0.0741998	0.11499	0.254211	0.429689
