 	il	pétrit	la	peau	pour	s'	assouplir	</S>
w	0.749612	0.0694292	0.122816	0.0146774	0.0217119	0.0202269	0.00119894	0.000327436
a	0.645313	0.0355162	0.130529	0.0091747	0.034638	0.105605	0.0388892	0.000334924
l	0.489048	0.186688	0.18929	0.0206955	0.0291424	0.0397002	0.0216312	0.0238054
á	0.0981177	0.032478	0.0866282	0.0161969	0.109031	0.0866545	0.0879518	0.482942
a	0.247403	0.0425797	0.268652	0.0350372	0.0680869	0.0537376	0.118559	0.165944
p	0.0229968	0.660128	0.0832912	0.195464	0.00493745	0.000794005	0.00184672	0.0305413
y	0.00703038	0.472457	0.0704991	0.433169	0.0022995	0.000695888	0.000379841	0.0134684
e	0.0531153	0.277601	0.170673	0.440914	0.0165805	0.00739786	0.00258177	0.0311364
e	0.00570675	0.120661	0.304093	0.455012	0.0388181	0.0145078	0.00212203	0.0590795
l	0.00750269	0.042256	0.642917	0.245977	0.0406979	0.0112498	0.00118658	0.00821227
á	0.0205459	0.0186849	0.436645	0.270154	0.11612	0.0524956	0.0131888	0.0721664
e	0.0144038	0.00531865	0.119995	0.176566	0.28983	0.150936	0.115673	0.127277
k	0.00193987	0.0153905	0.0577631	0.426926	0.354515	0.0778498	0.031826	0.0337902
ó	0.00153635	0.0210202	0.0586006	0.772876	0.103338	0.0204763	0.00354486	0.0186079
r	0.000402419	0.0247719	0.0723621	0.668181	0.100276	0.0506759	0.00404413	0.0792871
ó	0.00276769	0.0262571	0.0554287	0.509007	0.105794	0.036133	0.00607388	0.258539
b	0.0253833	0.00818057	0.181187	0.0884509	0.260996	0.21129	0.0915463	0.132967
a	0.116775	0.0212057	0.0729532	0.023978	0.199474	0.213731	0.16607	0.185813
á	0.00425315	0.00140061	0.0130339	0.00470848	0.0857389	0.287323	0.540081	0.0634607
l	0.0128494	0.0101927	0.0333824	0.00789875	0.0765827	0.152523	0.379344	0.327227
á	0.0215672	0.00830544	0.0318576	0.0223069	0.116429	0.0708845	0.220049	0.508601
a	0.00434465	0.00115476	0.00874261	0.00319118	0.0867018	0.19799	0.55046	0.147415
y	0.0200946	0.232634	0.115222	0.163303	0.0606964	0.0487221	0.175356	0.183972
a	0.000212074	0.0261543	0.0130591	0.0216235	0.056797	0.140829	0.124744	0.616581
á	9.61703e-05	0.00131262	0.00338708	0.00237081	0.0511934	0.0852794	0.0205152	0.835845
w	0.00322991	0.00153808	0.0121475	0.00634042	0.0534611	0.15783	0.521421	0.244031
a	0.020988	0.00826283	0.0194837	0.00919154	0.0571707	0.190915	0.600953	0.0930347
n	0.00103705	0.000267529	0.00526288	0.00305259	0.0386782	0.135462	0.364001	0.452239
g	0.0047825	0.000370452	0.0037622	0.0018721	0.0314445	0.0825526	0.629793	0.245422
a	0.000435284	7.50964e-05	0.00091016	0.000345911	0.00495631	0.0620983	0.62594	0.305239
w	0.00096497	0.000655872	0.0104704	0.0037208	0.0464195	0.0902518	0.288404	0.559113
a	0.0168423	0.00911061	0.0247764	0.0273719	0.0886108	0.256837	0.263115	0.313336
n	0.00361572	0.00271156	0.0278336	0.0157251	0.0579188	0.103424	0.151185	0.637587
g	0.0205541	0.00446471	0.0266332	0.0055042	0.0666315	0.0921368	0.433547	0.350528
a	0.000655103	0.000167108	0.00248764	0.000826689	0.0135239	0.070416	0.620934	0.29099
</S>	0.000338714	0.000287173	0.00336193	0.00379721	0.0285878	0.0771439	0.201998	0.684485
