 	ii	a	appris	la	nouvelle	aux	villageois	</S>
w	0.923825	0.0100126	0.00229678	0.00884707	0.0133636	0.0268753	0.0128052	0.00197426
a	0.992217	0.00348893	0.000213444	0.00242423	0.000474953	0.000952692	0.000174807	5.44102e-05
á	0.287866	0.513899	0.159303	0.0158971	0.00206652	0.0130449	0.000323541	0.00759934
p	0.0327228	0.251893	0.633932	0.0214896	0.00715177	0.0226398	0.00766026	0.0225105
έ	0.00106233	0.0729145	0.840412	0.0312419	0.0212031	0.00350555	0.0105565	0.0191038
ε	0.0158731	0.214839	0.370282	0.295764	0.0781794	0.0107315	0.00257009	0.0117606
t	0.00571026	0.119067	0.0617642	0.296913	0.453732	0.04248	0.00375616	0.0165778
s	0.00521687	0.0674633	0.0898097	0.235679	0.542384	0.030819	0.00222532	0.0264029
a	0.00034505	0.0191578	0.0830134	0.220968	0.63557	0.0232527	0.0038517	0.0138417
n	0.0023348	0.0365422	0.0591449	0.0722051	0.72723	0.0150937	0.00443069	0.0830188
g	0.00136721	0.0452264	0.041618	0.162108	0.592156	0.0281971	0.00160303	0.127724
e	0.00117904	0.0366164	0.0114445	0.16334	0.661433	0.027249	0.000544428	0.0981937
l	0.000475982	0.0460499	0.0138362	0.168167	0.384209	0.322646	0.00308721	0.061529
a	0.000606462	0.0144152	0.0160457	0.206573	0.240318	0.269491	0.0217733	0.230778
b	0.000939229	0.00500889	0.00294057	0.139608	0.248929	0.350241	0.0492468	0.203086
a	0.00513112	0.0215752	0.00869437	0.1777	0.260617	0.303463	0.140415	0.082404
r	0.000148924	0.00499403	0.00405033	0.0826742	0.234583	0.391563	0.0558498	0.226136
e	8.5109e-05	0.00177805	0.0034702	0.115623	0.297596	0.214443	0.00876302	0.358242
b	0.000221224	0.0109553	0.0044186	0.0647218	0.10774	0.510691	0.0283253	0.272927
á	0.0120479	0.0229672	0.0143048	0.105129	0.082977	0.232973	0.0160002	0.5136
p	0.0106263	0.0212379	0.00478412	0.023358	0.0458352	0.236779	0.367097	0.290283
o	0.000136771	0.00135633	0.00355128	0.0193296	0.0291104	0.0519743	0.691469	0.203072
o	2.34569e-05	0.000921018	0.00247292	0.0136143	0.00728854	0.0239032	0.419988	0.531788
</S>	3.3799e-05	0.00232113	0.0043131	0.011863	0.00287148	0.0424808	0.0720124	0.864104
