 	il	est	revenu	bredouille	</S>
w	0.943503	0.0363435	0.0197978	9.85334e-05	0.000257097
a	0.949776	0.0283684	0.0214962	7.74885e-05	0.000281609
á	0.0757176	0.372955	0.535397	0.00776188	0.00816816
f	0.0469077	0.270731	0.618497	0.0488316	0.0150335
ú	0.0118893	0.27167	0.486634	0.0711152	0.158691
u	0.0058556	0.239487	0.509824	0.114838	0.129996
o	0.169545	0.163905	0.478765	0.127315	0.0604694
p	0.00337118	0.0661515	0.132895	0.603872	0.193711
é	0.000616005	0.0205208	0.0753125	0.805988	0.0975631
e	0.00278238	0.0893614	0.277254	0.397858	0.232745
</S>	0.0315266	0.0767042	0.209098	0.0171517	0.665519
