 	la	façade	de	la	maison	est	sale	</S>
b	0.540582	0.403288	0.0426641	0.00413045	0.00674078	0.00150643	0.00106924	1.88055e-05
o	0.0827482	0.734164	0.13925	0.00942388	0.00186453	0.0159337	0.0156843	0.000931697
s	0.278138	0.611913	0.0840521	0.0116036	0.00184068	0.00116448	0.0033405	0.00794782
ó	0.0738537	0.651282	0.182582	0.0295878	0.00370678	0.00629999	0.0094081	0.0432798
b	0.113212	0.0354155	0.599706	0.137619	0.0150639	0.0239517	0.00169712	0.0733351
á	0.308362	0.0348506	0.27365	0.261515	0.0142748	0.0492585	0.00613772	0.0519509
n	0.0848497	0.00909969	0.315351	0.288874	0.205535	0.043786	0.00696779	0.045537
d	0.00643902	0.000299161	0.0225814	0.0771746	0.885001	0.00256361	0.000507816	0.00543347
é	0.000494877	0.000112162	0.00349956	0.0161587	0.977471	0.000281297	0.000123172	0.00185974
e	0.0441448	0.0180487	0.214439	0.253786	0.341631	0.038454	0.0422123	0.0472841
ó	0.0286084	0.00400933	0.20687	0.246614	0.0479952	0.425755	0.0117937	0.0283548
d	0.0361362	0.0103562	0.138684	0.294805	0.103277	0.325715	0.058594	0.0324328
í	0.00487511	0.000473659	0.0234042	0.389452	0.0620686	0.158605	0.0277821	0.33334
l	0.00769673	0.000373869	0.0462268	0.177856	0.0736964	0.315033	0.0535474	0.325569
a	0.00355989	0.000741432	0.015354	0.152956	0.0607556	0.186728	0.0672746	0.512631
t	0.00878015	0.0035823	0.00922341	0.043327	0.0285998	0.0698108	0.716367	0.12031
s	0.0138888	0.0244549	0.023417	0.0743617	0.0150445	0.0833818	0.701543	0.0639082
ε	0.000696384	0.00502966	0.0040277	0.0277208	0.00465047	0.0866055	0.817927	0.0533428
r	0.000255262	0.00114703	0.0102466	0.0620992	0.00295288	0.128037	0.588721	0.206541
i	0.000330762	0.000645649	0.0103043	0.053147	0.0158351	0.154618	0.370221	0.394899
</S>	0.00245636	0.000263896	0.014592	0.0488518	0.00975187	0.222737	0.0645254	0.636822
