 	il	est	allé	en	brousse	</S>
w	0.766625	0.204611	0.00484831	0.0193753	0.00411474	0.000425763
a	0.914711	0.0622228	0.00225931	0.0124425	0.00790206	0.000462029
á	0.19087	0.70783	0.050027	0.0406073	0.00280608	0.00785954
m	0.050484	0.579642	0.202099	0.104264	0.01234	0.0511714
i	0.0131386	0.172835	0.566645	0.149013	0.0104961	0.0878724
d	0.00635337	0.0507705	0.807378	0.0556113	0.0296254	0.0502609
z	0.000201293	0.021609	0.923364	0.019849	0.0144851	0.0204916
w	0.00175348	0.0131771	0.973476	0.00516847	0.00104487	0.0053805
a	0.0283624	0.0636776	0.640966	0.102772	0.00601447	0.158208
k	0.00124687	0.0192217	0.0526881	0.181145	0.587718	0.15798
ώ	0.00028719	0.000643221	0.00370469	0.00466749	0.940989	0.049708
</S>	0.000262582	0.00325811	0.00291579	0.0198539	0.904193	0.0695172
