 	je	viens	de	semer	l'	oseille	dans	mon	champs	</S>
n	0.981849	0.00174482	0.00112143	0.0036259	0.00126782	0.00483768	0.000715367	0.00447458	0.000237652	0.000125798
g	0.95172	0.00247613	0.00565556	0.000627249	0.00289528	0.000675978	0.000407786	0.0324341	0.00308998	1.76127e-05
á	0.921528	0.0360116	0.0186515	0.00252153	0.00268564	0.0022733	0.000864722	0.00671504	0.00870658	4.25866e-05
í	0.197876	0.0783418	0.144673	0.0130521	0.0378812	0.0057696	0.0140062	0.117297	0.00105088	0.390051
w	0.00696163	0.806181	0.132198	0.044309	0.00340658	0.00127227	0.00217665	0.00157674	1.87895e-05	0.00189943
ú	0.00245075	0.367359	0.392612	0.160065	0.035004	0.00521099	0.0159599	0.0063672	0.00158409	0.0133861
r	0.0214546	0.0283965	0.456558	0.320188	0.0484832	0.00740853	0.0238242	0.0442144	0.00706846	0.0424036
u	0.0137204	0.0872027	0.620304	0.0952907	0.0547743	0.00129718	0.0124924	0.0622053	0.0122598	0.0404531
o	0.0203481	0.076551	0.539957	0.163409	0.110957	0.00934258	0.0199485	0.0185225	0.00576373	0.0352012
s	0.000401892	0.0235451	0.0569385	0.705431	0.107046	0.0471113	0.0371979	0.00197532	0.0100651	0.0102886
i	0.000798172	0.0435825	0.148157	0.708797	0.0395941	0.00933363	0.0268589	0.000789946	0.00166276	0.0204258
á	0.00239364	0.022467	0.225169	0.377073	0.221758	0.0139428	0.0720604	0.000991563	0.00097262	0.0631724
a	0.00980502	0.014136	0.179425	0.129531	0.361819	0.0923958	0.0965913	0.0874391	0.00719682	0.0216622
b	0.00113051	0.0053413	0.0309947	0.0382515	0.300458	0.177186	0.351835	0.0255974	0.0145704	0.0546357
v	0.0004003	0.00016035	0.00259587	0.0156727	0.049548	0.781196	0.122848	0.00215827	0.00116075	0.0242602
i	0.000100853	2.47001e-05	0.00118077	0.014891	0.0456006	0.782326	0.146821	0.00392341	0.000605187	0.00452615
á	0.000766119	4.60158e-05	0.00281286	0.0063167	0.284862	0.0689474	0.437359	0.0164357	0.000433375	0.18202
s	0.000205516	0.00130709	0.0045436	0.00806922	0.106169	0.0401426	0.621897	0.107522	0.0235448	0.0865995
á	0.000427852	0.00119635	0.00769798	0.00360586	0.0311587	0.00880492	0.159982	0.235186	0.0342535	0.517686
n	0.000506172	8.82937e-05	0.00213814	0.00214232	0.0397359	0.0119117	0.0533669	0.197726	0.653571	0.0388136
g	0.000690766	8.22166e-05	0.000578853	6.97777e-05	0.00371541	0.00371756	0.00965541	0.0995631	0.873932	0.00799505
o	0.000147295	1.76747e-05	0.000111139	1.36333e-05	0.00127471	0.00184787	0.00168124	0.00500187	0.983914	0.00599095
n	7.0221e-06	4.20847e-06	2.97283e-05	9.45926e-06	0.000556124	0.00176553	0.00137882	0.000976909	0.986309	0.0089633
d	0.00292856	0.00144201	0.00246821	0.000159287	0.0102041	0.0021888	0.0217701	0.0175989	0.248203	0.693037
a	0.000633913	0.000132652	0.000494376	2.526e-05	0.00130306	0.00190506	0.00138529	0.00152219	0.950209	0.0423894
</S>	0.0026374	0.00014113	0.00343119	0.000571199	0.0318533	0.0194576	0.0268299	0.0240727	0.180923	0.710083
