 	il	y	a	du	pus	dans	mes	oreilles	</S>
n	0.327968	0.459499	0.0896487	0.0446268	0.0423295	0.0227409	0.0106091	0.00168656	0.000890909
g	0.550903	0.313924	0.0695999	0.0324761	0.00332992	0.00758252	0.0182626	0.00315243	0.000769415
á	0.197376	0.572203	0.142842	0.0433202	0.0106167	0.0101405	0.011563	0.00772823	0.00421071
a	0.177694	0.353328	0.196733	0.0526461	0.00320372	0.0060508	0.0145315	0.0101698	0.185643
t	0.0686224	0.246558	0.394145	0.141363	0.043357	0.0363743	0.0191718	0.0063663	0.044042
ú	0.0107101	0.104865	0.217475	0.46643	0.115336	0.0326157	0.00580723	0.0221876	0.0245731
e	0.0274414	0.0711292	0.19651	0.538409	0.0454309	0.0435554	0.0104244	0.0492684	0.0178317
á	0.0655148	0.03968	0.116396	0.305766	0.053588	0.252653	0.110283	0.0137018	0.0424173
b	0.00688411	0.0143435	0.0854097	0.0893854	0.108368	0.477876	0.114197	0.0442532	0.059283
h	0.00429699	0.0275243	0.0570228	0.080358	0.36571	0.176452	0.0848825	0.105236	0.0985175
i	0.0132231	0.0240391	0.0768254	0.0880437	0.450588	0.134702	0.0322239	0.0622253	0.118129
l	0.00603955	0.00928694	0.0340076	0.0801863	0.0524453	0.161575	0.0667392	0.211962	0.377758
a	0.00540347	0.00733392	0.0515383	0.127338	0.123052	0.210206	0.13602	0.12955	0.209558
l	0.0041138	0.00403769	0.014474	0.0312369	0.0173611	0.180589	0.236798	0.278585	0.232804
e	0.00528287	0.00333756	0.0122476	0.0168007	0.0377381	0.201125	0.210624	0.271516	0.241328
b	0.00110523	0.00237999	0.00906149	0.0167933	0.012872	0.120938	0.117286	0.549607	0.169957
h	0.00301342	0.0052714	0.00693094	0.0120073	0.0239373	0.0740047	0.0508468	0.756397	0.0675912
í	0.000322571	0.000740436	0.00232394	0.00780639	0.0184902	0.0678108	0.0343467	0.741542	0.126617
n	0.000213844	0.000548732	0.0017949	0.0122115	0.00218543	0.0517915	0.0702161	0.405978	0.45506
y	0.0036622	0.00357574	0.00879021	0.0149585	0.00276212	0.0266331	0.0799774	0.547087	0.312553
á	0.000840648	0.000905378	0.00320033	0.0101327	0.000382036	0.00729101	0.0458807	0.492785	0.438582
</S>	0.000389429	0.000340943	0.00202331	0.0061318	0.000501264	0.0239698	0.0771684	0.121003	0.768472
