 	je	fends	du	bois	à	l'	aide	d'	une	hache	</S>
n	0.876046	0.00365348	0.0594413	0.0434277	0.00832535	0.00244901	0.000409242	0.00213175	0.00101913	0.00271733	0.00037955
g	0.997533	0.000215632	0.0010922	0.000300573	0.00018096	0.000217578	1.58618e-05	4.91066e-05	6.91739e-05	0.000317681	8.30906e-06
á	0.997434	0.000793056	0.00134115	0.00021632	7.44007e-05	6.26537e-05	1.24784e-05	1.698e-05	2.96418e-05	1.71351e-05	2.59639e-06
l	0.492921	0.0495304	0.158254	0.0602311	0.0262661	0.0354262	0.0250247	0.0284885	0.0246198	0.00598158	0.0932566
í	0.551419	0.238258	0.0712912	0.0231444	0.0115972	0.0119463	0.0171121	0.0188486	0.013854	0.00612968	0.0363995
i	0.126967	0.122772	0.265122	0.164047	0.0562601	0.0620731	0.0280683	0.0135741	0.0257115	0.0171845	0.118221
p	0.00182086	0.932406	0.0344582	0.0102358	0.00500625	0.00235359	0.00342868	0.00108604	0.00185825	0.00158249	0.00576364
a	0.000132362	0.972461	0.0136571	0.00738032	0.00172755	0.000961958	0.000797905	0.000240826	0.000706121	0.00077788	0.00115745
s	0.000342013	0.809142	0.119316	0.0635954	0.00503263	0.00113979	0.000201562	0.000165338	0.000305904	0.000113808	0.00064594
á	0.00136884	0.416347	0.270442	0.123899	0.0974321	0.0367985	0.0100195	0.0120937	0.0113909	0.00948722	0.0107215
á	0.00239202	0.0387062	0.238715	0.352786	0.171824	0.104024	0.0284538	0.0167724	0.0138975	0.0182541	0.0141745
k	0.0176935	0.00347447	0.145995	0.297785	0.341664	0.133671	0.0153456	0.0160915	0.0171432	0.00720634	0.00393008
ó	0.00547242	0.003646	0.16467	0.478545	0.135814	0.0785645	0.0253345	0.0120608	0.0125138	0.0671921	0.0161871
n	0.00112861	0.00278851	0.108229	0.364743	0.18616	0.142511	0.0493145	0.0269738	0.0300124	0.0470899	0.0410502
y	0.00200355	0.00427327	0.114734	0.246265	0.294674	0.198169	0.0301892	0.0359955	0.0287461	0.00625907	0.0386914
i	6.81717e-05	0.00179252	0.0157095	0.0559238	0.233028	0.359747	0.062604	0.0413487	0.0589938	0.0110673	0.159717
m	0.000681334	0.000353149	0.0424011	0.0515773	0.133341	0.154633	0.129401	0.249105	0.0802198	0.0286345	0.129652
ó	0.000213338	5.84299e-05	0.0036627	0.00282016	0.0650537	0.153587	0.25582	0.0956233	0.108366	0.0570062	0.25779
s	0.000869578	0.000426369	0.00287181	0.00309028	0.0155945	0.0368868	0.0584023	0.0428324	0.0942127	0.638778	0.106035
ó	0.000267606	0.000459303	0.00190503	0.000610652	0.00677099	0.00852916	0.00395804	0.00921921	0.0596306	0.856719	0.0519308
k	7.59125e-05	0.000227182	0.000971722	0.00081772	0.00402965	0.011363	0.0100275	0.0369334	0.0452679	0.66032	0.229966
a	0.00034046	0.000752074	0.00322824	0.0066946	0.00977277	0.0258041	0.0224434	0.036426	0.2227	0.487534	0.184305
</S>	2.48392e-05	0.00143166	0.00253152	0.00346365	0.00620687	0.00584023	0.00662962	0.0151836	0.0595575	0.4519	0.44723
