 	ton	couteau	est	très	tranchant	</S>
i	0.53817	0.417959	0.0205631	0.00563518	0.0165285	0.00114482
b	0.0121097	0.978999	0.00574035	0.00170774	0.00115304	0.000289712
á	0.0048997	0.978052	0.00830043	0.00276603	0.00376346	0.00221878
á	0.0364437	0.792974	0.0204788	0.00902072	0.0509072	0.0901757
l	0.53771	0.353097	0.0761462	0.00601289	0.00320222	0.0238318
á	0.273635	0.271077	0.126072	0.0268036	0.0329164	0.269496
n	0.914359	0.0442213	0.0169597	0.00729399	0.00432163	0.0128446
ω	0.990555	0.00483583	0.00250194	0.000865347	0.000305964	0.000935683
l	0.0640705	0.259711	0.3523	0.10771	0.0406362	0.175573
í	0.0717098	0.0810554	0.4441	0.0895044	0.0270196	0.286611
i	0.731603	0.0347831	0.0945522	0.0607628	0.025343	0.0529561
p	0.00581011	0.0178748	0.710217	0.234533	0.00935801	0.0222074
f	0.000440728	0.00361717	0.580714	0.392342	0.00826203	0.0146238
á	0.000369035	0.000436022	0.512142	0.391711	0.0143449	0.0809968
w	0.00566707	0.00167763	0.26819	0.527689	0.0695613	0.127215
a	0.105271	0.00642741	0.210308	0.331738	0.151307	0.194948
m	0.0380583	0.0031746	0.052563	0.143375	0.36398	0.398848
έ	0.00390189	0.00275539	0.0255139	0.0742046	0.342513	0.551111
n	0.00133453	0.00108732	0.0159706	0.0549053	0.804852	0.12185
d	0.00853223	0.0004602	0.00707473	0.0919591	0.708338	0.183636
e	0.00354263	9.43593e-05	0.0047028	0.131764	0.446824	0.413072
</S>	0.00233022	8.01377e-05	0.00826923	0.0846595	0.23768	0.66698
