 	le	chasseur	a	dépouillé	la	gazelle	</S>
o	0.868382	0.122528	0.00354462	0.00219833	0.00171883	0.0013359	0.000293011
b	0.0574934	0.933153	0.00457831	0.00108404	0.000488352	0.00280228	0.000400475
e	0.537497	0.443487	0.00465268	0.00244508	0.00122857	0.00976107	0.000928948
n	0.141483	0.834652	0.0101166	0.00529219	0.00297662	0.00245666	0.00302217
g	0.75268	0.182039	0.0255527	0.0104863	0.00433435	0.00312896	0.0217783
i	0.579581	0.365406	0.0260019	0.0117735	0.00638324	0.00311531	0.00773817
á	0.12923	0.00834978	0.739408	0.0769821	0.0209965	0.000512896	0.0245204
b	0.00318851	0.00282653	0.328359	0.596569	0.0474237	0.0136032	0.00803078
h	0.00102411	0.00123494	0.134484	0.794959	0.0579057	0.00151404	0.00887822
a	0.0064229	0.000563144	0.117449	0.746854	0.116081	0.00657991	0.00604992
r	0.00220825	0.00114927	0.0354156	0.7773	0.0701164	0.0724176	0.0413928
i	0.00976512	0.000711996	0.0337561	0.478285	0.365761	0.0817785	0.0299425
t	0.0117161	0.00153589	0.094041	0.275532	0.454382	0.123288	0.0395057
s	0.00902647	0.000247112	0.0121342	0.196475	0.235683	0.48394	0.0624933
έ	0.000203948	6.15337e-05	0.00152914	0.196909	0.125708	0.669301	0.00628758
s	0.00029548	5.30703e-05	0.00619223	0.15691	0.302825	0.273212	0.260513
i	0.000120015	8.60255e-06	0.00118244	0.103932	0.291738	0.330055	0.272965
e	0.00399173	0.00012136	0.00546667	0.0169577	0.179787	0.0625523	0.731123
k	0.00770502	0.000963097	0.0165371	0.0387118	0.119282	0.460405	0.356396
ó	0.00176674	0.000713975	0.00249896	0.0200063	0.0566896	0.881935	0.0363895
r	0.000468202	0.000183362	0.00165625	0.0334643	0.028501	0.894198	0.0415294
ó	0.000806052	0.00103873	0.00114545	0.0225355	0.0276593	0.69419	0.252625
</S>	0.00681323	0.00248746	0.017931	0.0267727	0.125771	0.0238881	0.796337
