 	cette	femme	m'	a	dénigré	parce	que	je	lui	dois	de	l'	argent	</S>
o	0.915839	0.0482684	0.0189213	0.00433811	0.00110599	0.00504517	0.00329847	0.000921089	0.000920738	0.000453187	0.000376469	0.00045499	1.04071e-05	4.69891e-05
y	0.0406946	0.913278	0.00646705	0.00271031	0.025729	0.00172667	0.00141052	0.00352386	0.00111035	0.000303427	0.000524512	0.00039203	0.000633535	0.00149666
ú	0.867486	0.0970004	0.00152815	0.000193113	0.0312883	0.000376726	0.000285278	0.00114043	0.0001452	0.000129659	0.000141817	5.59773e-05	4.76419e-05	0.000181449
r	0.920792	0.0259036	0.00172918	0.00045094	0.0407139	0.00122206	0.00130418	0.0019496	0.000574375	0.000268586	0.000921904	0.0012398	0.00108495	0.00184516
u	0.816849	0.00811262	0.0131604	0.00699884	0.017309	0.0341606	0.0383919	0.00625945	0.0128837	0.00913723	0.00928284	0.0059017	0.00515114	0.0164012
w	0.375173	0.241934	0.15487	0.0767773	0.00786	0.0219999	0.0165382	0.0106736	0.0151232	0.0127031	0.0174004	0.0104421	0.000996687	0.0375085
ó	0.0933587	0.00837734	0.158255	0.206995	0.0273914	0.0762533	0.0838019	0.0425491	0.0749152	0.0688046	0.0565966	0.0267451	0.0135678	0.0623891
á	0.00897786	0.00125004	0.565526	0.119207	0.00750334	0.036635	0.0432431	0.0242177	0.0448458	0.0262482	0.0262724	0.0430681	0.00340165	0.0496033
s	0.000901709	0.00100669	0.0137817	0.101358	0.813457	0.00205931	0.00487118	0.00578407	0.00641012	0.00902053	0.0147939	0.00440456	0.0012428	0.0209092
é	0.00564933	0.00161328	0.00627227	0.00905051	0.971897	0.00051287	0.000670486	0.00213016	0.000346113	0.000318446	0.000382128	0.000199458	4.83267e-05	0.000910028
m	0.297829	0.00142485	0.0114531	0.015076	0.630002	0.00728631	0.00648631	0.0054324	0.00300165	0.00279517	0.00407061	0.00411696	0.00167158	0.00935405
b	0.0798432	0.00749281	0.0765394	0.0390727	0.735484	0.0254972	0.0133586	0.00676149	0.0023007	0.00256018	0.00144238	0.00176525	0.00223487	0.00564748
i	0.185541	0.00174648	0.122344	0.155205	0.184867	0.0739407	0.0625713	0.0238538	0.0353097	0.0248932	0.0286243	0.0280528	0.0120536	0.0609968
s	0.00565491	0.000318896	0.52654	0.273484	0.00892591	0.0785654	0.0458565	0.0342169	0.00734659	0.00389498	0.00254911	0.00428221	0.00372325	0.00464181
i	0.0740447	0.000873465	0.0651162	0.0204494	0.595179	0.126401	0.049234	0.0310582	0.00632054	0.00789365	0.00341023	0.00454262	0.00775392	0.0077233
n	0.056635	0.000690626	0.160218	0.0348133	0.0307781	0.493667	0.12148	0.0555063	0.0132419	0.00667041	0.00298171	0.00944924	0.00343163	0.0104375
g	0.00548487	0.0012109	0.236327	0.0419907	0.0888374	0.169397	0.072498	0.335994	0.0102516	0.00257408	0.00417658	0.00613183	0.0127029	0.0124236
á	0.0041078	0.00354228	0.238224	0.0449788	0.0180883	0.180539	0.110419	0.273378	0.0232667	0.00583849	0.0121573	0.014117	0.0521279	0.0192158
t	0.00116662	4.76622e-05	0.0266164	0.0471761	0.00698586	0.437635	0.316716	0.0522247	0.0481313	0.0263621	0.0139674	0.0117183	0.00129158	0.00996121
s	0.0220554	5.42988e-05	0.00859332	0.00904256	0.00388835	0.324391	0.34307	0.0469957	0.0665012	0.0791932	0.044885	0.0170015	0.00284014	0.0314887
í	0.00113562	4.13413e-06	0.00205378	0.00622397	0.0639154	0.172776	0.436509	0.0753632	0.0601055	0.0906989	0.0515624	0.00736825	0.000816315	0.0314675
n	0.00853347	0.000653797	0.070292	0.0407614	0.0842666	0.23763	0.249949	0.227365	0.031024	0.0103395	0.00781889	0.00456676	0.00804306	0.0187571
a	0.00248516	0.000130278	0.0415201	0.0413735	0.00972864	0.193669	0.234625	0.22487	0.0242619	0.0113312	0.0083412	0.00782727	0.0392832	0.160554
n	0.00081072	7.8196e-05	0.020698	0.128062	0.0057624	0.151414	0.268184	0.25309	0.0928659	0.0349988	0.0174606	0.0120333	0.00180017	0.0127418
g	0.00156073	7.73114e-05	0.0190941	0.0197398	0.0009807	0.118824	0.145837	0.561887	0.0369988	0.00453125	0.00587465	0.00889288	0.0213344	0.0543678
á	0.000104299	9.55227e-05	0.0122101	0.0123308	0.000654364	0.138448	0.132817	0.644779	0.0315071	0.00301056	0.00408694	0.00646785	0.00574815	0.00774125
i	0.000279368	2.35438e-05	0.00434736	0.00814824	0.00118146	0.142297	0.190709	0.178852	0.274408	0.108954	0.0468098	0.026939	0.00177094	0.0152822
d	0.00133776	4.7461e-05	0.000637672	0.00360613	0.016698	0.0175276	0.0536182	0.138302	0.21094	0.242549	0.22558	0.0388636	0.00653844	0.0437558
í	0.00121165	0.000410969	0.000272287	0.00299874	0.0313404	0.0422	0.0729353	0.123003	0.120007	0.203979	0.182541	0.0522223	0.00406672	0.16281
e	0.00130672	1.11245e-05	0.00101533	0.00415563	0.00232858	0.0386009	0.0470989	0.0850955	0.141596	0.150023	0.196065	0.166487	0.00683254	0.159384
b	0.000723956	0.000210453	0.000494796	0.000783135	0.00187069	0.00753704	0.0134339	0.0393602	0.111914	0.245237	0.28361	0.112856	0.0740729	0.107896
y	0.00011273	1.00227e-05	0.000477141	0.00297893	0.00073605	0.0118045	0.0205545	0.017506	0.104825	0.308315	0.318834	0.0749816	0.0775809	0.0612835
ó	0.000311149	6.65461e-06	0.000105912	0.00089918	0.00198998	0.00944596	0.0193584	0.0109168	0.0777716	0.420747	0.299405	0.0467187	0.0348437	0.0774801
m	0.000235425	9.16662e-07	3.54397e-05	9.40372e-05	0.000238401	0.00922229	0.0231294	0.0172033	0.102791	0.28081	0.27995	0.149748	0.0324916	0.10405
b	0.000279871	5.78904e-06	2.14001e-05	2.06e-05	3.62721e-05	0.015325	0.0202232	0.00482819	0.0587368	0.261956	0.1411	0.1822	0.249301	0.0659653
o	0.000336798	4.0221e-06	0.00016111	0.000123561	3.53924e-05	0.0318346	0.03797	0.0058573	0.0391712	0.0952027	0.14733	0.137156	0.302874	0.201944
