 	il	est	venu	demander	son	dû	</S>
w	0.756777	0.240826	0.00104275	0.000465419	0.000472213	0.000344496	7.23939e-05
a	0.694289	0.299704	0.00214584	0.000105175	0.00295709	0.000724222	7.48096e-05
á	0.067576	0.505854	0.412887	0.00321712	0.00811807	0.000273127	0.00207511
y	0.0060802	0.0845124	0.880001	0.0112372	0.0110646	0.00323305	0.00387147
ε	0.0023587	0.0384952	0.868602	0.00943556	0.00636907	0.000473276	0.0742664
i	0.0174249	0.0748575	0.786661	0.0360092	0.0193628	0.00033895	0.0653457
o	0.0617924	0.154291	0.144789	0.348889	0.13598	0.047268	0.106991
f	0.000607432	0.00114008	0.0426681	0.844773	0.0615557	0.0337312	0.0155243
ú	0.000575321	0.00124415	0.0128735	0.903787	0.0281462	0.0195584	0.0338155
b	0.00121602	0.00179546	0.00131569	0.827464	0.0393155	0.0199875	0.108906
h	0.0693487	0.0266484	0.00843502	0.571762	0.141909	0.0314025	0.150495
á	0.104117	0.0133066	0.00169447	0.168978	0.179443	0.227812	0.30465
e	0.0232697	0.00878337	0.00463041	0.0820943	0.418588	0.275693	0.186942
b	0.00252533	0.00195987	0.0011021	0.0636402	0.205948	0.581527	0.143297
y	0.00137392	0.00265601	0.000193495	0.0127382	0.0678559	0.901102	0.0140806
é	0.00154898	0.00166145	0.000475938	0.181953	0.149689	0.53872	0.125952
m	0.000176852	0.000292705	0.000728379	0.183119	0.189136	0.346736	0.279811
b	0.00713837	0.00227265	0.000192572	0.0174546	0.305407	0.414816	0.252718
o	0.00199781	0.000384748	6.13551e-05	0.0148114	0.0924211	0.5825	0.307824
</S>	0.00145616	0.000657162	0.000494418	0.0284776	0.125751	0.132538	0.710626
