 	l'	arbre	parasite	ibhébhe	a	détruit	cet	oranger	</S>
i	0.26835	0.462715	0.251568	0.00785427	0.00338421	0.00434873	0.00168657	3.55552e-05	5.86293e-05
b	0.0181879	0.354508	0.624422	0.000739942	0.000605408	0.000554078	0.000278441	0.000207271	0.000497409
h	0.002451	0.44678	0.549272	0.000186928	6.70302e-05	0.000942946	0.000133255	3.06517e-05	0.000136073
e	0.00419617	0.229564	0.762255	0.000978919	0.000464564	0.00127999	0.000323062	4.25335e-05	0.000895885
b	0.0753323	0.240231	0.669654	0.00493402	0.000467296	0.00112833	0.0037555	0.000963224	0.00353413
h	0.0774198	0.28523	0.519496	0.0240756	0.0038285	0.00163839	0.0133802	0.00266919	0.0722619
e	0.205795	0.163586	0.559161	0.0121061	0.00390555	0.00274967	0.00734756	0.00745811	0.0378918
í	0.171616	0.136422	0.118198	0.374487	0.0844962	0.0079959	0.0452302	0.0048163	0.0567379
m	0.0625966	0.00715841	0.0147778	0.571088	0.310063	0.00570447	0.00827067	0.00221926	0.0181217
i	0.0555487	0.0136418	0.0340852	0.417287	0.230588	0.139376	0.0770629	0.00215123	0.0302595
b	0.0101645	0.0141049	0.0149835	0.219835	0.337312	0.363586	0.0234402	0.00421577	0.012358
o	0.00406761	0.0185682	0.00464252	0.0200061	0.0443787	0.882514	0.018861	0.00161889	0.00534302
m	0.00968938	0.0304756	0.0402008	0.1563	0.152521	0.481363	0.0757708	0.0259171	0.0277634
á	0.0565348	0.00667207	0.00692957	0.200101	0.110132	0.117071	0.442905	0.0130313	0.0466224
o	0.00587708	0.00257179	0.00316287	0.122808	0.382938	0.195383	0.243463	0.0304031	0.013393
t	0.00716383	0.0123916	0.00544939	0.022012	0.0898207	0.499353	0.183105	0.15832	0.0223848
s	0.000761991	0.0074668	0.00623417	0.00886012	0.0210116	0.0673255	0.32509	0.513615	0.0496349
w	0.000138764	0.00153098	0.00346732	0.0122304	0.0204755	0.0495141	0.211886	0.624521	0.0762362
é	0.00133416	0.00356992	0.00829207	0.0481747	0.0654909	0.0203557	0.22426	0.42957	0.198952
t	0.00258755	0.00192997	0.00194641	0.0421675	0.0850807	0.0380055	0.464711	0.175989	0.187583
s	0.00224349	0.00247683	0.00169825	0.00204829	0.00341027	0.00111229	0.0572745	0.874004	0.0557326
w	0.000454781	0.000747675	0.00178705	0.00119349	0.00413676	0.00418664	0.0631287	0.851589	0.0727758
e	0.00770391	0.0208714	0.0162225	0.0117167	0.0510625	0.0599914	0.125346	0.649165	0.057921
l	0.00172721	0.00156625	0.00200196	0.0026021	0.00544185	0.00644775	0.0376718	0.435476	0.507065
é	0.0031662	0.00559798	0.00603289	0.0025291	0.00487753	0.00493014	0.0702885	0.547311	0.355267
m	0.00368539	0.00279558	0.00274203	0.0302561	0.0485168	0.00370231	0.0996705	0.108797	0.699834
ú	0.0171868	0.0322268	0.00874666	0.00746217	0.00912435	0.0284532	0.645871	0.0540631	0.196866
</S>	0.00417282	0.00793737	0.00396155	0.00907919	0.0202657	0.0132662	0.251256	0.0302743	0.659787
